"error","helpfulVotes","id","input","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","subratings/6/name","subratings/6/value","text","title","travelDate","tripType","url","user"
,"1","836476364",,"en","1186379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B416 - Elkaduwa Road, Elkaduwa 21012 Sri Lanka","Elkaduwa","Sri Lanka","21012",,"B416 - Elkaduwa Road",,"1186379","7.429358","Elkaduwa, Central Province","80.684395","Ashburnham Estate","353","4.8","1","3","8","38","303","https://www.tripadvisor.com/Hotel_Review-g1193319-d1186379-Reviews-Ashburnham_Estate-Elkaduwa_Central_Province.html","http://toniclankacollection.com/property/ashburnham-estate/","2022-04-28","OTHER","1",,,,,,,,,,,,,,,,"This place is very quaint and beautiful. I was disappointed because we were taken on a tea plantation tour (a small plantation owned by the venue) and told that the tea pickers get paid the equivalent of £2.50 a day to pick 20 kg of tea leaves). There was only around 5 or 6 tea pickers so a very small operation. This is probably the norm in Sri Lanka however when the owner feels comfortable to charge $160 a night, $4.50 a beer (more than anywhere else I went to in Sri Lanka) and  $15 a head for an incredibly average and basic afternoon tea - I'd hope he could do a little more to subsidise his staff. There are photos of the owners family all over the place however they can't even subsidise their staff. It's really sad to see, especially as the owners live locally. If the place wasn't plastered with photos of the owning family, giving it a caring and pleasant family vibe (and not a corporate chain) - I guess this may not have bothered me as much as it did. As this happens everywhere, sadly.  But as a small business, he can help these halndful of staff and chooses not to. However, he can charge an extortionate $4.5 for a can of Sri Lankan non inported beer. Not a place where I'd spend my money again.","Bad vibes","2022-04","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g1193319-d1186379-r836476364-Ashburnham_Estate-Elkaduwa_Central_Province.html",
,"0","741249121",,"en","1186379",,"Manager","741554075","en","2020-01-27","MaxD2463","Hello Nadine,

Thanks so much for your comments - great to get a New Year's call to action!

It does seem you rather missed the mood at Ashburnham and it was a mistake for you - or your travel agent - to line it up for you. I'm sorry for that. 

Your disappointment at not having a minibar in the room probably speaks best of the mismatch! The same goes for phones I'm afraid. If people want minibars and room service, Ashburnham certainly isn't a good fit. 

I'm a but muddled at your implication that a stream of other criticisms have been ignored. No alcohol license I'm afraid isn't so much a problem as a fact of life. And of course the vast majority of comments here are very positive. 

I'd also suggest that 3 dinner options - changing every day - is a pretty good range for a 6 bedroom tea estate hotel a long way from a supermarket. 

Will take heed of your comments re. slow service. That's unusual and will be addressed.

All the best,

Max",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B416 - Elkaduwa Road, Elkaduwa 21012 Sri Lanka","Elkaduwa","Sri Lanka","21012",,"B416 - Elkaduwa Road",,"1186379","7.429358","Elkaduwa, Central Province","80.684395","Ashburnham Estate","353","4.8","1","3","8","38","303","https://www.tripadvisor.com/Hotel_Review-g1193319-d1186379-Reviews-Ashburnham_Estate-Elkaduwa_Central_Province.html","http://toniclankacollection.com/property/ashburnham-estate/","2020-01-25","OTHER","2",,,,,,,,,,,,,,,,"We stayed here whilst on our honeymoon and were left disappointed. The location and surroundings were beautiful but the facilities of the hotel are average at best. I wish I had read the reviews before going:  

Service 
- Staff were always a bit of a challenge to find - we often had to go into their kitchen to get their attention for service (there are no phones in the room) no phones are fine if staff are then attentive which was not the case.
- we had to wait 30 minutes for someone to bring us our final bill and repeatedly had to ask if someone was coming to serve us 

Room/ facilities 
- decor is nice but we stayed in the smaller room which as other guests have stated has no air conditioning- only a single plug in fan. The room was stuffy and smelt damp. The bathroom was also damp. There’s no mini bar or any facilities that makes you feel like the price is worth it. 

Food/ alcohol 
- again as other comments have shown they do not have an alcohol licence. It’s possible to get drinks but mostly just a concern that some of those comments were written a while back and yet this has still not been solved.
- food is overpriced. In our welcome book it stated that a 3 course meal is $20 but on the menu board it was $25. There’s limited food options of 3 choices Sri Lankan curry and 2 western options. Being so far from anything you don’t really have a choice but to eat there and it’s def not the $25 they are asking for

All their prices were in $ which also is off putting no other hotel we stayed at in Sri Lanka had that and they were far superior in service, standards and facilities.

The surroundings are beautiful and is ultimately what saved it for us. But I would bother they clearly haven’t taken on board other comments from their customers and it shows. Disappointing and I would avoid- am sure there are other places offering a similar experience where the overall standard of the hotel would match the price.","Lacking","2020-01","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g1193319-d1186379-r741249121-Ashburnham_Estate-Elkaduwa_Central_Province.html",
,"1","663997709",,"en","1186379",,"Manager","664212497","en","2019-04-06","Max D","Oh dear. Many thanks for your comments - all well noted. 

Tempting, of course, to address each and all of them but I don't suspect doing so here would make you feel much better so shan't.

A great shame you didn't enjoy time at Ash, as many have in the past. I'm sorry for that. 

It does seem there were some (relatively) exceptional circumstances - drought/continual power cuts - but as said, little point fighting the corner in light of such spirited attack. 

We've some exciting works in hand and, who knows, perhaps we may tempt you back once done (please do email me on max@tonic-lanka.com if open to that prospect). If not, shall settle for accepting that we weren't - and shan't be - the spot for you. 

All the best. 

Max","3264","386858256","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/0e/fd/10/maintenance-needed.jpg","2448","3024","386858811","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/0e/ff/3b/view-from-the-terrace.jpg","4032","2448","386859140","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/0f/00/84/ashburnham-estate.jpg","3264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B416 - Elkaduwa Road, Elkaduwa 21012 Sri Lanka","Elkaduwa","Sri Lanka","21012",,"B416 - Elkaduwa Road",,"1186379","7.429358","Elkaduwa, Central Province","80.684395","Ashburnham Estate","353","4.8","1","3","8","38","303","https://www.tripadvisor.com/Hotel_Review-g1193319-d1186379-Reviews-Ashburnham_Estate-Elkaduwa_Central_Province.html","http://toniclankacollection.com/property/ashburnham-estate/","2019-04-05","OTHER","2",,"Value","3","Location","5","Service","2",,,,,,,,,"The location is stunning, high up in the Knuckles hills, with fabulous views in all directions; it’s a 30-40 minute drive up a track off the main road. 
The house should be very charming, but it’s in a bit of a time warp.  It’s in serious need of investment and TLC.  Our room was small and unbearable hot and stuffy during the night - not only was there no air-conditioning, it didn’t even have a ceiling fan.  We noted some of the rooms had rotating fans, but not ours.  The paint was peeling on one wall, which was unsightly.  The internet was hopeless and the electricity was off for much of the day, without any warning or explanation.  The pool was full of leaves and somewhat murky water - the filter obviously wasn’t working properly (possibly because of no electricity).  The food was OK, but the choice was very limited (2 starters and 3 mains).  A young British couple were the ‘managers'; , very pleasant but complete amateurs when it comes to hotel management!  The tour of the tea plantation was interesting and the tea tasting was fun - thank you Mr Das.","Fabulous location, but in need of serious TLC","2019-03","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g1193319-d1186379-r663997709-Ashburnham_Estate-Elkaduwa_Central_Province.html",
,"1","188332393",,"en","1186379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B416 - Elkaduwa Road, Elkaduwa 21012 Sri Lanka","Elkaduwa","Sri Lanka","21012",,"B416 - Elkaduwa Road",,"1186379","7.429358","Elkaduwa, Central Province","80.684395","Ashburnham Estate","353","4.8","1","3","8","38","303","https://www.tripadvisor.com/Hotel_Review-g1193319-d1186379-Reviews-Ashburnham_Estate-Elkaduwa_Central_Province.html","http://toniclankacollection.com/property/ashburnham-estate/","2013-12-22","OTHER","2",,,,,,,,,,,,,,,,"We booked to stay at Ashburnham through Booking.com from 25-27 Dec. I wrote to them for confirmation of the booking (as a a precaution) and heard from them after 3 weeks informing me that the resort was in fact fully booked and there was an error by Booking.com. Rex on his behalf did apologize but the time it took to inform me forced to to change plans and look for alternate options in peak season. This is not a review of the resort which I am sure is great (given all great reviews on TA) but anyone booking here please reconfirm your bookings.","Booking woes","2013-12","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g1193319-d1186379-r188332393-Ashburnham_Estate-Elkaduwa_Central_Province.html",
,"0","1015414730",,"en","315672",,"General Manager","1015643627","en","2025-06-28","Kavishka Fernando","Dear valued guest,

Thank you very much for taking the time to share your feedback with us. I sincerely apologize that your stay did not meet your expectations. 
We understand how important it is to feel that you are receiving value for your stay, and we regret that we fell short in this regard.
Your comments regarding the quality of service have been noted, and I will be reviewing them with the management team to make the necessary improvements and we will work on ensuring a better dining experience for all our guests in the future.

The team and I appreciate your constructive feedback and hope to have the opportunity to provide you with a much-improved experience should you choose to return.

Kind regards,
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Road, Bentota, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"Beach Road, Bentota",,"315672","6.420097","Bentota, Galle District, Southern Province","79.99676","Ekho Surf","792","4.7","12","8","35","99","638","https://www.tripadvisor.com/Hotel_Review-g297895-d315672-Reviews-Ekho_Surf-Bentota_Galle_District_Southern_Province.html","http://www.ekhohotels.com","2025-06-27","MOBILE","1","Avoid booking",,,,,,,,,,,,,,,"Literally THE WORST HOTEL IVE EVER STAYED IN. Whatever you do. Don’t book it!!! Pay a little extra and go somewhere else. 

Staff were terrible re service and level and quality of service. I would ask for ice and would wait 30-40 mins before having to follow up on where the ice was. When I’d ask sometimes they’d say they didn’t have any. Which is ridiculous for the size of the hotel. 

Left my room at 7am ,left sign for fresh bedding/ room tidy. Got back at 2.30pm nothing done. Then called and said someone there in 5 mins. 20mins later called back again. Another 20 mins still nothing had to go ask someone down the corridor to help. 

Food terrible and tasteless. Hotel rooms dated and OLDDDDD and not very clean at all!! In addition be prepared to not have a plug socket anywhere near the bed. 

Only good thing was checkout and the beach.","DO NOT BOOK HERE","2025-06","SOLO","https://www.tripadvisor.com/ShowUserReviews-g297895-d315672-r1015414730-Ekho_Surf-Bentota_Galle_District_Southern_Province.html",
,"0","1001020921",,"en","315672",,"Owner","1001522814","en","2025-04-07","EKHO Hotels and Resorts","Thank you for taking the time to share your feedback with us. We’re truly sorry to hear that your experience did not meet expectations.

Please accept our sincerest apologies for the inconveniences you encountered during your stay — particularly regarding the condition of the room, humidity levels, and the air conditioning. Your comments have been taken very seriously, and we are currently assessing these concerns with our maintenance and housekeeping teams to ensure immediate improvements.

We also understand the disturbance caused by the nearby train line and regret any discomfort this may have caused you during the night.

While we’re pleased that you enjoyed the view and the beachfront location, we recognise that these alone do not make up for the shortfalls you experienced. We are committed to enhancing our facilities, and your review reinforces the importance of our ongoing renovation plans.

Thank you once again for your feedback. Should your travels bring you back to the area, we hope you will give us an opportunity to offer you a much-improved experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Road, Bentota, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"Beach Road, Bentota",,"315672","6.420097","Bentota, Galle District, Southern Province","79.99676","Ekho Surf","792","4.7","12","8","35","99","638","https://www.tripadvisor.com/Hotel_Review-g297895-d315672-Reviews-Ekho_Surf-Bentota_Galle_District_Southern_Province.html","http://www.ekhohotels.com","2025-04-04","OTHER","1","Don’t go ","Value","1","Rooms","1","Location","5","Cleanliness","1","Service","1","Sleep Quality","1",,,"The hotel is awful. The room is awful as well. There is mold everywhere. A lot of humidity that you cannot sleep and Air condition doesn’t work. Every 1 hour and a half you can hear the train passing by ( even during the night . The only good thing about this hotel is the view , the beach and the sea. All the rest should be immediately renovated. Over all 1 star","Awful experience","2025-04","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g297895-d315672-r1001020921-Ekho_Surf-Bentota_Galle_District_Southern_Province.html",
,"2","994137588",,"en","315672",,"General Manager","1001030579","en","2025-04-04","Kavishka Fernando","Dear valued guest,

Thank you very much for taking the time to share your feedback with us. I sincerely apologize that your stay did not meet your expectations. 
We understand how important it is to feel that you are receiving value for your stay, and we regret that we fell short in this regard.
Your comments regarding the quality of service have been noted, and I will be reviewing them with the management team to make the necessary improvements and we will work on ensuring a better dining experience for all our guests in the future.

The team and I appreciate your constructive feedback and hope to have the opportunity to provide you with a much-improved experience should you choose to return.

Kind regards,
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Road, Bentota, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"Beach Road, Bentota",,"315672","6.420097","Bentota, Galle District, Southern Province","79.99676","Ekho Surf","792","4.7","12","8","35","99","638","https://www.tripadvisor.com/Hotel_Review-g297895-d315672-Reviews-Ekho_Surf-Bentota_Galle_District_Southern_Province.html","http://www.ekhohotels.com","2025-02-15","OTHER","1","I would not recommend this to anyone. Sorry. ","Value","1","Rooms","1","Location","5","Cleanliness","1","Service","1","Sleep Quality","5",,,"Room is not clean, and very tired. The front door will not lock, reported it and still no service We have asked for water twice at reception and after 4  hours still no water. There are lights not working. We are choosing clothes to wear with our phone torch.","Very disappointed","2025-02","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g297895-d315672-r994137588-Ekho_Surf-Bentota_Galle_District_Southern_Province.html",
,"1","992271302",,"ru","315672",,"General Manager","1001030603","en","2025-04-04","Kavishka Fernando","Dear valued guest,

Thank you very much for taking the time to share your feedback with us. I sincerely apologize that your stay did not meet your expectations. 
We understand how important it is to feel that you are receiving value for your stay, and we regret that we fell short in this regard.
Your comments regarding the quality of service have been noted, and I will be reviewing them with the management team to make the necessary improvements and we will work on ensuring a better dining experience for all our guests in the future.

The team and I appreciate your constructive feedback and hope to have the opportunity to provide you with a much-improved experience should you choose to return.

Kind regards,
","2048","784528041","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/c2/f2/a9/caption.jpg","1152","1152","784528040","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/c2/f2/a8/capti_r.jpg","2048","2048","784528039","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/c2/f2/a7/caption.jpg","1152","2048","784528038","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/c2/f2/a6/caption.jpg","1152","2048","784528037","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/c2/f2/a5/caption.jpg","1152","2048","784528036","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/c2/f2/a4/caption.jpg","1152","2048","784528035","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/c2/f2/a3/caption.jpg","1152","2048","784528034","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/c2/f2/a2/caption.jpg","1152","2048","784528033","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/c2/f2/a1/caption.jpg","1152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Road, Bentota, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"Beach Road, Bentota",,"315672","6.420097","Bentota, Galle District, Southern Province","79.99676","Ekho Surf","792","4.7","12","8","35","99","638","https://www.tripadvisor.com/Hotel_Review-g297895-d315672-Reviews-Ekho_Surf-Bentota_Galle_District_Southern_Province.html","http://www.ekhohotels.com","2025-02-04","MOBILE","2","Не рекомендую проживать в этом отеле.",,,,,,,,,,,,,,,"Бронировали через букинг ком. Описание, что в бентоте лучший сервис. При звезде столкнулись с массой неудобств. В номере была грязь и волосы. Полотенца стали серыми вместо белых и дырявые. Вместо кровати Кинг сайз две кровати приставили которые разъезжались. Телефон не раьотал, телевизор не работал, каждый раз приходили разные мастера, и уборщик, которому давали денег чтобы они все исправили, карты от полотенец не дали, лежаков нет свободных, о таких важных вопросов не сообщили на ресепшене. Под балконом ремонт. Дверь входная скрипит и отваливается. Ощущение сложилось, что номер для персонала. Сервис сильно разочаровал. 
Плюс это океан, завтрак и ужин и постельное белье приятное с подушками.","Самый отвратительный отель на Шри Ланке.","2025-02","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297895-d315672-r992271302-Ekho_Surf-Bentota_Galle_District_Southern_Province.html",
,"1","990816483",,"en","315672",,"General Manager","992568745","en","2025-02-07","Kavishka Fernando","Dear valued guest,

Thank you very much for taking the time to share your feedback with us. I sincerely apologize that your stay did not meet your expectations. 

We understand how important it is to feel that you are receiving value for your stay, and we regret that we fell short in this regard.

Your comments regarding the quality of service have been noted, and I will be reviewing them with the management team to make the necessary improvements and we will work on ensuring a better dining experience for all our guests in the future.

The team and I appreciate your constructive feedback and hope to have the opportunity to provide you with a much-improved experience should you choose to return.

Kind regards,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Road, Bentota, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"Beach Road, Bentota",,"315672","6.420097","Bentota, Galle District, Southern Province","79.99676","Ekho Surf","792","4.7","12","8","35","99","638","https://www.tripadvisor.com/Hotel_Review-g297895-d315672-Reviews-Ekho_Surf-Bentota_Galle_District_Southern_Province.html","http://www.ekhohotels.com","2025-01-27","OTHER","2",,"Value","2","Rooms","1","Location","5","Cleanliness","1","Service","2","Sleep Quality","3",,,"The room was not very clean, and the staff seemed poorly trained, with limited English communication skills and a lack of competence in ensuring customer comfort. Managers must prioritize customer satisfaction by delivering quality service that justifies the price being charged.","Unsatisfying stay","2025-01","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297895-d315672-r990816483-Ekho_Surf-Bentota_Galle_District_Southern_Province.html",
,"3","990261624",,"en","315672",,"General Manager","1001030722","en","2025-04-04","Kavishka Fernando","Dear valued guest,

Thank you very much for taking the time to share your feedback with us. I sincerely apologize that your stay did not meet your expectations. 
We understand how important it is to feel that you are receiving value for your stay, and we regret that we fell short in this regard.
Your comments regarding the quality of service have been noted, and I will be reviewing them with the management team to make the necessary improvements and we will work on ensuring a better dining experience for all our guests in the future.

The team and I appreciate your constructive feedback and hope to have the opportunity to provide you with a much-improved experience should you choose to return.

Kind regards,
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Road, Bentota, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"Beach Road, Bentota",,"315672","6.420097","Bentota, Galle District, Southern Province","79.99676","Ekho Surf","792","4.7","12","8","35","99","638","https://www.tripadvisor.com/Hotel_Review-g297895-d315672-Reviews-Ekho_Surf-Bentota_Galle_District_Southern_Province.html","http://www.ekhohotels.com","2025-01-23","OTHER","2",,,,,,,,,,,,,,,,"1st and foremost, majority of reviews on page 1 are from 1st time contributors to Trip Advisor, how strange.

As a traveller with corporate and a professional background, I post with experience and authority on 5* hotel properties.

So, where does one begin?

When booking a vacation, we don't use 3rd party agents, Booking.com, TripAdvisor, Expedia, etc., etc., we book directly with the hotel property.

We booked and paid in full for this property during April 2024, for a 3 week stay during January 2025.

5 days, prior to departure from the UK, I emailed the property confirming my booking, and advising our expected arrival time due to overnight flight (we included and paid for an additional night)

Despite requesting an acknowledgement to my email, the hotel failed to reply with a courteous or acknowledge my email.

On arrival at the property, the hotel had no confirmation for my booking!!

We we're offered ""complementary"" breakfast whilst this was looked into (we paid in advance for breakfast, given we'd paid for an extra night's accommodation.

Eventually, I had to produce the invoice I paid in April 2024, it turns out, I paid a company call ""United Hotels"" this is the parent company of EKHO SURF Bentota.

Once my invoice was confirmed, via the hotel contacting ""United Hotels"" we were taken to our room.

The room offered 244 was NOT the room we had booked and paid for.

Back to reception, explaining that the room offered was not what we had booked as per our invoice, eventually, we were offered a ""complementary"" upgrade, so, now we have 2 ""complementary"" offers, given both issues we'd already paid for.

Now we are offered the room we booked and paid for, room 218, after dinner and a long flight, we retired to bed early.

Early rise, preparation for breakfast, it's was clear the room was not the standard one was expecting, I'll give a detailed response below.

Once in the restaurant for breakfast, it became evident very soon, the restaurant was lacking professionalism and attention to detail.

Breakfast is an open buffet, food was cold, numerous items were not replenished, bred toaster, one would wait over 10 tuning several time just to achieve 2 pieces of toast, the bread toaster was old and well out of use.

Breakfast plates were left on our table to pile up, despite numerous restaurant employees walking past, not one employee collected our used dishes, on questioning, I was informed, it's another employee's zone!!

Following breakfast, returning to our room, it was clear, this property has serious issues concerning cleanliness, the room was full off dust, had numerous chips in the walls, certain plug sockets didn't work.

We went out for the day, expecting the room attendant to give the room an overall.

On returning, it was clear, apart from the beds being made, and room towel change, nothing, nothing had been done to improve hygiene in the room.

Having now complained to reception about the room standard, the hotel manager came to our room.

I clearly pointed out the hygiene standards, the original issues when trying to check in, the error with initial room availability, due to the room standard, the hotel manager offered ""complementary"" evening buffet, whilst he and his team revamped the room!!

2hrs were spent with numerous employees trying to bring the rook up to a 5* standard.

During our ""complementary"" evening buffet, we witnessed a carbon copy of the previous morning issues, food cold, food not replenished, plates left to pile up on our table.

We'd almost reached breaking point.

The following morning day 3, during buffet breakfast, I requested fresh orange juice, I was informed, fresh orange juice is not available to guests, I then spoke to the restaurant manager, again, requested fresh orange juice, I was informed, fresh orange juice is not available, however, as a replacement, orange cordial, pineapple juice, or tropical fruit juice was available.

We departed the hotel, and visited a number of 5* hotels in the area seeking room availability for our stay, we've stayed at these properties previously, Taj, Cinnamon, Centara Ceysands resort.

Given we required immediate availability, Centara Ceysands resort was the property  that assisted, we checked in for the remining 15nights we had in Bentota.

We returned back to EKHO SURF, informed reception we were checking out.

The hotel manager visited our room again, and requested what could he do to improve our stay, unfortunately nothing, 

I made it clear to the hotel manager, and will say here, the lack of hygiene, lack of respect for guests, lack of training, lack of accountability all stop at the door of the hotel manager.

Overall impression, all employees wear the same uniform, so it's difficult to identify who belongs to which department.

No employee has a named staff badge on show, not one, so, if one was to compliment or complain about an employee, virtually impossible without an employee name.

The hotel manager is fully ware who I am, having integrated with him during my limited time in the property.

In conclusion, this is a run down property, lacking in basic hygiene, professionalism, catering for ""package"" holiday's, and in my opinion, deserves the 2* rating I've awarded it.

Neither the hotel or company brand deserve your custom, given numerous 5* properties are within walking distance of EKHO SURF, Taj, Thaala, Cinnamon. 

As in most replies when one complains about a hotel property, a spokesperson usually replies ""on behalf"" of the manager, with an attempt to play down the issues raised in a review, rest assured, I mentioned at the beginning of this post, I speak with authority, professionalism, and experience, which is what my observation of EKHO SURF Bentota is based on.

You have the choice whether the EKHO SURF Hotel deserves you custom, or a more valued property close by is more deserving, each one, offering and maintaining a true 5* experience, something the EKHO SURF has a long way to go in an attempt to compete.","2 stars for a 2 star property.","2025-01","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297895-d315672-r990261624-Ekho_Surf-Bentota_Galle_District_Southern_Province.html",
