"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","photos/23/height","photos/23/id","photos/23/image","photos/23/width","photos/24/height","photos/24/id","photos/24/image","photos/24/width","photos/25/height","photos/25/id","photos/25/image","photos/25/width","photos/26/height","photos/26/id","photos/26/image","photos/26/width","photos/27/height","photos/27/id","photos/27/image","photos/27/width","photos/28/height","photos/28/id","photos/28/image","photos/28/width","photos/29/height","photos/29/id","photos/29/image","photos/29/width","photos/30/height","photos/30/id","photos/30/image","photos/30/width","photos/31/height","photos/31/id","photos/31/image","photos/31/width","photos/32/height","photos/32/id","photos/32/image","photos/32/width","photos/33/height","photos/33/id","photos/33/image","photos/33/width","photos/34/height","photos/34/id","photos/34/image","photos/34/width","photos/35/height","photos/35/id","photos/35/image","photos/35/width","photos/36/height","photos/36/id","photos/36/image","photos/36/width","photos/37/height","photos/37/id","photos/37/image","photos/37/width","photos/38/height","photos/38/id","photos/38/image","photos/38/width","photos/39/height","photos/39/id","photos/39/image","photos/39/width","photos/40/height","photos/40/id","photos/40/image","photos/40/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
"0","1016902078","en","23932183",,,,,,,,"5712","811924467","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/64/fb/f3/caption.jpg","4284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82/5, Cemetery Road Ettukala, Negombo 11500 Sri Lanka","Negombo","Sri Lanka","11500",,"82/5, Cemetery Road","Ettukala","23932183","7.235011","Negombo, Western Province","79.842575","Belmont Boutique Hotel","180","4.9","1","0","1","8","170","https://www.tripadvisor.com/Hotel_Review-g297897-d23932183-Reviews-Belmont_Boutique_Hotel-Negombo_Western_Province.html","https://www.facebook.com/hotelbelmontlk","2025-07-06","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","A beautiful boutique hotel. The room was very spacious and very comfortable beds. The rooftop area was amazing with breathtaking views. A wonderful place to chill out in the evening. The hotel is spotlessly clean and has super welcoming friendly staff.
I highly recommend!!","Exceptional!","2025-04","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297897-d23932183-r1016902078-Belmont_Boutique_Hotel-Negombo_Western_Province.html",
"0","1016871631","en","23932183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82/5, Cemetery Road Ettukala, Negombo 11500 Sri Lanka","Negombo","Sri Lanka","11500",,"82/5, Cemetery Road","Ettukala","23932183","7.235011","Negombo, Western Province","79.842575","Belmont Boutique Hotel","180","4.9","1","0","1","8","170","https://www.tripadvisor.com/Hotel_Review-g297897-d23932183-Reviews-Belmont_Boutique_Hotel-Negombo_Western_Province.html","https://www.facebook.com/hotelbelmontlk","2025-07-06","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Amazing place, lovely people. Would recommend a hundred percent! If you have the chance to come, don’t think it twice!!","Best stay !","2025-07","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g297897-d23932183-r1016871631-Belmont_Boutique_Hotel-Negombo_Western_Province.html",
"0","1016810231","en","23932183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82/5, Cemetery Road Ettukala, Negombo 11500 Sri Lanka","Negombo","Sri Lanka","11500",,"82/5, Cemetery Road","Ettukala","23932183","7.235011","Negombo, Western Province","79.842575","Belmont Boutique Hotel","180","4.9","1","0","1","8","170","https://www.tripadvisor.com/Hotel_Review-g297897-d23932183-Reviews-Belmont_Boutique_Hotel-Negombo_Western_Province.html","https://www.facebook.com/hotelbelmontlk","2025-07-06","OTHER","5",,,,,,,,,,,,,,"This hotel exceeded our expectations!! From the free airport pickup, to the service to the quality of the rooms! The finishings of our room was of superb quality and the bed was super comfy!  We also enjoyed having a really delicious dinner at the rooftop, catching the sunset with spectacular views of the beach. The breakfast also had a lot of variety offering both international and local dishes!","Exceeded expectations!","2025-07","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g297897-d23932183-r1016810231-Belmont_Boutique_Hotel-Negombo_Western_Province.html",
"0","1016807857","en","23932183",,,,,,,,"1746","811832414","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/63/94/5e/caption.jpg","983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82/5, Cemetery Road Ettukala, Negombo 11500 Sri Lanka","Negombo","Sri Lanka","11500",,"82/5, Cemetery Road","Ettukala","23932183","7.235011","Negombo, Western Province","79.842575","Belmont Boutique Hotel","180","4.9","1","0","1","8","170","https://www.tripadvisor.com/Hotel_Review-g297897-d23932183-Reviews-Belmont_Boutique_Hotel-Negombo_Western_Province.html","https://www.facebook.com/hotelbelmontlk","2025-07-06","MOBILE","5",,,,,,,,,,,,,,"Excellent Short Stay Hotel with Airport Pickup/Drop off. Rooms were immaculate.
Very New Clean Hotel near the Touristy area in Negombo. We stayed our first and last day here. Genuinely kind and attentive staff. The rooftop bar and pool were the cherry on top.
Will definitely recommend and be back.!!","Excellent Hotel","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297897-d23932183-r1016807857-Belmont_Boutique_Hotel-Negombo_Western_Province.html",
"0","1016807260","en","23932183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82/5, Cemetery Road Ettukala, Negombo 11500 Sri Lanka","Negombo","Sri Lanka","11500",,"82/5, Cemetery Road","Ettukala","23932183","7.235011","Negombo, Western Province","79.842575","Belmont Boutique Hotel","180","4.9","1","0","1","8","170","https://www.tripadvisor.com/Hotel_Review-g297897-d23932183-Reviews-Belmont_Boutique_Hotel-Negombo_Western_Province.html","https://www.facebook.com/hotelbelmontlk","2025-07-06","OTHER","5",,"Value","5","Rooms","5","Location","4","Cleanliness","5","Service","5","Sleep Quality","5","Went with my family. nice location ( very close to the Negombo beach) very friendly staff great service. Food was absolutely delicious","SriLankan curry was delicious","2025-05","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g297897-d23932183-r1016807260-Belmont_Boutique_Hotel-Negombo_Western_Province.html",
"0","1013062689","en","23932183",,,,,,,,"2048","808127365","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2b/0b/85/caption.jpg","1536","1536","808127366","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2b/0b/86/caption.jpg","2048","1536","808127367","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2b/0b/87/caption.jpg","2048","2048","808127368","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2b/0b/88/caption.jpg","1536","1536","808127369","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2b/0b/89/caption.jpg","2048","1536","808127370","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2b/0b/8a/caption.jpg","2048","2048","808127371","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2b/0b/8b/caption.jpg","1536","2048","808127372","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2b/0b/8c/caption.jpg","1536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82/5, Cemetery Road Ettukala, Negombo 11500 Sri Lanka","Negombo","Sri Lanka","11500",,"82/5, Cemetery Road","Ettukala","23932183","7.235011","Negombo, Western Province","79.842575","Belmont Boutique Hotel","180","4.9","1","0","1","8","170","https://www.tripadvisor.com/Hotel_Review-g297897-d23932183-Reviews-Belmont_Boutique_Hotel-Negombo_Western_Province.html","https://www.facebook.com/hotelbelmontlk","2025-06-14","MOBILE","5",,,,,,,,,,,,,,"Totally enjoyed our stay here. Free transfers from airport. The English breakfast was more than sufficient and was very good quality. Was better than most large hotels. The staff here are very happy to help and made our stay so much more enjoyable.","Great spot to stay. Great staff. Great food. Great bottle shop around corner. 👍❤️","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297897-d23932183-r1013062689-Belmont_Boutique_Hotel-Negombo_Western_Province.html",
"1","1005908736","en","23932183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82/5, Cemetery Road Ettukala, Negombo 11500 Sri Lanka","Negombo","Sri Lanka","11500",,"82/5, Cemetery Road","Ettukala","23932183","7.235011","Negombo, Western Province","79.842575","Belmont Boutique Hotel","180","4.9","1","0","1","8","170","https://www.tripadvisor.com/Hotel_Review-g297897-d23932183-Reviews-Belmont_Boutique_Hotel-Negombo_Western_Province.html","https://www.facebook.com/hotelbelmontlk","2025-05-04","MOBILE","4",,,,,,,,,,,,,,"Nice modern hotel in an ok location but the staff are underemployed and bored so the service is suffocating. Also, we stayed one night - arriving at 6:00 pm and leaving at 8:30 am next day - and we were asked constantly to make a review on Tripadvisor or booking.com by different people. One employee thought it was a good idea to stand outside our door in the early morning and have a loud cell phone call - clueless. This place is nice but annoying.","Nice but annoying","2025-05","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g297897-d23932183-r1005908736-Belmont_Boutique_Hotel-Negombo_Western_Province.html",
"0","1005760367","en","23932183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82/5, Cemetery Road Ettukala, Negombo 11500 Sri Lanka","Negombo","Sri Lanka","11500",,"82/5, Cemetery Road","Ettukala","23932183","7.235011","Negombo, Western Province","79.842575","Belmont Boutique Hotel","180","4.9","1","0","1","8","170","https://www.tripadvisor.com/Hotel_Review-g297897-d23932183-Reviews-Belmont_Boutique_Hotel-Negombo_Western_Province.html","https://www.facebook.com/hotelbelmontlk","2025-05-03","MOBILE","5",,,,,,,,,,,,,,"We stayed here the night before we flew home and were delighted with our room and the hotel in general. About a 5 minute walk from the beach to see our last sunset, a clean and modern pool and dining area and great service. We had dinner at the hotel on the rooftop, the food was excellent. Breakfast was also great and our room and bathroom exceeded our expectations, very modern, spotlessly clean and everything you end, safe, tea and coffee, water, robes etc.
We used their shuttle service to get to the airport yesterday, all good. Very good value, we highly recommend.","Great hotel and ideal for airport","2025-05","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297897-d23932183-r1005760367-Belmont_Boutique_Hotel-Negombo_Western_Province.html",
"0","1002987014","en","23932183",,"General Manager","1003490596","en","2025-04-20","Nicola Dabrera","Thank you so much for your wonderful review!

It was our absolute pleasure to welcome you on your first visit to Sri Lanka, and we’re so glad to hear that your experience with us at Belmont Boutique Hotel got your journey off to a great start. We’re delighted that everything—from John’s warm airport welcome to your smooth check-in, the comfort of your deluxe room, and the delicious breakfast prepared and served with care by Samith and the team—met your expectations.

Your kind words truly mean a lot to all of us. We hope the rest of your time in Sri Lanka is just as enjoyable, and we would be thrilled to welcome you back again whenever your travels bring you this way.

Warmest wishes from all of us at Belmont!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82/5, Cemetery Road Ettukala, Negombo 11500 Sri Lanka","Negombo","Sri Lanka","11500",,"82/5, Cemetery Road","Ettukala","23932183","7.235011","Negombo, Western Province","79.842575","Belmont Boutique Hotel","180","4.9","1","0","1","8","170","https://www.tripadvisor.com/Hotel_Review-g297897-d23932183-Reviews-Belmont_Boutique_Hotel-Negombo_Western_Province.html","https://www.facebook.com/hotelbelmontlk","2025-04-16","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","We had a late arrival from Australia via Singapore ( Our first time in Sri Lanka) and the hotel driver John was waiting. No delays and smooth check in. Deluxe room spacious and clean. Aircon worked well. Bed was comfortable and the surrounding area quiet. Shower hot. Bottled water supplied. Breakfast was amazing, fresh fruits, yogurt, English and Sri Lankan options served with kindness by Samith and his colleagues. You cannot fault this hotel for a first night stay a short drive from the airport.","Fantastic experience","2025-04","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297897-d23932183-r1002987014-Belmont_Boutique_Hotel-Negombo_Western_Province.html",
"0","1001646287","en","23932183",,"General Manager","1003491151","en","2025-04-20","Nicola Dabrera","Thank you so much for your lovely review!

We’re delighted to hear that you enjoyed your stay at Belmont and found our location both convenient and peaceful — just steps away from the vibrant heart of Negombo yet tucked away enough for a restful night. It’s wonderful to know that you appreciated the spacious rooms, refreshing pool, and our seamless airport transfer service.

Thank you once again for choosing Belmont Boutique Hotel. We hope to welcome you back for another stay — whether short or long — on your next visit to Sri Lanka!

Warmest regards,
The Belmont Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82/5, Cemetery Road Ettukala, Negombo 11500 Sri Lanka","Negombo","Sri Lanka","11500",,"82/5, Cemetery Road","Ettukala","23932183","7.235011","Negombo, Western Province","79.842575","Belmont Boutique Hotel","180","4.9","1","0","1","8","170","https://www.tripadvisor.com/Hotel_Review-g297897-d23932183-Reviews-Belmont_Boutique_Hotel-Negombo_Western_Province.html","https://www.facebook.com/hotelbelmontlk","2025-04-08","OTHER","5",,,,,,,,,,,,,,"We stayed here for 2 nights (one of which was a late night post flight check in). The Belmont is in a great location, just a street back from the hustle and bustle, so it easy to walk everywhere but also quiet because of its location. The rooms are large, comfortable with a great bathroom/shower. The hotel off a free airport transfer which was seemless! The outdoor pool was amazing! Perfect for a dip any time of the day. Overall a great hotel for a short stay in Negombo!","Perfect for short stay and super easy to airport!","2025-04","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297897-d23932183-r1001646287-Belmont_Boutique_Hotel-Negombo_Western_Province.html",
