"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","photos/23/height","photos/23/id","photos/23/image","photos/23/width","photos/24/height","photos/24/id","photos/24/image","photos/24/width","photos/25/height","photos/25/id","photos/25/image","photos/25/width","photos/26/height","photos/26/id","photos/26/image","photos/26/width","photos/27/height","photos/27/id","photos/27/image","photos/27/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
"0","1016951677","en","506916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Rd, Marawila 61210 Sri Lanka","Marawila","Sri Lanka","61210",,"Beach Rd",,"506916","7.43363","Marawila, North Western Province","79.81224","Club Palm Bay","3464","4.5","66","82","198","735","2384","https://www.tripadvisor.com/Hotel_Review-g612379-d506916-Reviews-Club_Palm_Bay-Marawila_North_Western_Province.html","https://www.facebook.com/clubpalmbaymarawila","2025-07-07","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","My mother and I went together, Gayani and Ashe were very nice and friendly. It was a relaxing experience that left me completely zen.","Great and relaxing experience","2025-07","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g612379-d506916-r1016951677-Club_Palm_Bay-Marawila_North_Western_Province.html",
"0","1016770873","en","506916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Rd, Marawila 61210 Sri Lanka","Marawila","Sri Lanka","61210",,"Beach Rd",,"506916","7.43363","Marawila, North Western Province","79.81224","Club Palm Bay","3464","4.5","66","82","198","735","2384","https://www.tripadvisor.com/Hotel_Review-g612379-d506916-Reviews-Club_Palm_Bay-Marawila_North_Western_Province.html","https://www.facebook.com/clubpalmbaymarawila","2025-07-06","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","When we arrived at the hotel, we received a warm welcome. We also enjoyed some fun games organized by Mr. Amila Saman Kumara, which made our experience even better. The service was excellent, and we are truly thankful for the support.

A special thanks to the Front Office Manager, Mr. Indika, for his kind assistance. The food was also very good. Thank you once again for your wonderful hospitality.","PMM Mohamedali","2025-07","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g612379-d506916-r1016770873-Club_Palm_Bay-Marawila_North_Western_Province.html",
"0","1016765011","en","506916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Rd, Marawila 61210 Sri Lanka","Marawila","Sri Lanka","61210",,"Beach Rd",,"506916","7.43363","Marawila, North Western Province","79.81224","Club Palm Bay","3464","4.5","66","82","198","735","2384","https://www.tripadvisor.com/Hotel_Review-g612379-d506916-Reviews-Club_Palm_Bay-Marawila_North_Western_Province.html","https://www.facebook.com/clubpalmbaymarawila","2025-07-06","OTHER","5",,,,,,,,,,,,,,"This hotel is very beautiful..and foods are delicious. Especially restaurant staff service good. They are very helpful and kind. Specially thank for hostess kavishka and hostess shashikala .and rumesha. Thank you so much club palm bay for your service.","Experience is very good. Hotel and hotell staff  is very kind and there hospitality service also very good. Thank you so","2025-07","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g612379-d506916-r1016765011-Club_Palm_Bay-Marawila_North_Western_Province.html",
"0","1016763370","en","506916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Rd, Marawila 61210 Sri Lanka","Marawila","Sri Lanka","61210",,"Beach Rd",,"506916","7.43363","Marawila, North Western Province","79.81224","Club Palm Bay","3464","4.5","66","82","198","735","2384","https://www.tripadvisor.com/Hotel_Review-g612379-d506916-Reviews-Club_Palm_Bay-Marawila_North_Western_Province.html","https://www.facebook.com/clubpalmbaymarawila","2025-07-06","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Rooms are very nice. Good view from the veranda. Nice mangroves at view. Pool is good. Not deep enough though. (6ft) . Nice service . Very supportive staff. Food was good too. Can recommend black pork curry and batter fried seafood.","Nice view and good food","2025-07","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g612379-d506916-r1016763370-Club_Palm_Bay-Marawila_North_Western_Province.html",
"0","1016763262","en","506916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Rd, Marawila 61210 Sri Lanka","Marawila","Sri Lanka","61210",,"Beach Rd",,"506916","7.43363","Marawila, North Western Province","79.81224","Club Palm Bay","3464","4.5","66","82","198","735","2384","https://www.tripadvisor.com/Hotel_Review-g612379-d506916-Reviews-Club_Palm_Bay-Marawila_North_Western_Province.html","https://www.facebook.com/clubpalmbaymarawila","2025-07-06","OTHER","4",,,,,,,,,,,,,,"We had a wonderful experience club palm bay hotel and also restaurant staff is very friendly and they did a great job and especially mention restaurant hostess sashikala and sanjana definitely we will vist again we highly recommend this hotel","We had a wonderful experience","2025-07","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g612379-d506916-r1016763262-Club_Palm_Bay-Marawila_North_Western_Province.html",
"0","1016753251","en","506916",,,,,,,,"4000","811782296","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/62/d0/98/caption.jpg","3000","4000","811782295","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/62/d0/97/caption.jpg","3000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Rd, Marawila 61210 Sri Lanka","Marawila","Sri Lanka","61210",,"Beach Rd",,"506916","7.43363","Marawila, North Western Province","79.81224","Club Palm Bay","3464","4.5","66","82","198","735","2384","https://www.tripadvisor.com/Hotel_Review-g612379-d506916-Reviews-Club_Palm_Bay-Marawila_North_Western_Province.html","https://www.facebook.com/clubpalmbaymarawila","2025-07-05","OTHER","5",,"Value","3","Rooms","3","Location","5","Cleanliness","3","Service","4","Sleep Quality","4","It's beautiful, spacious hotel where you could relax with your family and loved ones. Food is okay. The room is spacious but could use a bit renovation. They have a huge pool and it's beautiful nature add it's own charm to the hotel. Lush with greenery and just lovely.","Club Palm Bay - Marawila","2025-07","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g612379-d506916-r1016753251-Club_Palm_Bay-Marawila_North_Western_Province.html",
"0","1016577793","en","506916",,,,,,,,"4080","811597224","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5f/fd/a8/caption.jpg","3060","4080","811597223","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5f/fd/a7/caption.jpg","3060","4080","811597181","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5f/fd/7d/caption.jpg","3060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Rd, Marawila 61210 Sri Lanka","Marawila","Sri Lanka","61210",,"Beach Rd",,"506916","7.43363","Marawila, North Western Province","79.81224","Club Palm Bay","3464","4.5","66","82","198","735","2384","https://www.tripadvisor.com/Hotel_Review-g612379-d506916-Reviews-Club_Palm_Bay-Marawila_North_Western_Province.html","https://www.facebook.com/clubpalmbaymarawila","2025-07-04","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","The Stay Was very Nice,Especially The Staffs in restaurants, Room Service,The Guys who took us for Boat ride were Excellent...over all a Good experience in a vast 30 acres Resort..Thanks to Mr.Keerthi GM & Associates for giving us a memorable Stay experience.","Memorable Stay","2025-07","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g612379-d506916-r1016577793-Club_Palm_Bay-Marawila_North_Western_Province.html",
"0","1016226214","en","506916",,,,,,,,"2268","811216526","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5a/2e/8e/caption.jpg","4032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Rd, Marawila 61210 Sri Lanka","Marawila","Sri Lanka","61210",,"Beach Rd",,"506916","7.43363","Marawila, North Western Province","79.81224","Club Palm Bay","3464","4.5","66","82","198","735","2384","https://www.tripadvisor.com/Hotel_Review-g612379-d506916-Reviews-Club_Palm_Bay-Marawila_North_Western_Province.html","https://www.facebook.com/clubpalmbaymarawila","2025-07-02","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","I would like to special thank you  ( executive sous chef shone) to make delicious food for us. And chef asanka munasingha. Again thank you  F&B hoster( kavishka) support to made wonderful service for us…","Best experience…!  excellent service","2025-07","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g612379-d506916-r1016226214-Club_Palm_Bay-Marawila_North_Western_Province.html",
"0","1016007521","en","506916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Rd, Marawila 61210 Sri Lanka","Marawila","Sri Lanka","61210",,"Beach Rd",,"506916","7.43363","Marawila, North Western Province","79.81224","Club Palm Bay","3464","4.5","66","82","198","735","2384","https://www.tripadvisor.com/Hotel_Review-g612379-d506916-Reviews-Club_Palm_Bay-Marawila_North_Western_Province.html","https://www.facebook.com/clubpalmbaymarawila","2025-07-01","OTHER","5","Pool experience was good .it was clean ","Value","5","Rooms","3","Location","5","Cleanliness","4","Service","5","Sleep Quality","5","We had an excellent stay at the hotel . And we really enjoyed . Staff was very supportive and employee in the name of Roshan wickramanayake really helped us to make our stay more comfortable and enjoyable.","Excellent","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g612379-d506916-r1016007521-Club_Palm_Bay-Marawila_North_Western_Province.html",
"0","1015643161","en","506916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beach Rd, Marawila 61210 Sri Lanka","Marawila","Sri Lanka","61210",,"Beach Rd",,"506916","7.43363","Marawila, North Western Province","79.81224","Club Palm Bay","3464","4.5","66","82","198","735","2384","https://www.tripadvisor.com/Hotel_Review-g612379-d506916-Reviews-Club_Palm_Bay-Marawila_North_Western_Province.html","https://www.facebook.com/clubpalmbaymarawila","2025-06-28","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","The service was super.entrance staff was very friendly.it is ver beautiful.special thanks to animation gaming conductor Mr.anura and team.we had lot of pleasure..💐","Nsb anamaduwa team","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g612379-d506916-r1015643161-Club_Palm_Bay-Marawila_North_Western_Province.html",
