"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","photos/23/height","photos/23/id","photos/23/image","photos/23/width","photos/24/height","photos/24/id","photos/24/image","photos/24/width","photos/25/height","photos/25/id","photos/25/image","photos/25/width","photos/26/height","photos/26/id","photos/26/image","photos/26/width","photos/27/height","photos/27/id","photos/27/image","photos/27/width","photos/28/height","photos/28/id","photos/28/image","photos/28/width","photos/29/height","photos/29/id","photos/29/image","photos/29/width","photos/30/height","photos/30/id","photos/30/image","photos/30/width","photos/31/height","photos/31/id","photos/31/image","photos/31/width","photos/32/height","photos/32/id","photos/32/image","photos/32/width","photos/33/height","photos/33/id","photos/33/image","photos/33/width","photos/34/height","photos/34/id","photos/34/image","photos/34/width","photos/35/height","photos/35/id","photos/35/image","photos/35/width","photos/36/height","photos/36/id","photos/36/image","photos/36/width","photos/37/height","photos/37/id","photos/37/image","photos/37/width","photos/38/height","photos/38/id","photos/38/image","photos/38/width","photos/39/height","photos/39/id","photos/39/image","photos/39/width","photos/40/height","photos/40/id","photos/40/image","photos/40/width","photos/41/height","photos/41/id","photos/41/image","photos/41/width","photos/42/height","photos/42/id","photos/42/image","photos/42/width","photos/43/height","photos/43/id","photos/43/image","photos/43/width","photos/44/height","photos/44/id","photos/44/image","photos/44/width","photos/45/height","photos/45/id","photos/45/image","photos/45/width","photos/46/height","photos/46/id","photos/46/image","photos/46/width","photos/47/height","photos/47/id","photos/47/image","photos/47/width","photos/48/height","photos/48/id","photos/48/image","photos/48/width","photos/49/height","photos/49/id","photos/49/image","photos/49/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
"0","1014366509","fr","3386434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/4 Roomassala Road, Unawatuna 80600 Sri Lanka","Unawatuna","Sri Lanka","80600",,"10/4 Roomassala Road",,"3386434","6.027523","Unawatuna, Galle District, Southern Province","80.24257","CoCoBay Unawatuna","1312","4.7","12","11","50","216","1023","https://www.tripadvisor.com/Hotel_Review-g644047-d3386434-Reviews-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html","https://www.facebook.com/CoCobayunawatuna/","2025-06-23","MOBILE","5",,,,,,,,,,,,,,"Superbe lieu, hôtel très propre, très calme en basse saison, avec plage privée, (nos enfants ont même pu faire du surf) adorable accueil, nourriture (curry) délicieux! Petit déjeuners copieux et savoureux. Nous reviendrons avec plaisir dans ce très bel hôtel!","Superbe!","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g644047-d3386434-r1014366509-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html",
"0","1013617188","en","3386434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/4 Roomassala Road, Unawatuna 80600 Sri Lanka","Unawatuna","Sri Lanka","80600",,"10/4 Roomassala Road",,"3386434","6.027523","Unawatuna, Galle District, Southern Province","80.24257","CoCoBay Unawatuna","1312","4.7","12","11","50","216","1023","https://www.tripadvisor.com/Hotel_Review-g644047-d3386434-Reviews-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html","https://www.facebook.com/CoCobayunawatuna/","2025-06-18","OTHER","4",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","luxurious large room. staff were all very friendly and likeable. enjoyed our stay here.

they were doing some maintainance so there was a bit of noise during the day","nice place","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g644047-d3386434-r1013617188-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html",
"0","1012844957","de","3386434",,,,,,,,"2048","807819048","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/26/57/28/caption.jpg","1536","2048","807819049","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/26/57/29/caption.jpg","1536","2048","807819050","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/26/57/2a/caption.jpg","1536","2048","807819051","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/26/57/2b/caption.jpg","1536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/4 Roomassala Road, Unawatuna 80600 Sri Lanka","Unawatuna","Sri Lanka","80600",,"10/4 Roomassala Road",,"3386434","6.027523","Unawatuna, Galle District, Southern Province","80.24257","CoCoBay Unawatuna","1312","4.7","12","11","50","216","1023","https://www.tripadvisor.com/Hotel_Review-g644047-d3386434-Reviews-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html","https://www.facebook.com/CoCobayunawatuna/","2025-06-13","MOBILE","5",,,,,,,,,,,,,,"Wir hatten einen tollen Aufenthalt. Waren 3 Nächte im Hotel.  Würden in der Hauptsaison wieder buchen, dann wäre im Meer schwimmen möglich. Das Personal wär sehr freundlich. Man konnte sich austauschen und hat so noch mehr über Sri Lanka erfahren.","Top Lage, sehr sehr freundliches Personal. Sehr gut gegessen. Sehr gepflegte Anlage.  Ich kann weiter emofehlen.,,,,,","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g644047-d3386434-r1012844957-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html",
"0","1010772238","en","3386434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/4 Roomassala Road, Unawatuna 80600 Sri Lanka","Unawatuna","Sri Lanka","80600",,"10/4 Roomassala Road",,"3386434","6.027523","Unawatuna, Galle District, Southern Province","80.24257","CoCoBay Unawatuna","1312","4.7","12","11","50","216","1023","https://www.tripadvisor.com/Hotel_Review-g644047-d3386434-Reviews-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html","https://www.facebook.com/CoCobayunawatuna/","2025-06-02","OTHER","5",,"Value","4","Rooms","5","Location","4","Cleanliness","5","Service","4","Sleep Quality","5","Amazing place for relaxing and quiet stay. I’ve spent there one week at the end of May 2025 and enjoyed it very much. The hotel is located quite on the ocean beach with fantastic views on the open ocean and Galle Fort. The facility is small and cozy that gives you a feeling of being like at home. Hotel management and team are very friendly, smiling and caring. All services are absolutely great, and even extra for a 4-star level. The meals are very delicious providing a variety of the local and other countries’ food. The hotel beach is very calm and comfortable with a nice pool next to it. There are many sightseeing locations in the close vicinity where you can go by tuk-tuk always available next to the hotel. I would recommend the Cocobay hotel to all tourists who want to explore Sri Lanka. And many thanks once again to all hotel team for my fabulous days there!","Marvelous stay at Coco Bay Hotel","2025-05","SOLO","https://www.tripadvisor.com/ShowUserReviews-g644047-d3386434-r1010772238-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html",
"0","1009976977","en","3386434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/4 Roomassala Road, Unawatuna 80600 Sri Lanka","Unawatuna","Sri Lanka","80600",,"10/4 Roomassala Road",,"3386434","6.027523","Unawatuna, Galle District, Southern Province","80.24257","CoCoBay Unawatuna","1312","4.7","12","11","50","216","1023","https://www.tripadvisor.com/Hotel_Review-g644047-d3386434-Reviews-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html","https://www.facebook.com/CoCobayunawatuna/","2025-05-28","OTHER","5",,,,,,,,,,,,,,"We had an amazing time
At COCOBAY. The staff was very sweet, empathetic and helpful. The room
And the view was absolutely enthralling. 

I would recommend this place to anyone visiting unawatuna for great views, people and service. It was a memorable stay.","Loved our stay at cocobay!","2025-05","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g644047-d3386434-r1009976977-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html",
"0","1009940450","en","3386434",,,,,,,,"1512","805184667","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fe/24/9b/caption.jpg","2016","3000","805184736","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fe/24/e0/caption.jpg","4000","3000","805184737","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fe/24/e1/caption.jpg","4000","4000","805184738","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fe/24/e2/caption.jpg","3000","4000","805184739","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fe/24/e3/caption.jpg","3000","4000","805184740","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fe/24/e4/caption.jpg","3000","1200","805184851","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fe/25/53/caption.jpg","1600","1600","805184905","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fe/25/89/caption.jpg","1200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/4 Roomassala Road, Unawatuna 80600 Sri Lanka","Unawatuna","Sri Lanka","80600",,"10/4 Roomassala Road",,"3386434","6.027523","Unawatuna, Galle District, Southern Province","80.24257","CoCoBay Unawatuna","1312","4.7","12","11","50","216","1023","https://www.tripadvisor.com/Hotel_Review-g644047-d3386434-Reviews-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html","https://www.facebook.com/CoCobayunawatuna/","2025-05-27","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","This was our second time staying at Cocobay Unawatuna, and it was just as magical as the first—if not better. If you're looking to unwind, relax, and recharge, this is the perfect place.

We had a room with a private plunge pool, which was spotless and cleaned every morning. Impressively, even if a leaf fell in, the lifeguard would somehow sense it and appear with a net to fish it out—amazing attention to detail!

The hotel is tucked away in a peaceful spot, just a short 15-minute tuk tuk ride to Galle or Unawatuna, making it feel like a serene escape without being too far from town.

From the moment we arrived, the reception team made us feel completely welcome with a delicious welcome drink and a smooth check-in process.

All the staff were friendly and accommodating, always ready to help. The housekeeping team was especially thoughtful—one day, we returned to find the cutest towel elephant waiting for us on the bed!

If you're an animal lover, you’ll adore the two gentle, affectionate resident dogs, Spicy and Chia. They were a joy to be around and made the place feel even more homely.

We also really enjoyed dining at Le Mer, the in-house restaurant. The food was delicious, and the team was more than happy to accommodate our preferences.

Cocobay Unawatuna is a hidden gem and holds a special place in our hearts. It's ideal for couples looking for a peaceful, romantic, and heartwarming getaway. We’ll definitely be back!","Second Stay – Even Better Than the First! A Peaceful, Romantic Escape","2025-05","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g644047-d3386434-r1009940450-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html",
"0","1006259975","en","3386434",,,,,,,,"4284","801958037","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/cc/e8/95/caption.jpg","5712","2268","801958038","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/cc/e8/96/caption.jpg","4032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/4 Roomassala Road, Unawatuna 80600 Sri Lanka","Unawatuna","Sri Lanka","80600",,"10/4 Roomassala Road",,"3386434","6.027523","Unawatuna, Galle District, Southern Province","80.24257","CoCoBay Unawatuna","1312","4.7","12","11","50","216","1023","https://www.tripadvisor.com/Hotel_Review-g644047-d3386434-Reviews-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html","https://www.facebook.com/CoCobayunawatuna/","2025-05-07","OTHER","5",,"Value","4","Rooms","5","Location","4","Cleanliness","5","Service","5","Sleep Quality","4","Lovely resort. On the Beach .... the room had the sea view.
Rooms were very comfortable and spacious.
The restaurant staff were very courteous and helpful.
The restaurant also overlooks the sea.
A nice small swimming pool.
The beach is a private beach with calm shores.","Nice place for a family relaxed vacation","2025-05","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g644047-d3386434-r1006259975-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html",
"0","1005695269","en","3386434",,,,,,,,"4000","801403008","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/c4/70/80/caption.jpg","1800","4000","801403009","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/c4/70/81/caption.jpg","1800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/4 Roomassala Road, Unawatuna 80600 Sri Lanka","Unawatuna","Sri Lanka","80600",,"10/4 Roomassala Road",,"3386434","6.027523","Unawatuna, Galle District, Southern Province","80.24257","CoCoBay Unawatuna","1312","4.7","12","11","50","216","1023","https://www.tripadvisor.com/Hotel_Review-g644047-d3386434-Reviews-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html","https://www.facebook.com/CoCobayunawatuna/","2025-05-03","OTHER","5","Check the availability earlier, they fills really fast.","Value","4","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","The pillows are so damn Good, soft and comfy for a comfortable sleep so as the bed.
Food tastes really good and staff is really really friendly and helpful, 
View and quietness makes me lot happier. Room are very clean and well equipped and arranged. I recommend this place as one of the best places that you should enjoy with all the hospitality and the environment together...","Happy and enjoyable with nature","2025-04","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g644047-d3386434-r1005695269-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html",
"0","1005585600","en","3386434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/4 Roomassala Road, Unawatuna 80600 Sri Lanka","Unawatuna","Sri Lanka","80600",,"10/4 Roomassala Road",,"3386434","6.027523","Unawatuna, Galle District, Southern Province","80.24257","CoCoBay Unawatuna","1312","4.7","12","11","50","216","1023","https://www.tripadvisor.com/Hotel_Review-g644047-d3386434-Reviews-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html","https://www.facebook.com/CoCobayunawatuna/","2025-05-02","OTHER","5","I think all rooms have a sea view (except for room used for early or late check in/out). TukTuks available down road as well as at hotel.
","Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","I spent five nights here and loved it all.  The room (I did have one with it's own pool), the service, helpfulness, and restaurant were all amazing. I thought I would feel a little out of it being solo but it was perfect. I ate outside most nights which was a beautifully created setting. I had not intended to eat in the hotel's restaurant every night but the food and service was just so good. 
The beach was cleared of any rubbish at least twice a day but this is a very difficult and ongoing issue with all of the hotels.
The main pool was also great and perfect for children. So I felt whether you were solo, a couple, or a family, this boutique hotel was idyllic for all. Very friendly and helpful.
Loved it and although I did not think I would need to return to Sri Lanka after doing a 14 day tour, this is a great alternative for some much needed downtime.","Perfection! Boutique Hotel","2025-03","SOLO","https://www.tripadvisor.com/ShowUserReviews-g644047-d3386434-r1005585600-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html",
"1","1005465106","nl","3386434",,,,,,,,"1500","801185920","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/c1/20/80/caption.jpg","2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/4 Roomassala Road, Unawatuna 80600 Sri Lanka","Unawatuna","Sri Lanka","80600",,"10/4 Roomassala Road",,"3386434","6.027523","Unawatuna, Galle District, Southern Province","80.24257","CoCoBay Unawatuna","1312","4.7","12","11","50","216","1023","https://www.tripadvisor.com/Hotel_Review-g644047-d3386434-Reviews-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html","https://www.facebook.com/CoCobayunawatuna/","2025-05-02","MOBILE","5",,,,,,,,,,,,,,"Rustig en kleinschalig hotel, direct aan de zee en een klein strand. Staff is uitermate vriendelijk en behulpzaam met alles. Ontbijt en diner waren inbepregen en gewoon goed en lekker. Prijzen niet  te hoog. Met een uber ben je in 5.minuten bij het fort voor rond de 1200 roepie. Op het prive strand voldoende bedjes. Kamer was ruin en wij kregen een gratis upgeade naar suite. Alle kamers hebben zee zicht.  Al met al een prima uitvals basis. ","Vriendelijkste hotel in Unawatana","2025-05","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g644047-d3386434-r1005465106-CoCoBay_Unawatuna-Unawatuna_Galle_District_Southern_Province.html",
