"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","photos/23/height","photos/23/id","photos/23/image","photos/23/width","photos/24/height","photos/24/id","photos/24/image","photos/24/width","photos/25/height","photos/25/id","photos/25/image","photos/25/width","photos/26/height","photos/26/id","photos/26/image","photos/26/width","photos/27/height","photos/27/id","photos/27/image","photos/27/width","photos/28/height","photos/28/id","photos/28/image","photos/28/width","photos/29/height","photos/29/id","photos/29/image","photos/29/width","photos/30/height","photos/30/id","photos/30/image","photos/30/width","photos/31/height","photos/31/id","photos/31/image","photos/31/width","photos/32/height","photos/32/id","photos/32/image","photos/32/width","photos/33/height","photos/33/id","photos/33/image","photos/33/width","photos/34/height","photos/34/id","photos/34/image","photos/34/width","photos/35/height","photos/35/id","photos/35/image","photos/35/width","photos/36/height","photos/36/id","photos/36/image","photos/36/width","photos/37/height","photos/37/id","photos/37/image","photos/37/width","photos/38/height","photos/38/id","photos/38/image","photos/38/width","photos/39/height","photos/39/id","photos/39/image","photos/39/width","photos/40/height","photos/40/id","photos/40/image","photos/40/width","photos/41/height","photos/41/id","photos/41/image","photos/41/width","photos/42/height","photos/42/id","photos/42/image","photos/42/width","photos/43/height","photos/43/id","photos/43/image","photos/43/width","photos/44/height","photos/44/id","photos/44/image","photos/44/width","photos/45/height","photos/45/id","photos/45/image","photos/45/width","photos/46/height","photos/46/id","photos/46/image","photos/46/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
"0","1014771202","en","19126810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirawanagama Road Lower Blackwood, Nikapotha, Beragala 71622 Sri Lanka","Beragala","Sri Lanka","71622",,"Kirawanagama Road","Lower Blackwood, Nikapotha","19126810","6.75395","Beragala, Uva Province","80.92218","Dream Cliff Mountain Resort","210","4.7","6","3","9","18","174","https://www.tripadvisor.com/Hotel_Review-g1961272-d19126810-Reviews-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html","http://www.dreamcliffresort.com","2025-06-23","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","We had the most wonderful experience staying at Dream Cliff Mountain Resort. From the day we arrived until the day we left, the staff and management looked after us so well, it really felt like home.

The location of the resort is beautiful. It’s up in the mountains, and we had the most amazing views from our Beehive Room, the swimming pool, and even the dining area. Everywhere you looked, there were stunning mountain views.

One thing that really stood out to us was how well they looked after our food needs. We don’t eat onion or garlic, and every day the chef made us special meals off the menu. It meant a lot to us and made our stay even more comfortable.

What we loved the most was their attitude. It felt like the word “no” didn’t exist for them. Every request we had, big or small, was taken care of with a smile.

Since we stayed there for 6 nights, the resort even surprised us with a small going-away gift. It was such a thoughtful gesture and made us feel really special.

We left with lovely memories and so much appreciation for the whole team.","The best Stay at Dream Cliff Mountain Resort","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g1961272-d19126810-r1014771202-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html",
"0","985533380","en","19126810",,"Owner","986405376","en","2024-12-25","Farzaan Jabir","Thank you for the beautiful review of our resort. 
We appreciate people like you coming and staying with us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirawanagama Road Lower Blackwood, Nikapotha, Beragala 71622 Sri Lanka","Beragala","Sri Lanka","71622",,"Kirawanagama Road","Lower Blackwood, Nikapotha","19126810","6.75395","Beragala, Uva Province","80.92218","Dream Cliff Mountain Resort","210","4.7","6","3","9","18","174","https://www.tripadvisor.com/Hotel_Review-g1961272-d19126810-Reviews-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html","http://www.dreamcliffresort.com","2024-12-20","OTHER","5",,,,,,,,,,,,,,"This hotel is a perfect example of when nature meets luxury. Neither is it too rural, nor too commercial.
The rooms are an experience in themselves. The dorm shape is unique and beautiful. Sounds and voices echo inside the rooms and is actually quite enjoyable. Due to its shape, the room is very spacious (especially worth it for the money). The furnishing is also unique and natural.
The food is truly delicious. We ordered lunch from the restaurant and the portions were much bigger than expected.
And the view off the balconies were amazing; a perfect spot to have an afternoon tea.
The staff was very friendly and helpful.

It is a must stay at laste once in a lifetime.","Perfect Combination of Nature and Luxury","2024-12","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g1961272-d19126810-r985533380-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html",
"0","1011202890","en","19126810",,"Owner","1012487304","en","2025-06-10","Farzaan Jabir","Thank you for visiting us and we are glad that you had an amazing time with your family.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirawanagama Road Lower Blackwood, Nikapotha, Beragala 71622 Sri Lanka","Beragala","Sri Lanka","71622",,"Kirawanagama Road","Lower Blackwood, Nikapotha","19126810","6.75395","Beragala, Uva Province","80.92218","Dream Cliff Mountain Resort","210","4.7","6","3","9","18","174","https://www.tripadvisor.com/Hotel_Review-g1961272-d19126810-Reviews-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html","http://www.dreamcliffresort.com","2025-06-05","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","4","Service","4","Sleep Quality","5","The place and environment was soo good. We as a family very much enjoyed the view and the place. The meals were served very much methodically and well. The taste of the food was also highly appreciatable. The hospitality of the staff were Very good and they were very friendly too.","Excellent","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g1961272-d19126810-r1011202890-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html",
"0","1011160694","en","19126810",,"Owner","1012487385","en","2025-06-10","Farzaan Jabir","Thank you for the beautiful review. We are having so many repeat clients and it goes on to say that people are falling in love with Dream Cliff. See you again Chris.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirawanagama Road Lower Blackwood, Nikapotha, Beragala 71622 Sri Lanka","Beragala","Sri Lanka","71622",,"Kirawanagama Road","Lower Blackwood, Nikapotha","19126810","6.75395","Beragala, Uva Province","80.92218","Dream Cliff Mountain Resort","210","4.7","6","3","9","18","174","https://www.tripadvisor.com/Hotel_Review-g1961272-d19126810-Reviews-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html","http://www.dreamcliffresort.com","2025-06-04","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","The overall experience is so good and beautiful. Resort had good architecture and nice views. Pleasant atmosphere was truly commendable. The restaurant served very nice food and the customer service was far above our expectations, staff were really professional. Definitely it's worth for a repeat visit .","Best Mountain Resort to visit!","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g1961272-d19126810-r1011160694-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html",
"0","1008992854","en","19126810",,"Owner","1012487473","en","2025-06-10","Farzaan Jabir","Thank you for the fantastic review. Your words say its all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirawanagama Road Lower Blackwood, Nikapotha, Beragala 71622 Sri Lanka","Beragala","Sri Lanka","71622",,"Kirawanagama Road","Lower Blackwood, Nikapotha","19126810","6.75395","Beragala, Uva Province","80.92218","Dream Cliff Mountain Resort","210","4.7","6","3","9","18","174","https://www.tripadvisor.com/Hotel_Review-g1961272-d19126810-Reviews-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html","http://www.dreamcliffresort.com","2025-05-24","OTHER","5",,"Value","5","Rooms","4","Location","5","Cleanliness","5","Service","5","Sleep Quality","4","We had a truly invigorating two night stay at Dream Cliff with its silence and ideal weather. Sweeping views looking towards the south eastern part of the country with rolling hills sloping toward the planes dotted with ancient tanks, paddy fields and jungles. The backdrop was the majestic cliffs of the Haputale Range. Very well kept dome shaped rooms, two pools including one infinity pool merging with the rolling hills and the planes. All the staff, service and the food were excellent.  The manager Mr Raphael Dias had his feet firmly on the ground and took good care of us. Steward Athula went out of his way assisted by Pradeep, to mention only a few.  Reminded us of     Rev Walter Stanley Senior, that English poet with a Sri Lankan heart, who was in love with this area and whose  ashes are interred at the most picturesque St. Andrew's Church, Haputale, nearby.
""Here I stand in spirit
as in body once I stood
Long years ago, in love with all the land
This peerless land of Beauty's plenitude""","A Cool Hillside Haven with Sweeping Views of the Planes","2025-05","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g1961272-d19126810-r1008992854-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html",
"0","1007286379","en","19126810",,"Owner","1008205141","en","2025-05-18","Farzaan Jabir","Thank you Ishanthi for the beautiful review. Hope to see you again with your family.","4284","802875459","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/43/caption.jpg","5712","5712","802875460","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/44/caption.jpg","4284","4284","802875461","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/45/caption.jpg","5712","2208","802875462","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/46/caption.jpg","1242","4284","802875463","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/47/caption.jpg","5712","5712","802875464","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/48/caption.jpg","4284","5712","802875465","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/49/caption.jpg","4284","5712","802875466","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/4a/caption.jpg","4284","5712","802875467","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/4b/caption.jpg","4284","4284","802875468","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/4c/caption.jpg","5712","3024","802875469","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/4d/caption.jpg","4032","4284","802875470","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/4e/caption.jpg","5712","4032","802875471","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e8/4f/caption.jpg","3024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirawanagama Road Lower Blackwood, Nikapotha, Beragala 71622 Sri Lanka","Beragala","Sri Lanka","71622",,"Kirawanagama Road","Lower Blackwood, Nikapotha","19126810","6.75395","Beragala, Uva Province","80.92218","Dream Cliff Mountain Resort","210","4.7","6","3","9","18","174","https://www.tripadvisor.com/Hotel_Review-g1961272-d19126810-Reviews-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html","http://www.dreamcliffresort.com","2025-05-13","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","4","We had the most glorious time at Dream Cliff Mountain resort! The beehive cabanas are all overlooking the beautiful and breathtaking Beragala gap, with the udawalawe reservoir in the back ground. We spent hours on our balcony as the view seemed to change every few minutes based on the sun! When it was behind a cloud the mist slowly crept in between the mountains creating shadows on land below, and when the sun came out the mist disappeared illuminating the hills and valleys. We were even able to experience the early morning sunrise and evening sunset from the comfort of our balcony.
The resort is above a panoramic view of mountain ranges with an infinity pool that allows us to soak in the sun while enjoying the view.

The restaurant is very spacious and the food was delicious! The staff were very accommodating and went over and beyond to make our stay comfortable and memorable.
We went on a hike and the hotel arranged transport and a guide to take us which was very helpful. The village trek ends at a beautiful waterfall which was a thrill for all of us.
Highly recommend this resort as a hill country getaway!
Heaven is a place on earth, and it’s definitely Dream Cliff Mountain!","Paradise found - at Dream Cliff Mountain Resort","2025-05","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g1961272-d19126810-r1007286379-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html",
"0","1007176251","en","19126810",,"Owner","1008205195","en","2025-05-18","Farzaan Jabir","Thank you Tina for the wonderful review.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirawanagama Road Lower Blackwood, Nikapotha, Beragala 71622 Sri Lanka","Beragala","Sri Lanka","71622",,"Kirawanagama Road","Lower Blackwood, Nikapotha","19126810","6.75395","Beragala, Uva Province","80.92218","Dream Cliff Mountain Resort","210","4.7","6","3","9","18","174","https://www.tripadvisor.com/Hotel_Review-g1961272-d19126810-Reviews-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html","http://www.dreamcliffresort.com","2025-05-13","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","We had a fantastic stay at Dream Cliff. The views were amazing and the meals were also very good. The staff were also very welcoming and accommodating.  They were kind enough to return by courier an item that had been left behind by us in the room.","A comfortable stay at Dream Cliff","2025-04","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g1961272-d19126810-r1007176251-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html",
"0","1006529399","en","19126810",,"Owner","1008205618","en","2025-05-18","Farzaan Jabir","Thank you for the excellent review. We are in the process of developing a Yoga and mediation center.","1536","802246327","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d1/4e/b7/caption.jpg","2048","2048","802246328","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d1/4e/b8/caption.jpg","1536","1536","802246329","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d1/4e/b9/caption.jpg","2048","1536","802246330","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d1/4e/ba/caption.jpg","2048","1536","802246331","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d1/4e/bb/caption.jpg","2048","2048","802246332","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d1/4e/bc/caption.jpg","1536","1536","802246333","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d1/4e/bd/caption.jpg","2048","1536","802246334","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d1/4e/be/caption.jpg","2048","1536","802246335","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d1/4e/bf/caption.jpg","2048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirawanagama Road Lower Blackwood, Nikapotha, Beragala 71622 Sri Lanka","Beragala","Sri Lanka","71622",,"Kirawanagama Road","Lower Blackwood, Nikapotha","19126810","6.75395","Beragala, Uva Province","80.92218","Dream Cliff Mountain Resort","210","4.7","6","3","9","18","174","https://www.tripadvisor.com/Hotel_Review-g1961272-d19126810-Reviews-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html","http://www.dreamcliffresort.com","2025-05-09","MOBILE","5","Don’t trust you satnav - there is a simple road and a narrow winding lane.",,,,,,,,,,,,,"An unusual formula that works really well. The ‘beehives’ for each guest room are as comfortable and well appointed as they are unique. 
The main building is palatial and spacious. The food is great, the fish platter epic.  The pool is fun, wonderful view and such. And possible to have a good swim if you can swim a semicircular path.
Would make a great venue for a yoga retreat.","I would be happy to return.","2025-05","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g1961272-d19126810-r1006529399-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html",
"0","1003923165","es","19126810",,"Owner","1005197470","en","2025-04-30","Mohamed Farzaan Jabir","Thank you for the beautiful review. Kindly spread the message amongst your friends and family and recommend us to them so that they can have the best of Sri Lanka during their holiday.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirawanagama Road Lower Blackwood, Nikapotha, Beragala 71622 Sri Lanka","Beragala","Sri Lanka","71622",,"Kirawanagama Road","Lower Blackwood, Nikapotha","19126810","6.75395","Beragala, Uva Province","80.92218","Dream Cliff Mountain Resort","210","4.7","6","3","9","18","174","https://www.tripadvisor.com/Hotel_Review-g1961272-d19126810-Reviews-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html","http://www.dreamcliffresort.com","2025-04-23","OTHER","5","Está perdido en medio de la naturaleza, pero nosotros hicimos parada entre Nuwara Eliya y yala y valío la pena. ","Value","5","Rooms","5","Location","4","Cleanliness","5","Service","5","Sleep Quality","5","Es un hotel con una localización y vistas únicas. Es una experiencia para hacer una noche, y descansar en medio de la naturaleza. 
La piscina es preciosa con todas las vistas a la naturaleza desde el agua... El restaurante está detrás y tomar algo al atardecer es una gran experiencia. 
La cena y desayuno muy correcto y siempre intentando agradar y hacer lo que mejor te convenga. Nosotros desayunamos el ""continental"" y estaba lleno de comida, diferentes panes, confituras, croissants, zumos, cafés, y huevos del tipo que quieras que te cocinan y te traen a la mesa. 
Las habitaciones son cabañas muy auténticas en medio de la naturaleza. Yo estaba dentro de la habitación y por mi terraza cruzaron varias veces diferentes animales, mamíferos, con toda tranquilidad pensando que no había nada. La habitación es una única pieza como una cabaña que se comunica baño y habitación por arriba y la acústica es diferente (con eco) por la forma de la cabaña pero es una experiencia única. Las habitaciones (cogimos 2 cabañas porque íbamos con niños) muy limpias, el aire acondicionado funcionaba perfectamente, el baño y la ducha super agradables (suelo de piedras, jabones todo lo que necesitábamos estaba) y las camas muy cómodas. 
El personal en todo momento nos ayudó con maletas, con los niños y estuvo pendiente de que pasaramos una velada fantástica y así fue. 
Vale la pena la experiencia!!","Cabañas muy auténticas, en medio de la naturaleza. Vistas increíbles! Vale la pena","2025-04","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g1961272-d19126810-r1003923165-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html",
"0","1003816547","en","19126810",,"Owner","1005197583","en","2025-04-30","Mohamed Farzaan Jabir","Thank you Debbie for the 5 star review. It was a great pleasure to have you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirawanagama Road Lower Blackwood, Nikapotha, Beragala 71622 Sri Lanka","Beragala","Sri Lanka","71622",,"Kirawanagama Road","Lower Blackwood, Nikapotha","19126810","6.75395","Beragala, Uva Province","80.92218","Dream Cliff Mountain Resort","210","4.7","6","3","9","18","174","https://www.tripadvisor.com/Hotel_Review-g1961272-d19126810-Reviews-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html","http://www.dreamcliffresort.com","2025-04-22","OTHER","5","Enjoy yourself","Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","What an absolutely fantastic location overlooking the valley and the beehives are just amazing.  We stayed in a King Beehive and it was so quirky, the bathroom was great and the balcony and views were stunning.  Infinity pool and restaurant were very good.  Staff very helpful and polite.","Stunning","2025-04","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g1961272-d19126810-r1003816547-Dream_Cliff_Mountain_Resort-Beragala_Uva_Province.html",
