"error","helpfulVotes","id","input","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
,"0","1001759940",,"en","8871806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wildlife Tourism Zone, Palatupana, Yala National Park 82600 Sri Lanka","Palatupana","Sri Lanka","82600",,"Wildlife Tourism Zone",,"8871806","6.264492","Palatupana, Yala National Park","81.41136","Uga Chena Huts","1157","4.9","1","4","11","40","1102","https://www.tripadvisor.com/Hotel_Review-g3748686-d8871806-Reviews-Uga_Chena_Huts-Palatupana_Yala_National_Park.html","http://www.ugaescapes.com/chenahuts/","2025-04-09","MOBILE","2","Don’t go.",,,,,,,,,,,,,"What a waste of money. Overrated. 

I’ll start with the positives: 

-Rooms are nice and spacious, maybe a touch dated but overall solid quality. Outdoor pool is good but again pretty dated. 

-Food is awesome. Not the best we had in Sri Lanka but very solid cooking. 

Now the negatives:

-Safaris are laughable. This was supposed to be the highlight of the stay and the reason to go to Yala. Our guide was essentially useless - did not point things out, just sat in the car. Driving was erratic at best and dangerous at worst. We almost canceled the rest of our stay after the first night it was so bad. 

-Management was nowhere to be found. We brought up our negative safari experience to the front desk and asked to speak with a manager - this resulted in them sending over the safari guide who we proceeded to have a highly confrontational, uncomfortable, and awkward conversation with. 

-The wine list is comically bad. For an all-inclusive hotel priced at $1500+/night I expect better than $5/bottle wine. And even the options to purchase were limited / uninteresting. 

At the end of the day, there are FAR better resorts for FAR less $ in Sri Lanka. Shoutout to Haritha Villas & Spa in Hikkaduwa (for example). 

Uga Chena is way overhyped and incredibly overpriced. Most of the time we were saying things like “damn - I really wish this hotel was as good as their marketing.”","Waste of Money","2025-03","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g3748686-d8871806-r1001759940-Uga_Chena_Huts-Palatupana_Yala_National_Park.html",
,"1","573862201",,"en","8871806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wildlife Tourism Zone, Palatupana, Yala National Park 82600 Sri Lanka","Palatupana","Sri Lanka","82600",,"Wildlife Tourism Zone",,"8871806","6.264492","Palatupana, Yala National Park","81.41136","Uga Chena Huts","1157","4.9","1","4","11","40","1102","https://www.tripadvisor.com/Hotel_Review-g3748686-d8871806-Reviews-Uga_Chena_Huts-Palatupana_Yala_National_Park.html","http://www.ugaescapes.com/chenahuts/","2018-04-16","MOBILE","2",,,,,,,,,,,,,,"We visited Chena Huts with our 2 kids on Spring Break to have a short Safari experience. Though the overall trip to the hotel was good in terms of the game drives, the facilities and the food, we had serious concerns about the cleanliness and hygiene of the rooms.

I understand that we are in a National Park so there are lots of wild animals and it’s possible a small one can find it’s way into a room. However we did not expect that a rat would have made a home in our mini fridge.

We had to wake up at 5am for a game drive  and from midnight till 3am we were not able to sleep because we kept hearing plastic noises from the mini bar. What was later found to be the rat tugging away at the packet of complimentary cookies.

We had to call the reception and complain 5 times until they finally woke up some people and sent them to our room. After that the guys did not find anything so I told them I have seen the rat and it is probably inside the body of the fridge. Since it wasn’t going to come out itself I told them they might as well pick up the fridge and move it out of the room. As soon as they picked up the fridge the entire floor below it was covered with rat droppings.

The next morning housekeeping cleaned it up and replaced the fridge but surprisingly after this whole experience the manager said that we take your word for it because we didn’t find anything. They denied the whole experience that took place at night and covered it all up while we were on the game drive.

We spent the next 2 days fighting it out with the management and demanded a basic compensation of a 1 night refund since our first night out of only 2 nights was entirely ruined and we got no sleep at all. However they never owned up and took any action. Our agent continued to fight with them for 2 more weeks and they cold to be bothered.

It is a beautiful property but I would be seriously concerned about the hygiene levels. I can understand a raccoon or squirrel in the room but not a rat. The customer service of the management is far from 5 star despite the restaurant staff, chefs and facilities overall being amazing.","There was a rat in the room!!","2018-03","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g3748686-d8871806-r573862201-Uga_Chena_Huts-Palatupana_Yala_National_Park.html",
,"2","465550888",,"en","8871806",,"CEO","469974357","en","2017-03-24","Ramli G","Dear Guest,

Thank you for staying at Chena Huts. We are pleased to know that you were happy with the quality of our cuisine and comfort design of the rooms.

Having 14 luxury cabins and offering an All Inclusive service to our guests we are of the opinion that one restaurant would be sufficient offering a-la carte and customized cuisine with both indoor and outdoor dining. In  addition we also offer private dining experiences at special locations on request. 

While we have constant positive feedback on our spa and therapists from other guests we are happy to note that you had continued to book treatments though out your stay. 

You feedback is appreciated since we strive to continuously improve our guest experience. 

Best Regards,

Ramli Ghaffoor
Director/CEO
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wildlife Tourism Zone, Palatupana, Yala National Park 82600 Sri Lanka","Palatupana","Sri Lanka","82600",,"Wildlife Tourism Zone",,"8871806","6.264492","Palatupana, Yala National Park","81.41136","Uga Chena Huts","1157","4.9","1","4","11","40","1102","https://www.tripadvisor.com/Hotel_Review-g3748686-d8871806-Reviews-Uga_Chena_Huts-Palatupana_Yala_National_Park.html","http://www.ugaescapes.com/chenahuts/","2017-03-08","MOBILE","2",,,,,,,,,,,,,,"New resort in a great location just 100m from the beach, very quiet and good atmosphere
-Rooms: are well equipped and comfort design, but too dark and is a pity when nature outside is wonderful..!Try to avoid interior bungalows and choose facing the beach or lagoon. Must say that they help us to have a good location when we ask her. Poor snack amenities
-Spa: Not the best in Sri Lanka, was just ok, but was easy to book even with rains
-Restaurant: Only one, and not integrated in such a beautiful place, windows all around feeling like you are in a jail, and you have to ask to dinner or breakfast outside in the terrace. My advise: They can put some big sunshades to enjoy more the terrace-beach even if rains because it worth
-Food: dinner food and wine was very good all the time. But not for breakfast where food was medium 
-Staff: very friendly and helpful but the manager should do more efforts to put more happiness in the air, including herself
-Safari: good vehicles with snacks and drinks and good driver and guide (Janick if I'm not bad...) but in my opinion Yala is not the place to do Safaris. You can find 75% more animals in Kenia or Southafrica, but I have to add that place is amazing (but plenty of jeeps) :(

I recommend this resort if you want to enjoy a calm holiday just walking around, doing spa/pool/sun, spot birds or just expecting to be lucky during the safari tour... otherwise no","Could be better","2017-03","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g3748686-d8871806-r465550888-Uga_Chena_Huts-Palatupana_Yala_National_Park.html",
,"6","454254942",,"en","8871806",,"CEO","454865801","en","2017-01-25","Ramli G","Dear Guest,

Thank you for staying at Chena Huts and taking your time off to review us. 

It is a pleasure to hear that you enjoyed the game drive at Yala National Park. We pride ourselves in having a great team working with us and it is indeed a pleasure to know that you have experienced the excellent service our staff extends.  

The fine culinary skills we offer is usually highly appreciated by our guests but I regret to hear that you did not share a similar sentiment.

Our All-inclusive rate you’ve enjoyed includes our luxury cabin with private plunge pool, all meals and beverages throughout the day, morning and evening game drives to the Yala National park which includes entry tickets, refreshments and transfers, free laundry services and complementary mini bar replenished daily. With the customized service we offer I can assure you that the rate is well within the acceptable standard. The pinot noir which was offered during your stay is definitely not local wine. It is of South African origin and is a signature Pinotage. 

Safety and well-being of our guests is of utmost importance. As we border the buffer zone of the national park you will frequently see elephants and wild-boar visiting the beach hence we  encourage all our guests to be accompanied by one of our experienced rangers when you take a stroll at the beach or do a bush walk.

Although the thatch roofing and the decking was not to your liking we would like to keep you informed that our hotel’s sustainable design has been recognized and certified Gold by LEED (Leadership in Energy and Environmental Design). 

I would like to thank you once again for your feedback and I do hope you will find an opportunity to stay with us again. 

Regards,

Ramli Ghaffoor
Director/CEO
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wildlife Tourism Zone, Palatupana, Yala National Park 82600 Sri Lanka","Palatupana","Sri Lanka","82600",,"Wildlife Tourism Zone",,"8871806","6.264492","Palatupana, Yala National Park","81.41136","Uga Chena Huts","1157","4.9","1","4","11","40","1102","https://www.tripadvisor.com/Hotel_Review-g3748686-d8871806-Reviews-Uga_Chena_Huts-Palatupana_Yala_National_Park.html","http://www.ugaescapes.com/chenahuts/","2017-01-23","OTHER","2",,"Location","5","Service","3","Sleep Quality","3",,,,,,,"We stayed at Uga Chena Huts for two nights, which was a good amount of time. The safari experience was amazing and the ranger we had was very talented and we were able to see leopards, elephants and a bear. All the staff were super friendly.

However our $US1,200 per night all inclusive accommodation and food/drinks package at Chena Huts was disappointing. They offered one red wine which was a local Sri Lankan pinot noir, and one gin which was a local Sri Lankan gin. For $US1,200 per night we expected to have a choice and to definitely not just be offered local wine and spirits.

The food was average and not 'fine dining' at all like described on the website.

The website also made out like you would be enjoying the outdoors and the beach however we were told on arrival that we were not to walk or swim at the beach and were to remain in the dining room, pool or in our hut at all times. When we did sit on the verandah out the back of our huts, we were so accosted by bugs that we had to move back inside after a few minutes. This meant that outside of safaris, we were sitting inside our hut which was not what we had imagined when we saw the website.

The huts were also not what we expected. They were nice however were all artificial - the palm leaf roof was made out of fake plastic palm leaves, the timber decking was made our of fake plastic timber. It was strange.","No beach access, very limited wine and spirits list, average food.","2017-01","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g3748686-d8871806-r454254942-Uga_Chena_Huts-Palatupana_Yala_National_Park.html",
,"12","413313555",,"en","8871806",,"CEO","417332180","en","2016-09-11","Ramli G","Dear Guest,

Thank you for staying at Chena Huts and taking your time off to review. We are very pleased to hear that you were happy with the overall ambiance, setup of the cabins and on the hospitality extended by our staff. However we regret to hear that you were not entirely satisfied with your stay. 
The ocean facing rooms were under routine maintenance during the time hence the reason why we had not allocated same. 

We make every effort to have the rooms cleaned while the guests are away, however in this instance seems that the timing was not perfect as they had taken an additional 5 minutes. We apologize for any inconvenience caused. 

Safety and well-being of our guests is of utmost importance. As we border the buffer zone of the national park you will frequently see elephants and wild-boar visiting the beach. It is a rule set by the national park authorities that no guests of safari camps are permitted to walk alone in these areas as a safety measure.  Due to this reason we always request our guests to be accompanied by one of our rangers during a stroll at beach. If you had found other hotels not following these policies, it only appears that that they are violating the rules set by the National park authorities. Further it is a regulation of the national park that no person can carry fire arms as same is prohibited in this area.

Our rangers have extensive practical and theoretical knowledge on animal behaviour and psychology, further have experience working in various safari and wild life parks all over the country. Hence the reasons why many of our guests have had wonderful experiences with our rangers and have gone to great lengths to review them.  We get good sightings in all our game drives and the vehicles are always positioned to give the best view for our guests.

We take our guests experience at all our resorts very seriously and we thank you once again for the taking the time to provide your feedback. 

We do hope that you will find an opportunity to stay with us again in the future.

Thank you!

Regards,

Ramli Ghaffoor
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wildlife Tourism Zone, Palatupana, Yala National Park 82600 Sri Lanka","Palatupana","Sri Lanka","82600",,"Wildlife Tourism Zone",,"8871806","6.264492","Palatupana, Yala National Park","81.41136","Uga Chena Huts","1157","4.9","1","4","11","40","1102","https://www.tripadvisor.com/Hotel_Review-g3748686-d8871806-Reviews-Uga_Chena_Huts-Palatupana_Yala_National_Park.html","http://www.ugaescapes.com/chenahuts/","2016-08-31","OTHER","1","Ask for a room facing the beach","Value","1","Cleanliness","5","Service","2",,,,,,,"We wanted to like Chena Huts after spending $1200/night & because you can tell the staff truly wanted us to enjoy our stay. I hesitate to write this review & I do not want to be mean, but I just think other travelers need to be warned before they spend this kind of money. 

Room/Resort: This was a huge positive! This was probably one of the nicest hotel rooms we've stayed in. Extremely comfortable bed, beautiful furnishings, well laid out. Our backyard was a bit of a disappointment compared to the pictures (and other rooms). It was very large but full of crab grass (rather than full decking) and open. Considering there were only 1-2 other rooms booked during our 2-night stay, I'm not sure why they didn't put us in an ocean facing room with the nice decks, but oh well. We were told that we could not go to the beach without an escort because it was dangerous with animals. This made it so that you were really confined to your room outside of game drives & we got a little stir crazy. I went on an beach walk with a ranger once and wasn't quite sure why I could walk on my own - there were several people from Cinnamon Yala on their own, the ranger wasn't carrying a weapon to protect us & he didn't exactly instill confidence. I think the resort should reconsider this policy and maybe advise guests what to do if they did encounter an animal (especially since that it's possible for them to be near the rooms if they're at the beach).

Safari/Guides: The positive: We saw leopards, sloth bear, 1 elephant, lots of crocodiles, a crocodile kill a bird, lots of pretty birds & other small animals.  I know it is unfair to compare to South Africa safaris (except that they are charging SA prices!), and I know that Chena Huts can't control what others do/don't do in the national park, so I will refrain from judging them on this. We had 2 different safari rangers on the 3 game drives & 1 beach walk we went on. Our first ranger had 8 months experience and our 2nd had 2 weeks experience, both coming to Chena Huts after doing elephant research.  While they were both nice, it was obvious they had no experience or training in being a guide/ranger.  We had to ask our first ranger bird & animal names and he hardly spoke unless we asked questions. The 2nd ranger spoke more but was so busy taking pictures and was so excited to see the animals that he seemed to forget we were there. On several occasions we had to ask him to have the driver move the vehicle forward so we weren't blocked by a tree while he was getting perfect views/pictures of the elephant.  I actually truly appreciated his excitement to see the animals after our first guide just seemed to be along for the speedy ride, but it would have been great if he could have spoken more about the animals, their habits, predators, food sources, etc.  Although he was making kissing noises at the animals to make them turn towards his camera, so maybe he didn't know much about the animals? The guides were nice but just seemed so uncomfortable talking to us. Another couple that was on our drive felt the same way and called out our driver a few times for taking pictures and not talking to us. 

Food - The food in general was just ok and far from expectations of such an expensive place. The first day the chef came out to greet us and said just let him know if we'd like anything special or off menu - he could make us anything. At lunch, my husband requested a chicken sandwich and they said they didn't have bread. He then asked for a wrap (there was a veggie wrap on the menu), so they made a chicken wrap but left the bones in it. I had the veggie wrap and it was very greasy and not so great. Our first night the staff excitedly informed us that they had a special Beach BBQ planned for us (and the only 2 other rooms booked that night). They had cooked a ton of meat and fish on the grill but hadn't thought to ask what anyone wanted, allergies or food preferences. Every other remote/all-inclusive place we've ever stayed has asked for this information in advance - especially when they are cooking for only 6 people - to not waste food & options are limited.  When I turned down the seafood, they became very concerned and asked if I didn't eat fish. I said no & they said they were so sorry. When the meat came around, I took some chicken just to have something on my plate. Several staff came over to express their concern and the chef offered to cook me some pasta. I declined because I wasn't that hungry and they were so upset that I just wanted to tell them everything was ok so they would feel better and stop asking - which in hind sight is stupid because now I'm complaining. This whole situation could have been avoided if they just asked guests before or on arrival.  My husband who does eat meat/seafood said the BBQ wasn't very good.  We didn't eat the 2nd night because my husband was sick, so I can't say if their actual dinner menu was veggie friendly or good. 

Staff/Coordination: As I've mentioned, the staff was very friendly and wanted us to enjoy our stay but they just weren't trained. Since there were only 1-2 other rooms during our stay, we were often the only ones in the dining room/""lobby"".  They would all come up and ask how everything was but it was just a little too much because they didn't have anyone else to wait on. Also, there was no coordination among the staff. We went on our morning game drive (we were the only ones that went that day), ate breakfast and headed back to our room to find 4 people cleaning our room (and sitting on our bed) so we had to wait. If they were fully booked, I would let it pass. But they only had to clean 2 rooms that day and had 4-5 hours to do it while we were on a hotel arranged safari and breakfast. There were a few other examples of lack of coordination as well but you get the point. The staff was concerned when they learned my husband was sick and asked if they could bring food to the room since we didn't want to go to dinner - we declined but the offer was thoughtful. The next day several staff members asked if he was better, which was nice. They could have asked if he needed a doctor, medicine or help in any other way but didn't - and he was fine, just what you would expect of a luxury hotel. To summarize, it's a lot of asking if everything is ok but lacking the tools to fix it, so you just tell them it's ok so they'll stop asking. 

We did appreciate the warm welcome and goodbye from the staff and manager and that they truly want to be a good resort. They just aren't there & I hope this review can help them. I think this would be more accurately priced under $400/night and would still need to make improvements. We stayed at a range of hotels during our 11 nights in Sri Lanka +4 nights at Coco Island Maldives, with Chena Huts being the most expensive in Sri Lanka. Chena Huts was the only disappointing stay out of the 6 places we stayed.","Disappointing","2016-08","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g3748686-d8871806-r413313555-Uga_Chena_Huts-Palatupana_Yala_National_Park.html",
,"2","835400730",,"en","19381109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No. 947,Uduwela Road, Udugama West,, Kandy 20000 Sri Lanka","Kandy","Sri Lanka","20000",,"No. 947,Uduwela Road,","Udugama West,","19381109","7.249652","Kandy, Kandy District, Central Province","80.63204","W15 Hanthana Estate Kandy","385","4.9","0","2","6","6","371","https://www.tripadvisor.com/Hotel_Review-g304138-d19381109-Reviews-W15_Hanthana_Estate_Kandy-Kandy_Kandy_District_Central_Province.html","https://hanthana.w15.lk/","2022-04-20","MOBILE","2",,,,,,,,,,,,,,"This is a lovely property.  The setting is beautiful and the small public room and the bedrooms are all very pretty.  We have stayed in the top hotels all over the world so I write this review from a point of comparative reference.  We picked this hotel personally despite the opinion of our travel agent.

The service was poor.  The management failed to coordinate any of the events that are promised as activities of the hotel.  Cooking class was scheduled and then “canceled” without any communication by the manager.  The nature keep ride let 45 minutes past its scheduled time again without any apology or notice.  The bartender was not available during cocktail time; he was on a break on it took 30 minutes to get a drink.  There was no one to greet us upon our arrival and we carried our bags to our driver ourselves as we departed. Incorrect information was given us on the day of departure about whether or not the train was running.  The manager allowed children to simply bang on the piano for much of our first day stay during our time in the public space until we asked him to address the issue.

The management was quite verbal about how great they were but we failed to see any of the performance that they so  proclaimed.

This is a shame because the property has so much to offer.  

As the reader you might wander why then, the property has gotten so many positive reviews.  I think our experience was similar to the few poor reviews.  I am not sure why there are so many good ones.

I would definitely look for an alternative property in the Kandy area.","Potential but disappointing","2022-04","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304138-d19381109-r835400730-W15_Hanthana_Estate_Kandy-Kandy_Kandy_District_Central_Province.html",
,"2","787231335",,"en","19381109",,"Sales","787928108","en","2021-05-04","Amrick Andrado","Dear mangkaru,

Greetings from W15 and we sincerely thank you for taking the time to leave us your valuable feedback.

We are sorry to hear that your stay with us was less than satisfactory. After taking time to thoroughly look into your feedback we have identified a supply issue as the reason for the shortage in coffee. Due to the Sinhalese and Tamil new year, during which you stayed with us, our courier partner was unable to deliver essential goods to us on time. Our team did it’s best to manage the issue on the first day and was able to provide imported coffee for the remainder of your stay. 

Our sincerest apologies for this shortcoming and we hope that apart from this issue your stay with us was satisfactory and we are also happy to note that you were happy with the service provided by our team at Hanthana.  

Thanking you once again for your valuable time and feedback.

Best regards,

Amrick Andrado
Manager – Sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No. 947,Uduwela Road, Udugama West,, Kandy 20000 Sri Lanka","Kandy","Sri Lanka","20000",,"No. 947,Uduwela Road,","Udugama West,","19381109","7.249652","Kandy, Kandy District, Central Province","80.63204","W15 Hanthana Estate Kandy","385","4.9","0","2","6","6","371","https://www.tripadvisor.com/Hotel_Review-g304138-d19381109-Reviews-W15_Hanthana_Estate_Kandy-Kandy_Kandy_District_Central_Province.html","https://hanthana.w15.lk/","2021-04-24","MOBILE","2",,,,,,,,,,,,,,"What a total disappointment! It’s more expensive than Tea Trails, yet served us Nestcafe in the morning. Morning coffee matters a lot to me.

I don’t blame the staff at all, it’s the management that should know better. When I’ve complained they said they ran out of their “Guatemalan Beans”. If I’m the manager/owner of such a high end place, I’d personally drive from Colombo with at least a pack of local Hansa coffee. 

I do not expect this from a regular lodge, however when you charge this much and market it as a high end boutique, we go there with certain set of expectations. 

Overall people were service oriented, however I just couldn’t get over with the coffee situation as we’ve stayed there for three nights. 
","They served Nestcafe...!","2021-04","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304138-d19381109-r787231335-W15_Hanthana_Estate_Kandy-Kandy_Kandy_District_Central_Province.html",
,"2","618639398",,"en","1876504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ulagalla Road, Thirappane 50072 Sri Lanka","Thirappane","Sri Lanka","50072",,"Ulagalla Road",,"1876504","8.205883","Thirappane, North Central Province","80.54506","Uga Ulagalla","2116","4.9","5","4","19","172","1917","https://www.tripadvisor.com/Hotel_Review-g2335977-d1876504-Reviews-Uga_Ulagalla-Thirappane_North_Central_Province.html","http://www.ugaescapes.com/ulagalla","2018-09-22","OTHER","1",,"Value","2","Service","1","Sleep Quality","4",,,,,,,"I had the worst experience in my life as we waited 3 and half hours in reception while the hotel staff and my online travel agent sorted out a booking error. The hotel reservation team wasn't sure about various online travel agencies that sell their rooms and I had to explain them and show them that Cancelon is a valid site and they have been selling the Ulagalla rooms. Cencelon handled the situation very well and they assured me that they will do everything to correct the situation and paid extra as the hotel took advantage of the situation and charged Cancelon more than what the local rate that hotel has offered me. I have wrote to the hotel management regarding their unethical practice two days back but didn't get any response as of yet.

Despite this, the hotel rooms we stayed in were very nice, clean and luxurious and the room boys and staff has been very friendly. September wasn't the best month to stay here as the nearby lakes were dry and the weather is so hot. The main pool is clean and the breakfast is very good.","Hotel management took advantage of my travel agent's mistake by charging the highest price","2018-09","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g2335977-d1876504-r618639398-Uga_Ulagalla-Thirappane_North_Central_Province.html",
,"4","343525107",,"en","1876504",,"Director/ CEO","345524124","en","2016-02-07","Ramli G","Dear Guest,

Thank you for taking the time to post your feedback and we value your sentiments very much.  We are happy to note that you enjoyed the hotel grounds and the scenic views surrounding the property as well our infinity pool.  However we regret that your weren’t able to fully enjoy your stay with us and your feedback has been taken up with the team for corrective measures.

As for the road that leads to the hotel although this road is a public road which falls under the purview of local council, as a socially responsible resort we take ownership to improve the road condition every year by adding sand to level it providing our guests a peaceful arrival and departure. 

However, this is a task which can only be done at the end of the rainy period. We would like to inform that we have added gravel and levelled the road during the past week and although the road is not in perfect condition, this allows a much smoother arrival and departure to our resort.

Thank you once again and we do hope that you find an opportunity in the near future to stay with us again. 

Regards,
Ramli Ghaffoor
Director/CEO
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ulagalla Road, Thirappane 50072 Sri Lanka","Thirappane","Sri Lanka","50072",,"Ulagalla Road",,"1876504","8.205883","Thirappane, North Central Province","80.54506","Uga Ulagalla","2116","4.9","5","4","19","172","1917","https://www.tripadvisor.com/Hotel_Review-g2335977-d1876504-Reviews-Uga_Ulagalla-Thirappane_North_Central_Province.html","http://www.ugaescapes.com/ulagalla","2016-01-29","TABLET","2",,,,,,,,,,,,,,"Let me start with the price.  It's US$700 a night for DB&B, and the comments below reflect the expectations for a hotel in that price bracket.

Starting with the good points:
1. The grounds are beautiful.  The gardens are well maintained, filled with lovely plants and wildlife.  Most of the grounds are paddy fields with rice growing, along with woodlands.  It is all very beautiful.
2.  The swimming pool is stunning, large, barely used, and very clean.
3.  The rooms are large, well equipped, and with a very comfortable bed.

The not so good points:
1.  Access from the main road is down a 2km dirt track, much of which is heavily rutted.  It is 15 minutes of very slow progress.  I don't understand why the hotel, whose residents must provide much of the traffic, don't do something about it.
2.  The lighting in the rooms is abysmal.  It is all very well being green, but lighting should actually be sufficient to see properly.  Black lampshades don't help.
3.  To compound matters, the lights are controlled by a bedside 'computer', which is most unintuitive.  And why do lights in the lounge have to be controlled from the bedside?  The designer could not have found a more effective method for annoying guests.
4.  The air conditioning is too noisy to be used at night.  This is unacceptable when night time temperatures are a minimum of 25C and you can't have windows open because of the risk of animals and bugs.
5.  Service in the restaurant is variable at best.  You will struggle to get through breakfast in 45 minutes even when you have said you are in a hurry.  There are plenty of staff but little action.  My pancakes the first day were stone cold, and the coffee undrinkable.

With the exception of the group's head chef who happened to be on site whilst we were there, and came to speak with us after our complaint about the cold breakfast, we cannot think of a single member of staff who seemed genuinely interested in ensuring our stay was comfortable.  The gardeners seemed the most genuine.

With a bit more attention to detail, and a significant upgrade to staff training, this could be a fantastic hotel, well worth the very high price being charged.  Sadly right now, you just feel you are a revenue stream for the owners.","This place could be so good","2016-01","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g2335977-d1876504-r343525107-Uga_Ulagalla-Thirappane_North_Central_Province.html",
,"12","334847371",,"en","1876504",,"Director/CEO","345714618","en","2016-02-07","Ramli G","Dear Guest,

It is very unfortunate to hear that our staff were not able to satisfy you entirely on this instance. our staff including the GM himself, I believe had inquired about the overall experience from you many times during your stay to which you had responded with positive sentiments and hence they are deeply saddened to see this review as they would have appreciated the feedback while you were at the resort.  We are in fact quite surprised to see this review as our staff has been receiving very good  reviews from our guests on their service and caring attitude. 

We are extremely proud of our warm & courteous associates who have been the primary reason for our success. Something that has been overwhelmingly acknowledged by our valued guests. Although our staff across the resort served  you and your family warmly and graciously, we regret we were not able to satisfy you entirely  on this occasion .

We have tried and contact you personally to which we have obtained no response.  Once again we regret any inconvenience caused to you during you stay.

Guest feedback and suggestions are definitely welcomed in our industry and we will continue to place priority on staff training and development so that our staff are able to consistently deliver the services to the satisfaction of all our guests.

Regards,
Ramli Ghaffoor
Director/CEO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ulagalla Road, Thirappane 50072 Sri Lanka","Thirappane","Sri Lanka","50072",,"Ulagalla Road",,"1876504","8.205883","Thirappane, North Central Province","80.54506","Uga Ulagalla","2116","4.9","5","4","19","172","1917","https://www.tripadvisor.com/Hotel_Review-g2335977-d1876504-Reviews-Uga_Ulagalla-Thirappane_North_Central_Province.html","http://www.ugaescapes.com/ulagalla","2015-12-24","MOBILE","1",,,,,,,,,,,,,,"Try to find another place. Far from everything. More than 1h to the visting places!!! Very bad road to arrive. The staff is not good and the manager Francisco don't know how to manage the situations. Also bad food!!! They have to change the manager .........","Very bad","2015-12","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g2335977-d1876504-r334847371-Uga_Ulagalla-Thirappane_North_Central_Province.html",
