"error","helpfulVotes","id","input","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
,"0","939486700",,"en","9702682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129 Kynsey Road, Colombo 00700 Sri Lanka","Colombo","Sri Lanka","00700",,"129 Kynsey Road",,"9702682","6.912854","Colombo, Western Province","79.87556","Maniumpathy","324","4.9","2","2","3","17","300","https://www.tripadvisor.com/Hotel_Review-g293962-d9702682-Reviews-Maniumpathy-Colombo_Western_Province.html","https://maniumpathy.com/","2024-02-23","MOBILE","2","Do not book this place if you are a couple and like grand places.",,,,,,,,,,,,,"We had booked this place for two days. We liked the idea that it is a boutique hotel. However, as soon as we entered we found that although it is very beautiful place but it is very small. It would have been better if they had advertised themselves as an upscale Airbnb. If you rent the whole house for yourself with lesser staff in it, then there is possibility that one can enjoy this place more. 

There is a drawing room, which you can’t use because it is small and everybody uses the same for movements. There is a small veranda which is converted to restaurant and a small pool is also in the same courtyard. That means you can’t use this pool as there is no privacy at all. Our room was on the first floor. It was very beautiful and tastefully decorated. Bathroom area was also elaborated. However, functionality wise both were not okay. 

To add to our discomfort, there was a party in the evening, therefore, we couldn’t go to the dining area for dinner. They offered to arrange our dinner in the balcony area outside of our room but we declined. There was noise till late night due to the ongoing party. The manager apologised for the inconvenience however, we decided to check out next morning. 

Additionally, there is no assistance during 10 to 7 at night. Which is weird as it is very expensive place and yet they were not giving full services expected at this cost. 

We had breakfast in the morning which was good and checked out to Taj Samudra. We had a great sigh of relief when we reached at Taj Samudra.","Beautiful but Small place… more like Airbnb","2024-02","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g293962-d9702682-r939486700-Maniumpathy-Colombo_Western_Province.html",
,"0","921367662",,"en","9702682",,"General Manager","921983804","en","2023-10-19","Maniumpathy Colombo","Dear Tripadvisor Community,

Our property does not offer valet parking but provides adequate parking space for our guests. The incident in question was initiated by an obstruction at the entrance, requiring managerial intervention to maintain smooth traffic flow. Our staff's actions were guided by protocol and carried out professionally. Maniumpathy holds itself to the highest standards of service, and we expect the same courtesy from our guests. Unruly behavior and unbecoming conduct will not be tolerated. 

We are proud of our track record in delivering top-notch hospitality, as reflected by numerous positive reviews from our valued guests. If you have further questions or concerns about what Maniumpathy has to offer, we welcome you to reach out directly. We are dedicated to ensuring a pleasant and memorable experience for all our guests.

Best regards, 
General Manager
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129 Kynsey Road, Colombo 00700 Sri Lanka","Colombo","Sri Lanka","00700",,"129 Kynsey Road",,"9702682","6.912854","Colombo, Western Province","79.87556","Maniumpathy","324","4.9","2","2","3","17","300","https://www.tripadvisor.com/Hotel_Review-g293962-d9702682-Reviews-Maniumpathy-Colombo_Western_Province.html","https://maniumpathy.com/","2023-10-15","OTHER","1",,,,,,,,,,,,,,"The manager on site was very rude with a terrible attitude. At the time of lunch he kicked my party out due to a lack of parking provided by the hotel. there was no where else to park and they provide no parking at all. Due to that the manager asked us to leave since they couldn't accommodate our vehicle","terrible manager","2023-10","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d9702682-r921367662-Maniumpathy-Colombo_Western_Province.html",
,"1","783466611",,"en","9702682",,,,,,,,"653","480907219","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/aa/0f/d3/maniumpathy.jpg","1344","653","480907217","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/aa/0f/d1/maniumpathy.jpg","1344","653","480907216","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/aa/0f/d0/maniumpathy.jpg","1344","1344","480907221","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/aa/0f/d5/maniumpathy.jpg","653","653","480907220","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/aa/0f/d4/maniumpathy.jpg","1344","653","480907218","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/aa/0f/d2/maniumpathy.jpg","1344","1344","480907215","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/aa/0f/cf/maniumpathy.jpg","653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129 Kynsey Road, Colombo 00700 Sri Lanka","Colombo","Sri Lanka","00700",,"129 Kynsey Road",,"9702682","6.912854","Colombo, Western Province","79.87556","Maniumpathy","324","4.9","2","2","3","17","300","https://www.tripadvisor.com/Hotel_Review-g293962-d9702682-Reviews-Maniumpathy-Colombo_Western_Province.html","https://maniumpathy.com/","2021-02-23","MOBILE","2",,,,,,,,,,,,,,"I had a take away of Jaffna style kool.  It did not taste like kool. It was chilli gravy with crabs and some sea food. The fish lunch packet was no better. The packaging was good. The fish curry was of poor quality. The dhal and potatoe curry was taste less. The brinjal moju was tasty. ","Take Away ","2021-02","SOLO","https://www.tripadvisor.com/ShowUserReviews-g293962-d9702682-r783466611-Maniumpathy-Colombo_Western_Province.html",
,"0","621195522",,"en","9702682",,"Owner","630214081","en","2018-11-02","ManorHouseConcepts","We are acknowledging your review,although it has been done prior to your actual stay.It reads as an update of the booking procedure and your first impression -  we just feel it is important to clarify that for other readers
We are very sorry for the confusion at the booking stage.It was the result of an internet problem combining with unlexpected staff sickness and your emails were not picked up ASAP in the normal way.This understandably caused frustration for which we are very sympathetic.It is not usual nor experienced by other guests to date.We really hope the stay itself was a good experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129 Kynsey Road, Colombo 00700 Sri Lanka","Colombo","Sri Lanka","00700",,"129 Kynsey Road",,"9702682","6.912854","Colombo, Western Province","79.87556","Maniumpathy","324","4.9","2","2","3","17","300","https://www.tripadvisor.com/Hotel_Review-g293962-d9702682-Reviews-Maniumpathy-Colombo_Western_Province.html","https://maniumpathy.com/","2018-10-01","OTHER","1",,,,,,,,,,,,,,"We have booked 2 nights and the hotel need some clarification from us. We had response and has some question regarding our late arrival and our late check out. So far, we have not hear anything back after we send an email 5 days ago and resend the email yesterday.  This is not what we expected from a highly rated hotel.","Poor Poor Poor First Impression","2018-10","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g293962-d9702682-r621195522-Maniumpathy-Colombo_Western_Province.html",
,"0","931306301",,"en","12880550",,"Marketing","932354883","en","2024-01-04","Sakuni Wisanperuma","Dear Tammy,

Allow me to start by thanking you for choosing to stay with us and for the time you have taken to share your feedback regarding your experience at Kumu Beach. The management has investigated the lapse in service and all your points in detail with the team at Kumu Beach. We have noted that the team did check in with your group several times during your stay and took extra measures to accommodate meal requests to the best of their ability. However, we regret any miscommunication or inconvenience caused during your stay. Additionally, concerning the maintenance issues in your suite and the presence of ants, our housekeeping team takes cleanliness seriously, and I assure you that we'll reinforce our measures to prevent such occurrences in the future.

Your valuable feedback provides us with an opportunity to ensure a better experience for all our guests. Should you have any further feedback regarding your stay, please do not hesitate to contact me at feedback@teardrop-hotels.com.

Sincerely,

Sakuni Wisanperuma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"670/5 Galle Road, Balapitiya 80550 Sri Lanka","Balapitiya","Sri Lanka","80550",,"670/5 Galle Road",,"12880550","6.25566","Balapitiya, Southern Province","80.03926","Kumu Beach","213","4.9","1","3","0","13","196","https://www.tripadvisor.com/Hotel_Review-g940979-d12880550-Reviews-Kumu_Beach-Balapitiya_Southern_Province.html","https://www.teardrop-hotels.com/kumu-beach/","2023-12-28","MOBILE","2","Check the operating time cuz there was only a cleaning guy at the hotel around 10.30pm to ask for more water and clean dishes from the room.",,,,,,,,,,,,,"Location is nice. Interior and Exterior is lovely. Didn’t have a pleasant stay due to the food and service. Breakfast is ok but dinner is not that great(tasteless) There were two guys who did a good service but others are lazy fellows and messing the orders. They don’t have any supplies in stock also ( kids wanted hot chocolate and they said it’s finished) in our suit the bathroom sink was having a leak and it smells bad. Ants were all over the living area and we had to call the housekeeper to clean it. We had to go out for lunch cuz their menu was not upto our expectations. Sorry to say this but we have made a wrong decision on selecting your resort.","Unpleasant stay in a lovely location","2023-12","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g940979-d12880550-r931306301-Kumu_Beach-Balapitiya_Southern_Province.html",
,"3","656365875",,"en","12880550",,"Public Relations Manager","657938523","en","2019-03-11","TeardropHotels","Dear Cecile,

Thank you for your feedback. If we are to be very honest, we’re somewhat astonished by your comments and would like to respond in detail for the benefit of other readers.

To start off, the accommodation page on our website states… “Private and exclusive, the suites are located at the far ends of the hotel, with direct access onto the garden or balconies with beautiful views of the Indian Ocean.” Furthermore… “Three sets of picture windows look out over the garden, pool and ocean.”

The site you booked with, also mentions… “This room features a king size double bed, sitting area with a sofa, and either a veranda or two large private balconies overlooking the pool and the Indian Ocean.”

Therefore, we do feel the need to highlight that room number 1 (which you stayed in), does in fact have a sea view, as well as a pool and garden view (and can be identified in your attached picture). As a matter of fact, we’ve received frequent praise about this particular room with its direct access on to the garden.

Whilst we fully agree with you that the ground floor rooms have less privacy than the rooms on the upper floor, all our rooms have been fitted with sheer and blackout curtains in order to provide our guests with additional privacy. Hence why the manager recommended you to lower the curtains as he had no other alternative.

I hope you can understand how challenging it is to move guests around when the hotel is fully booked. Nonetheless, the team were able to allocate you another room on your last night. Sadly, this effort wasn’t enough.

We wish you had sent us a note, when booking, requesting for a room on the upper floor so we could have accommodated you accordingly.

Finally, all furnishings and amenities at Kumu are carefully chosen and quality checked before being placed in the room or public areas and hence can assure you that they are of good quality.

All the best,
Kumu Beach
","2016","380145613","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a8/8f/cd/chairs-with-broken-fabric.jpg","1512","1512","380145620","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a8/8f/d4/only-way-to-get-intimacy.jpg","2016","1512","380145616","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a8/8f/d0/sea-view-supposedly.jpg","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"670/5 Galle Road, Balapitiya 80550 Sri Lanka","Balapitiya","Sri Lanka","80550",,"670/5 Galle Road",,"12880550","6.25566","Balapitiya, Southern Province","80.03926","Kumu Beach","213","4.9","1","3","0","13","196","https://www.tripadvisor.com/Hotel_Review-g940979-d12880550-Reviews-Kumu_Beach-Balapitiya_Southern_Province.html","https://www.teardrop-hotels.com/kumu-beach/","2019-03-04","OTHER","2",,"Value","1","Location","3","Service","3",,,,,,,"Clearly NOT a good value for money!
Took a luxury suite with sea view: NO SEA VIEW but a view on the pool with all the guests, pool boys etc. 20 meters away starring at you in your room = zero intimacy! (and after looking closely, that's the case for 90% of the rooms there)
Told the manager, and his answer: you can close the curtains! Well thank you for that!
After asking a few times, they changed us in another room after 2 nights of no intimacy, but frankly not worth it!

The pool is nice, but most things are cheap, not good quality products!","VERY DISAPPOINTING","2019-02","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g940979-d12880550-r656365875-Kumu_Beach-Balapitiya_Southern_Province.html",
,"6","622253843",,"en","12880550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"670/5 Galle Road, Balapitiya 80550 Sri Lanka","Balapitiya","Sri Lanka","80550",,"670/5 Galle Road",,"12880550","6.25566","Balapitiya, Southern Province","80.03926","Kumu Beach","213","4.9","1","3","0","13","196","https://www.tripadvisor.com/Hotel_Review-g940979-d12880550-Reviews-Kumu_Beach-Balapitiya_Southern_Province.html","https://www.teardrop-hotels.com/kumu-beach/","2018-10-04","OTHER","2",,"Rooms","3","Cleanliness","4","Service","2",,,,,,,"Stayed at Kumu beach for 3 nights during our Sri Lankan holiday.  The location is a stunning spot.  The pool area extremely relaxing and perfect spot to watch the sunset.

The service is extremely slow and the communication is awful.  All staff is very friendly, but could enhance their communication and timeliness.  The hotel only has 1 chef, so breakfast every morning took well over an hour to serve.  If you plan to have lunch or dinner at the hotel, you need to alert the chef ahead of time so he can prepare.  The hotel does not serve hard liquor because they do not have a liquor license.  So do not expect to be having any sunset cocktails.  The menu is only local beer and wine.  The rooms are nice and spacious, but lacked any amenities and toiletries that would be standard for a hotel of this nature.  The beds were very comfortable.  Lastly, although they claim to have a spa on site, they have no massage therapists.  You need to book at least a day in advance so they can bring in massage therapists from their sister hotels.  The massage experience was extremely disappointing and inappropriate.  I have lived in Asia for 5 years and regularly having massages throughout travels.  I have never felt so violated in my life while having a massage.

Overall, although an idyllic location with stunning views, I would not return to the hotel nor recommend it.","Idyllic Location...terrible stay","2018-09","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g940979-d12880550-r622253843-Kumu_Beach-Balapitiya_Southern_Province.html",
,"11","621712531",,"en","12880550",,"General Manager","690283349","en","2019-07-17","TeardropHotels","Dear Guest,

As communicated to you on 18/12/2018, after significant time spent investigating the claims made, we were unable to find any conclusive evidence regarding your comments. We are now replying to your review mainly for the benefit of other readers, as you have already been made aware of the outcome.

Firstly, I would like to share some relevant information about your wife’s masseuse. He has been in employment with us for over 3 years, and this was the first time we’ve received such a complaint. In fact, he is frequently praised for his wonderful treatments.

Nevertheless, your complaint is not something a hotel of our nature would take lightly, and as you are aware, the management of Kumu Beach conducted a thorough investigation via both our internal HR & legal team, as well as an external and impartial legal counsel, with the assistance of a renowned Spa Consultant.

We would also like to assure all readers that Kumu Beach has a zero tolerance policy for any misconduct from its staff. We continue to welcome guests with the genuine Sri Lankan hospitality we have become well known for, as the reviews on TripAdvisor suggest.

Best regards,
Francisco Tamagnini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"670/5 Galle Road, Balapitiya 80550 Sri Lanka","Balapitiya","Sri Lanka","80550",,"670/5 Galle Road",,"12880550","6.25566","Balapitiya, Southern Province","80.03926","Kumu Beach","213","4.9","1","3","0","13","196","https://www.tripadvisor.com/Hotel_Review-g940979-d12880550-Reviews-Kumu_Beach-Balapitiya_Southern_Province.html","https://www.teardrop-hotels.com/kumu-beach/","2018-10-03","OTHER","1",,,,,,,,,,,,,,"Very regrettably my wife and I had a poor experience at Kumu Beach.  The reason for this was due to a completely inappropriate massage that my wife and another woman received at the hotel.  Please see below the email I have sent to the hotel detailing the incident.  

Dear Henry Fitch,
 

Thank you for your email requesting feedback on my wife and my time at Kumu Beach.  To be honest, I was in the midst of putting together some feedback.

 

There is one meaningful incident that I need to bring to light.  On Sunday September 30th 2018 my wife and a female friend that was also staying at the hotel had a Kumu Z Signature massage.  They had requested this the day before and were told that two female masseuses would be providing the service.  That morning it turned out rather to be one male masseuse and the ladies had their massages back-to-back.  All parties had no issue with a male masseuse providing the service.  My wife and I live in Singapore and have traveled extensively throughout South East Asia for the last 5 years and she has had both male and female masseuses.  There has never been an issue with male or female masseuses in our travels.  That is until our stay at Kumu Beach on September 30th.

 

After the massage my was wife was shaken by the inappropriate nature of the massage.  The male masseuse had crossed a line and made my wife feel very uncomfortable with how close he came to touching her genital area and the time he allocated to ""working"" on this area.  In addition, he did not ask her permission but just proceeded to massage her chest and in the process saw her exposed breasts.  My wife normally thoroughly enjoys massages but in this instance the male masseuse that Kumu Beach hired made her feel very uncomfortable and he crossed a line with how close he was to her genitals and the amount of time he elected to spend massaging this area.  She was shocked and did not immediately react but as she processed what had happened, a serious line was crossed.

 

I should note, that the other woman (our friend) in question that had the massage from the same male masseuse had a similar if not a worst experience.  Her boyfriend will be communicating with yourself or a colleague separately on her specific inappropriate incident.  

 

This incident is completely unacceptable.  We are both shocked that it happened, especially at what we thought was such a fine and well reviewed hotel.  Please note, the completely inappropriate incident was not a misunderstanding, not applying western standards to a Sri Lankan massage, or anything else that can explain away that the male masseuse crossed a serious line; not to just one woman but two women on September 30th.  

 

I trust that you will take this issue seriously.  It is regrettable that this incident happened as we enjoyed the hotel and the otherwise friendly service.  I will be posting reviews across various platforms as potential patrons should be aware that a simple massage could end up being very inappropriate at Kumu Beach.   

 

Sincerely,

Daniel W","Inappropriate Massage","2018-09","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g940979-d12880550-r621712531-Kumu_Beach-Balapitiya_Southern_Province.html",
,"0","583405370",,"en","4007613",,"Public Relations Manager","583817581","en","2018-05-30","Nimesha G","Dear Natz H, 

Whilst thanking you for your comments, please accept our sincere apologies for the lapses in transport as noted by you. 

In the past we have hired transport from the businesses in the community around the bungalow. We have stopped this service for long distance hires from them.

Thank you for your feedback and our apologies again .

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hemas Limited Halgranoya, Ragala, Nuwara Eliya, Nuwara Eliya 22200 Sri Lanka","Nuwara Eliya","Sri Lanka","22200",,"Hemas Limited","Halgranoya, Ragala, Nuwara Eliya","4007613","7.013921","Nuwara Eliya, Central Province","80.85794","Stafford Bungalow","399","4.8","3","7","6","25","358","https://www.tripadvisor.com/Hotel_Review-g608524-d4007613-Reviews-Stafford_Bungalow-Nuwara_Eliya_Central_Province.html","https://www.staffordbungalow.com/","2018-05-28","OTHER","2","Dont take their transport","Rooms","2","Cleanliness","2","Service","1",,,,,,,"We still regret having booked their service. The bungalow stated they provide high class transport which we agreed to take, but we were totally let down by a poor unmaintained vehicle with a lousy driver. The vehicle was old, uncomfortable and the driver had no clue about the roads. He had to keep asking passersby for directions and took us on bumpy roads, which caused much pain and we had to spend quite a lot of money on recovery on our return.","Unpleasant Experience","2018-03","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g608524-d4007613-r583405370-Stafford_Bungalow-Nuwara_Eliya_Central_Province.html",
,"1","582445719",,"en","4007613",,"Public Relations Manager","583817815","en","2018-05-30","Nimesha G","Dear Jwal,

We are concerned about your review and are very sorry that Stafford Bungalow fell short of your expectations.

What we strive to offer, is the experience in living in a Tea Planters Bungalow, in an era gone, with its luxury lifestyle and great cuisine. Being immersed in the middle of a working tea plantation, the activities are based on exploring the estate, along with the complimentary tea plantation walk every morning. An activities sheet is also kept in the room, to explore options of hiking, croquet, tennis and mini golf amongst others. The day visit to Nuwara Eliya and golf options there are also available.

On the food side, our practice is that the Chef suggests his special option for the evening meal which is usually a 4 course meal or local option and is open to individual guests preferences should they request.

For the Tea factory visit , we offer Pedro estate, a popular factory to visit, which is approx.15 kms from the bungalow and close to Nuwara Eliya. Our neighboring Tea Factory currently does not encourage tourists in.

We are concerned if we have communicated this to you well , at the Bungalow. We would most appreciate if you could give us more details to reservations@staffordbungalow so that we may enhance our services.

We apologies for the shortcomings.

Thank you
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hemas Limited Halgranoya, Ragala, Nuwara Eliya, Nuwara Eliya 22200 Sri Lanka","Nuwara Eliya","Sri Lanka","22200",,"Hemas Limited","Halgranoya, Ragala, Nuwara Eliya","4007613","7.013921","Nuwara Eliya, Central Province","80.85794","Stafford Bungalow","399","4.8","3","7","6","25","358","https://www.tripadvisor.com/Hotel_Review-g608524-d4007613-Reviews-Stafford_Bungalow-Nuwara_Eliya_Central_Province.html","https://www.staffordbungalow.com/","2018-05-24","OTHER","1",,"Value","1","Rooms","2","Service","3",,,,,,,"Booked a suite but left with disappointment. I found several reasons that made me feel its not worth for the price we paid. Being surrounded by tea fields, it is hard to believe there's no tea factory that we could visit. When inquired staff mentioned that the tea factory nearby no longer allow guest from this bungalow. Actually there's nothing much you could do compared to other places that we have stayed during our short stay in SL. Chef spoke to us on dinner menu, but didn't leave a space to find out if its our preference and we were rather compelled to have what he offered. There was no one around in the night to look for a cup of coffee and if they had provided the facilities in room that would have been better. 
There is no way you can call this luxury, as there is no bathtub even in a suite room and washroom is basic. We have experienced much better service and luxury amenities in other places.","Not worth the price","2018-05","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g608524-d4007613-r582445719-Stafford_Bungalow-Nuwara_Eliya_Central_Province.html",
