"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
"0","969257696","en","28052030",,"General Manager","969509304","en","2024-09-12","Anandasivam Sivapriyan","Dear Valued Guest, we sincerely thank you for choosing Uppuveli Beach By DSK and for your feedback. We are quite surprised and disheartened to read your comments, which we find to be inappropriate and exaggerated. As a relatively new establishment operating at nearly 90% occupancy during your stay, we acknowledge encountering some operational and service challenges. However, we believe these issues were not as severe as described in your comment. Our team is earnestly committed to enhancing our standards and ensuring memorable experiences for all guests. This commitment is evident from the numerous positive comments and feedback we have received on review platforms.
We understand from your remarks that you were seeking a budget-friendly option and had reserved the remainder of your stay accordingly. Unfortunately, we were unable to meet your expectations regarding price.
We thank you once again for your patronage and look forward to welcoming you back where we can create more positive impression. ","2048","762288141","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6f/98/0d/caption.jpg","1536","2048","762288140","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6f/98/0c/caption.jpg","1536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84, Nilaveli Road 3rd Mile Post, Trincomalee, Trincomalee 31000 Sri Lanka","Trincomalee","Sri Lanka","31000",,"84, Nilaveli Road","3rd Mile Post, Trincomalee","28052030","8.600311","Trincomalee, Eastern Province","81.21787","Uppuveli Beach By Dsk","109","4.8","1","1","2","8","97","https://www.tripadvisor.com/Hotel_Review-g424963-d28052030-Reviews-Uppuveli_Beach_By_Dsk-Trincomalee_Eastern_Province.html","http://www.uppuvelibeach.com","2024-09-11","MOBILE","1",,,,,,,,,,,,,,"No way a 5 star resort. Cheap looking big resort . Beachbar with way to loud music. Waiters playing pool in stead of serving people. Expensive food with poor taste. 
Breakfast at most 3* worth. 
Outside the room left overs from former guests . 
Smell of dead animal around pool area.
People who rate this 5* have never experienced 5*.","People who rate this 5* have never experienced 5*","2024-08","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g424963-d28052030-r969257696-Uppuveli_Beach_By_Dsk-Trincomalee_Eastern_Province.html",
"0","966273371","en","28052030",,"General Manager","966469001","en","2024-08-24","Sivapriyan Anandasivam","Dear Alain Versace,

Thank you for your feedback. We sincerely apologize for the inconveniences you experienced during your stay. As the resort had just opened, we were hosting a grand opening event to express our gratitude's to the well-wishers who contributed in many ways to make this project sucessfull irrespective of many hurdles like COVID and economic crisis of Sri Lanka . We totally understand your concern and this kind of events will not be repeated again.

To compensate for the inconvenience, we provided a considerable discount on your room charge and we hope you have considered this as our genuine gesture. We deeply regret that this event affected your stay, and we are committed to improving our services to ensure a more enjoyable experience for all our guests in the future.

We appreciate your understanding and hope to have the chance to welcome you back for a more peaceful stay.

Warm regards,

Team - Uppuveli Beach By DSK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84, Nilaveli Road 3rd Mile Post, Trincomalee, Trincomalee 31000 Sri Lanka","Trincomalee","Sri Lanka","31000",,"84, Nilaveli Road","3rd Mile Post, Trincomalee","28052030","8.600311","Trincomalee, Eastern Province","81.21787","Uppuveli Beach By Dsk","109","4.8","1","1","2","8","97","https://www.tripadvisor.com/Hotel_Review-g424963-d28052030-Reviews-Uppuveli_Beach_By_Dsk-Trincomalee_Eastern_Province.html","http://www.uppuvelibeach.com","2024-08-22","MOBILE","2","Before booking be sure that no party from owner is going on",,,,,,,,,,,,,"After more than 2 weeks around Sri Lanka we decided to spend 3 nights in this luxury resort on the seaside to have some rest before going back to Colombo direction and home.
The resort opened just last month and was not yet 100% ready but it was enough to offer most of the services. 
The location is fantastic, room brand new, great pool and right on the beach. High price but consistent with the service offered.

Unfortunately we found out that during our whole stay, the owner was organising a non stop party with relative and friends (representing more than 80% of hotel capacity) for some celebration. This was drawing completely the attention of the whole staff, dinner was not available for us because staff was preparing food for the group (we were suggested to go eat outside), laundry service not available (but for party group yes) and no sleeping until midnight every night because of loud music again for entertaining owner friends and relatives.
After I complained I got some symbolic discount and lots of “sorry” from hotel management but me and my family (2 adults and 2 kids) were feeling for 3 days like being in a private party in the home of someone else in which we were not invited.

This behaviour is totally unacceptable and unprofessional for a so called 5 star luxury resort in which I paid full price and where it was much more important to entertain the owner and his friends than to offer a relaxing stay to its customers.","Beautiful brand new resort but totally unprofessional behaviour from owner","2024-08","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g424963-d28052030-r966273371-Uppuveli_Beach_By_Dsk-Trincomalee_Eastern_Province.html",
"1","1003885964","en","23864787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No 17 Bloomfield Rd, Nuwara Eliya 22200 Sri Lanka","Nuwara Eliya","Sri Lanka","22200",,"No 17 Bloomfield Rd",,"23864787","6.965733","Nuwara Eliya, Central Province","80.773865","Chimneys - Nuwara Eliya","101","4.8","0","1","1","11","88","https://www.tripadvisor.com/Hotel_Review-g608524-d23864787-Reviews-Chimneys_Nuwara_Eliya-Nuwara_Eliya_Central_Province.html","http://chimneys.lk","2025-04-22","OTHER","2",,,,,,,,,,,,,,"The location is not worth its price. It’s a nice place but hugely overpriced. E.g. bed linen were used. They changed it immediately upon request but it was indeed very uncomfortable. Breakfast was rather poor. Service needs definitely to be improved.","Overpriced","2025-04","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g608524-d23864787-r1003885964-Chimneys_Nuwara_Eliya-Nuwara_Eliya_Central_Province.html",
"0","1012510245","en","304700",,"Owner","1012628735","en","2025-06-11","Samrat Datta","Dear Guest,
Greetings from Taj Samudra, Colombo!
Thank you for sharing your review on Trip Advisor. We truly value your feedback and appreciate your patronage. We have noted the concerns you raised and want to assure you that we are taking them seriously and working with our team to address them.
To better understand your experience and identify areas for improvement, we kindly request that you share your contact details (either email or phone number) with us. You can reach us directly at karan.maini@tajhotels.com, and we will be happy to follow up with you.
We sincerely apologize for any inconvenience caused and appreciate your understanding. We look forward to hearing from you and the opportunity to enhance your future experiences with us.
Warm regards,
Samrat Datta
Area Director Taj Maldives & Sri Lanka.","4032","807454443","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/20/c6/eb/caption.jpg","3024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Galle Face Center Road, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"25 Galle Face Center Road","","304700","6.922645","Colombo, Western Province","79.846794","Taj Samudra, Colombo","6020","4.5","131","178","402","957","4352","https://www.tripadvisor.com/Hotel_Review-g293962-d304700-Reviews-Taj_Samudra_Colombo-Colombo_Western_Province.html","https://www.tajhotels.com/en-in/taj/taj-samudra-colombo/","2025-06-11","OTHER","1","Just don’t go. Kingsbury is right next door, go there :) ","Value","1","Rooms","1","Location","1","Cleanliness","1","Service","1","Sleep Quality","1","Was the first to arrive at the buffet and saw that the bowls for soup hadn’t even been washed. Spoke to the manager at Ports of Call, that arrogantly disregarded pretty much everything we mentioned, including that it was that way when we arrived which before anybody had served soup.
Very disappointed to see a so-called five star hotel not even bother to clean their dishes.
Regarding the spread of food - flavorless, bland and without much to imagine.
Had only three types of fruits.
Cannot put into words how disappointing this experience was. How we call this a five star hotel is beyond my wildest understanding.
Side note - the doors in the bathrooms were hanging on to their hinges, the dustbin was overflowing and the food, terrible. 

Brace yourself to see the photo of a dish at a five star hotel. 

The fact that I had to still pay…","Absolutely, definitely, never ever again","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d304700-r1012510245-Taj_Samudra_Colombo-Colombo_Western_Province.html",
"0","1010392960","en","304700",,"Owner","1010698595","en","2025-06-01","Samrat Datta","Dear Guest,
Greetings from Taj Samudra, Colombo!
Thank you for choosing to stay with us and for sharing your thoughtful review on Trip Advisor. We truly value your feedback and appreciate your patronage. We have noted the concerns you raised and want to assure you that we are taking them seriously and working with our team to address them.
To better understand your experience and identify areas for improvement, we kindly request that you share your contact details (either email or phone number) with us. You can reach us directly at karan.maini@tajhotels.com, and we will be happy to follow up with you.
We sincerely apologize for any inconvenience caused and appreciate your understanding. We look forward to hearing from you and the opportunity to enhance your future experiences with us.
Warm regards,
Samrat Datta
Area Director Taj Maldives & Sri Lanka.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Galle Face Center Road, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"25 Galle Face Center Road","","304700","6.922645","Colombo, Western Province","79.846794","Taj Samudra, Colombo","6020","4.5","131","178","402","957","4352","https://www.tripadvisor.com/Hotel_Review-g293962-d304700-Reviews-Taj_Samudra_Colombo-Colombo_Western_Province.html","https://www.tajhotels.com/en-in/taj/taj-samudra-colombo/","2025-05-30","OTHER","1","Horrible pool setup, looks like a local pool, the poolside is so dirty","Value","3","Rooms","3","Location","5","Cleanliness","1","Service","1","Sleep Quality","3","Nothing was good, I expected to get the Taj quality but ended up getting a dabba quality, the Chefs need to Visit Hotel Kingsbury and experience the different breakfast menu options and the quality of the food they serve, only then the chefs will understand that they are not working to serve free food to beggars.","Very bad maintenance of the breakfast restaurant, and the breakfast options and quality of food is pathetic","2025-05","SOLO","https://www.tripadvisor.com/ShowUserReviews-g293962-d304700-r1010392960-Taj_Samudra_Colombo-Colombo_Western_Province.html",
"0","1007470499","en","304700",,"Owner","1007506000","en","2025-05-13","Samrat Datta","Dear Guest,
Greetings from Taj Samudra, Colombo!
Thank you for choosing to stay with us and for sharing your thoughtful review on Trip Advisor. We truly value your feedback and appreciate your patronage. We have noted the concerns you raised and want to assure you that we are taking them seriously and working with our team to address them.
To better understand your experience and identify areas for improvement, we kindly request that you share your contact details (either email or phone number) with us. You can reach us directly at karan.maini@tajhotels.com, and we will be happy to follow up with you.
We sincerely apologize for any inconvenience caused and appreciate your understanding. We look forward to hearing from you and the opportunity to enhance your future experiences with us.
Warm regards,
Samrat Datta
Area Director Taj Maldives & Sri Lanka.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Galle Face Center Road, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"25 Galle Face Center Road","","304700","6.922645","Colombo, Western Province","79.846794","Taj Samudra, Colombo","6020","4.5","131","178","402","957","4352","https://www.tripadvisor.com/Hotel_Review-g293962-d304700-Reviews-Taj_Samudra_Colombo-Colombo_Western_Province.html","https://www.tajhotels.com/en-in/taj/taj-samudra-colombo/","2025-05-13","OTHER","2","Hotel is crowded at most times ! Have to be sensible and need to plan on how navigate the crowd and make your way through. ","Value","1","Rooms","2","Location","5","Cleanliness","2","Service","1","Sleep Quality","4","Tajness lacking and not upto the mark ! 
Basic services not available and a difficult time to get what you want arranged. 
Location is good, but service definitely needs to be improved. I had to use the Spa at an adjacent hotel because the Masseuse were not available!! 😔😔","Not the kind of service and experience expected from Taj","2025-04","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g293962-d304700-r1007470499-Taj_Samudra_Colombo-Colombo_Western_Province.html",
"0","1005165215","en","304700",,"Owner","1005214837","en","2025-04-30","Samrat Datta","Dear Guest,
Greetings from Taj Samudra, Colombo!
Thank you for choosing to stay with us and for sharing your thoughtful review on Trip Advisor. We truly value your feedback and appreciate your patronage. We have noted the concerns you raised and want to assure you that we are taking them seriously and working with our team to address them.
To better understand your experience and identify areas for improvement, we kindly request that you share your contact details (either email or phone number) with us. You can reach us directly at karan.maini@tajhotels.com, and we will be happy to follow up with you.
We sincerely apologize for any inconvenience caused and appreciate your understanding. We look forward to hearing from you and the opportunity to enhance your future experiences with us.
Warm regards,
Samrat Datta
Area Director Taj Maldives & Sri Lanka.","1280","800866770","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/bc/41/d2/caption.jpg","960","1280","800866930","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/bc/42/72/caption.jpg","960","960","800866931","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/bc/42/73/caption.jpg","1280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Galle Face Center Road, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"25 Galle Face Center Road","","304700","6.922645","Colombo, Western Province","79.846794","Taj Samudra, Colombo","6020","4.5","131","178","402","957","4352","https://www.tripadvisor.com/Hotel_Review-g293962-d304700-Reviews-Taj_Samudra_Colombo-Colombo_Western_Province.html","https://www.tajhotels.com/en-in/taj/taj-samudra-colombo/","2025-04-29","OTHER","2","Except Food Taste, Other aspect you claim it is TAJ ","Value","2","Rooms","3","Location","5","Cleanliness","3","Service","3","Sleep Quality","2","Very sorry to say, I am a priviliged premium Member of Taj for the past 35 years, My favourite Restaurant is TAJ SPICE, CHENNAI.   Where every i travel i stay at TAJ, unfortunately this is my first experience at TAJ at colombo which is below par when compared to other TAJ  Hotels across India.  Food taste at Navaratana is worst and i had a biryani which is terrible, in my life time the Biryani i tasted at Navartana is the worst.  I stayed for 5 days and every day the breakfast menu is same in all the days and taste of most of the dishes served at Breakfast Buffet is below average.  All the five days same menu was served, all the continental and south indian dishes are below average.  Sorry to say to my favourite TAJ, Colombo.","Taj Hosipitality is Good, Food is worst.","2025-04","SOLO","https://www.tripadvisor.com/ShowUserReviews-g293962-d304700-r1005165215-Taj_Samudra_Colombo-Colombo_Western_Province.html",
"0","999844151","en","304700",,"Owner","999870912","en","2025-03-26","Samrat Datta","Dear Guest,

Greetings from Taj Samudra, Colombo!
Thank you for choosing to stay with us and for sharing your valuable feedback on TripAdvisor. We truly appreciate your time and insights, as they help us continually improve our services.
We have carefully noted your concerns and want to assure you that we take them seriously. Our team is actively working to address these matters to enhance the overall guest experience.
To better understand your experience and make necessary improvements, we would greatly appreciate it if you could share your contact details (email or phone number) with us. You can reach us directly at karan.maini@tajhotels.com, and we will be happy to follow up with you.
We sincerely apologize for any inconvenience caused and appreciate your understanding. We look forward to the opportunity to welcome you back and provide you with an even better experience in the future.

Warm regards,
Samrat Datta
Area Director – Taj Maldives & Sri Lanka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Galle Face Center Road, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"25 Galle Face Center Road","","304700","6.922645","Colombo, Western Province","79.846794","Taj Samudra, Colombo","6020","4.5","131","178","402","957","4352","https://www.tripadvisor.com/Hotel_Review-g293962-d304700-Reviews-Taj_Samudra_Colombo-Colombo_Western_Province.html","https://www.tajhotels.com/en-in/taj/taj-samudra-colombo/","2025-03-25","OTHER","1","Over crowded buffet , super crowded lobby. Clueless staff and least interest front office persons!","Value","1","Rooms","1","Location","5","Cleanliness","1","Service","1","Sleep Quality","1","I have stayed in a lot of Taj properties in India. I have always had a pleasant and luxurious experience in all these times- Hyderabad, mangalore, chennai, Mumbai, Kerala, Bangalore . Firslty there was a confusion for the booking made, we booked through make my trip and was told our booking was for feb instead of march. Whereas our booking was for 22nd March 2025. We waited for 30mins for actually getting a room assigned. We were upgraded by the front desk person but I was shocked to see the room. I have stayed in a lot of Taj properties, but have not seen such badly maintained rooms. My room was dusty and had a used cigarette packed behind the main door. I was shocked to see the room was not cleaned properly before it was assigned to me.  The entire property is pretty but so badly maintained, The desk near lift is also dusty and had beer cans on them. I failed to understand how the room assigned was a upgrade, it was so dusty, the floor had particles and was so unclean. After traveling from Galle and having a full hectic day I had zero energy left in me to call and request for a room change after already waiting for 30 mins. I gave up and stayed in my room assigned. The dinner was nice and pleasant and service was good. But the breakfast was horrible. it was the worst breakfast buffer ever. the layout at the restaurant is so bad. there is hardly any space between the food served and island with food kept. Even the tables were so close to each other. I think the breakfast was over crowded and was so chaotic. It took us so much time to get our food from live counter. The tables were also messy and unclean. The bakery option for breakfast was so bad, it looked so old like the item was bad days before. Overall horrible experience.I stayed at ITC ratnadipa Colombo for 2 days before going to galle. I think that is the most pleasant experience i had and Taj Samudra was an absolute disappointment. I have not got the Tata Neu points also for the stay at Taj Samudra","Horrible and unpleasant!","2025-03","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g293962-d304700-r999844151-Taj_Samudra_Colombo-Colombo_Western_Province.html",
"0","999421723","en","304700",,"Owner","999744631","en","2025-03-25","Samrat Datta","Dear Guest,

Greetings from Taj Samudra, Colombo!
Thank you for choosing to stay with us and for sharing your valuable feedback on TripAdvisor. We truly appreciate your time and insights, as they help us continually improve our services.

We have carefully noted your concerns and want to assure you that we take them seriously. Our team is actively working to address these matters to enhance the overall guest experience.

To better understand your experience and make necessary improvements, we would greatly appreciate it if you could share your contact details (email or phone number) with us. You can reach us directly at karan.maini@tajhotels.com, and we will be happy to follow up with you.

We sincerely apologize for any inconvenience caused and appreciate your understanding. We look forward to the opportunity to welcome you back and provide you with an even better experience in the future.

Warm regards,
Samrat Datta
Area Director – Taj Maldives & Sri Lanka and General Manager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Galle Face Center Road, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"25 Galle Face Center Road","","304700","6.922645","Colombo, Western Province","79.846794","Taj Samudra, Colombo","6020","4.5","131","178","402","957","4352","https://www.tripadvisor.com/Hotel_Review-g293962-d304700-Reviews-Taj_Samudra_Colombo-Colombo_Western_Province.html","https://www.tajhotels.com/en-in/taj/taj-samudra-colombo/","2025-03-24","OTHER","1",,,,,,,,,,,,,,"March 17-19 I was at ITC Ratnadipa and from there moved to Galle and on return for a night I stayed in Taj Samudra on March 22.
At the onset I was told that m booking was cancelled because it was a no show. Then I was given a room (278 room number). The passage was a smoking area! The emergency exit was a smoking area! These were not designated smoking areas but their staff allows people to smoke there. Breakfast experience was more like a 3star facility. You order giving out the table number and the food never comes on time. The coffee dispenser had to be refilled. No one really cares in this property.","Careful about what you are getting into","2025-03","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g293962-d304700-r999421723-Taj_Samudra_Colombo-Colombo_Western_Province.html",
"1","997309635","en","304700",,"Owner","997348904","en","2025-03-10","Samrat Datta","Dear Guest,
Greetings from Taj Samudra, Colombo!
Thank you for choosing to stay with us and for sharing your thoughtful review on trip advisor. We truly value your feedback and appreciate your patronage. We have noted the concerns you raised and want to assure you that we are taking them seriously and working with our team to address them.
To better understand your experience and identify areas for improvement, we kindly request that you share your contact details (either email or phone number) with us. You can reach us directly at karan.maini@tajhotels.com, and we will be happy to follow up with you.
We sincerely apologize for any inconvenience caused and appreciate your understanding. We look forward to hearing from you and the opportunity to enhance your future experiences with us.
Warm regards,
Samrat Datta
Area Director Taj Maldives & Sri Lanka.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Galle Face Center Road, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"25 Galle Face Center Road","","304700","6.922645","Colombo, Western Province","79.846794","Taj Samudra, Colombo","6020","4.5","131","178","402","957","4352","https://www.tripadvisor.com/Hotel_Review-g293962-d304700-Reviews-Taj_Samudra_Colombo-Colombo_Western_Province.html","https://www.tajhotels.com/en-in/taj/taj-samudra-colombo/","2025-03-09","OTHER","1","Stay across the street at the Galle Face Hotel. It's historic and quirky and authentic. ","Value","1","Rooms","4","Location","4","Cleanliness","5","Service","1","Sleep Quality","4","This hotel feels like the worst of India, and not even close to the best of Sri Lanka. Do yourself a favour and stay anywhere else in Colombo, especially if you are a woman traveling alone. 

At Taj Samudra, there are a multitude of men in suits whose apparent job it is to make solo women travellers feel intimidated in this hotel. After ordering a poolside G&T, I was accused by 3 different men (in suits) of not being a registered guest at the hotel, despite showing them my registration confirmation. They arrived one at a time while I was sitting by the pool in my bathing suit, and the last man was beyond angry, argumentative, and rude. When I'd finally had enough and went inside to complain, they were all arguing around a computer and not ONE of them offered an apology. 

After my experience at the pool, I had a lovely dinner across the street at the Galle Face Hotel. I went to bed early, only to have two separate men knock on my door. I did not open the door, I just shouted that I was in BED! This made me rather nervous on top of everything else. 

I chose this property for its location by the sea and the pretty pool area, but I spent most of my time (and money) across the street at the Galle Face Hotel where I was treated kindly and with respect. (Stay there and not the Taj Samudra!) The Galle Face Hotel is genuine and historic. You might pay a little more, but it's worth it for the charm. 

To be fair, one gentleman in management at Taj Samudra did his best to try and right things. Chaminda Dehiwatte went out of his way to try and get me to chat with the Manager about my treatment, but I'd already had enough. He approached me when I was checking out to switch to a different hotel, and he tried his best to smooth things over, but again, it was too late. Mr. Dehiwatte offered me a free buffet lunch, which I declined – instead, I suggested he take one of my room nights off my bill. He did, which was nice but it still was a really crappy experience.

The pool was indeed lovely, but on the first day they were setting up for a wedding and it felt like being on a construction site.    

Are here good things about the hotel? My room overlooking the sea was nice and clean. The housekeeping staff did a good job, and were friendly. If you want a large Indian wedding, this could be a great place. If you want a peaceful home base in Colombo, stay absolutely anywhere else.","Single female travelers, avoid at all costs. This hotel is India, not Sri Lanka.","2025-02","SOLO","https://www.tripadvisor.com/ShowUserReviews-g293962-d304700-r997309635-Taj_Samudra_Colombo-Colombo_Western_Province.html",
