"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","subratings/6/name","subratings/6/value","text","title","travelDate","tripType","url","user"
"0","1013690050","en","3596388",,"Other","1015346646","en","2025-06-27","Jude Silva","Dear Kandula2025,

Thank you for choosing AVANI Kalutara Resort to spend your valuable time and taking the time to share your valuable experience with us. Your invaluable feedback and rating will help us continually improve the standard and level of our service offered to all of our AVANI guests.

Please do accept our sincere apology and I was extremely disappointed to read that we were not able to Exceed your expectations at this time. Your feedback regarding the highlighted point, specially related to the signature on the CC slip, will be reviewed with our management team for further enhancement and also, we ensure that further action, necessary changes, and training will be initiated so such an occurrence is not repeated in the future.   

However, please allow me to explain the point that you have brought into our notice with the Electricity and Wi-Fi, we had an issue with our power supply lines and they were under repair even though we switched on the normal lights. It was not 100% recommended by our chief Engineer to go on with all the machines, until his green light, so we couldn’t open our Wi-Fi lines at the time you walk-in to the bar area, However, all our team members were well aware about the electricity and Wi-Fi issue that keep communicated to the guest promptly. 
Once again I apologize for the shortfalls experienced, and please be assured your constructive feedback is well taken. Our overriding goal is always to provide all our guests with a pleasant and relaxing experience, as I am sure you will be able to see on your next visit and therefore, we hope to have the opportunity to welcome you back and improve on your experience in the near future.

Warm Regards,
Jude Silva,
Hotel Manager,
Avani Kalutara Resort.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Sebastian's Road, Kalutara 12000 Sri Lanka","Kalutara","Sri Lanka","12000",,"St. Sebastian's Road",,"3596388","6.568177","Kalutara, Western Province","79.96049","Avani Kalutara Resort","3459","4.5","62","109","267","783","2238","https://www.tripadvisor.com/Hotel_Review-g304136-d3596388-Reviews-Avani_Kalutara_Resort-Kalutara_Western_Province.html","http://www.avanihotels.com/kalutara/","2025-06-18","OTHER","1",,,,,,,,,,,,,,,,"When I arrived, I seemed to be the only guest. I asked where the other guests were, and they replied that the resort had lost power so the guests were out for the day. When the power returned, the wifi still didn’t work.

Avani boasts that they are “located on a peninsula all our own,” but they fail to mention that they allow garbage to pile up on their peninsula. I sat at a table in the bar area and had a stunning view of an inlet heaped with trash and filth. The trashy atmosphere was complimented with an apparently all-subwoofer sound system that pulsed through the whole place.

When I finally went to pay, their system wasn’t working, so the guy behind the counter did the math by hand on a scrap of paper and input the total into a little handheld device. Instead of giving it to me to sign for my credit card, he simply forged my signature without my consent. How convenient!","Resort on a striking trash-lined peninsula","2025-06","SOLO","https://www.tripadvisor.com/ShowUserReviews-g304136-d3596388-r1013690050-Avani_Kalutara_Resort-Kalutara_Western_Province.html",
"0","985459417","fr","3596388",,"Other","986349026","en","2024-12-25","Jude Silva","AYUBOWAN

Dear Valued Guest,

Thank you for taking the time to share your experience. We are sorry to hear that your visit did not meet your expectations. Your feedback is very important to us, and we are committed to addressing the concerns you’ve raised.

Please know that we strive to provide the best experience for all our guests and are taking steps to improve. If you’d like, we would appreciate the opportunity to discuss this further. Feel free to reach out to us directly at [contact information].

We hope to welcome you back in the future for a better experience.

Kind Regards,
Jude Silva,
Hotel Manager,
Avani Kalutara Resort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Sebastian's Road, Kalutara 12000 Sri Lanka","Kalutara","Sri Lanka","12000",,"St. Sebastian's Road",,"3596388","6.568177","Kalutara, Western Province","79.96049","Avani Kalutara Resort","3459","4.5","62","109","267","783","2238","https://www.tripadvisor.com/Hotel_Review-g304136-d3596388-Reviews-Avani_Kalutara_Resort-Kalutara_Western_Province.html","http://www.avanihotels.com/kalutara/","2024-12-20","MOBILE","2",,,,,,,,,,,,,,,,"Déçus par cet hotel, on s'attendait à beaucoup mieux!  
Impossible de se baigner dans la mer à cause des vagues, la plage n'est pas terrible, peu de transats et très en pente. Elle pourrait être mieux aménagée. Du coup on est resté à la piscine.
Piscine colonisée par les corbeaux et leurs fiantes, c'est plutôt bruyant. Douches pas pratiques...

Très grande chambre, mais pas très cosy, pas assez de place dans l'armoire pour 2 personnes, un petit canapé ou au moins 2 chaises pour pouvoir s'asseoir manquent... mais belle salle de bain. Merci à Limal qui s'en est tres bien occupé et qui était toujours très dévoué!!

Buffet du restaurant avec du choix, mais nourriture pas terrible,  plutôt internationale que Sri Lankaise! Manquent des bons plats locaux épicés.","Déçus, on s'attendait à beaucoup mieux","2024-12","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304136-d3596388-r985459417-Avani_Kalutara_Resort-Kalutara_Western_Province.html",
"0","983500466","en","3596388",,"Other","983594433","en","2024-12-08","Jude Silva","AYUBOWAN!!

Dear Rajiv,

Thank you for sharing your feedback. We deeply regret the inconveniences you encountered, including the room condition and amenities. Your comments have been noted, and we are committed to addressing these issues to enhance the guest experience.
We are truly grateful for your kind words about our staff, who always strive to provide exceptional service. It is their dedication that makes a difference.
We look forward to welcoming you back and offering you an improved and memorable stay.

Kind Regards,
Jude Silva,
Hotel Manager,
Avani Kalutara Resort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Sebastian's Road, Kalutara 12000 Sri Lanka","Kalutara","Sri Lanka","12000",,"St. Sebastian's Road",,"3596388","6.568177","Kalutara, Western Province","79.96049","Avani Kalutara Resort","3459","4.5","62","109","267","783","2238","https://www.tripadvisor.com/Hotel_Review-g304136-d3596388-Reviews-Avani_Kalutara_Resort-Kalutara_Western_Province.html","http://www.avanihotels.com/kalutara/","2024-12-07","OTHER","2",,"Value","1","Rooms","1","Location","3","Cleanliness","5","Service","5","Sleep Quality","3",,,"We had a Lagoon facing ground floor room - from where you cannot see the Lagoon but are being charged for it. We faced a issue with ants in the room - low water pressure in the shower - a fridge so old you would not like to keep anything inside it. Very poor room quality as no investment has been made to refurbish them. The staff is excellent and that is what is saving this hotel from going further downhill.","The staff is the only positive in this outdated property","2024-12","NONE","https://www.tripadvisor.com/ShowUserReviews-g304136-d3596388-r983500466-Avani_Kalutara_Resort-Kalutara_Western_Province.html",
"2","983371517","ru","3596388",,"Other","983594783","en","2024-12-08","Jude Silva","AYUBOWAN!!

Dear Guest,

Thank you for sharing your detailed experience. We deeply regret the inconvenience caused during your stay and take your feedback seriously. Your comments regarding the food variety and the unexpected situation with the room change have been noted, and we will review them with our team to ensure improvements. We sincerely apologize for any disruption to your plans and appreciate your patience. We hope to have the opportunity to provide you with a better experience in the future
Kind Regards,

Jude Silva,
Hotel Manager,
Avani Kalutara Resort","1024","776521316","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/48/c6/64/caption.jpg","1820","983","776521317","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/48/c6/65/caption.jpg","1311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Sebastian's Road, Kalutara 12000 Sri Lanka","Kalutara","Sri Lanka","12000",,"St. Sebastian's Road",,"3596388","6.568177","Kalutara, Western Province","79.96049","Avani Kalutara Resort","3459","4.5","62","109","267","783","2238","https://www.tripadvisor.com/Hotel_Review-g304136-d3596388-Reviews-Avani_Kalutara_Resort-Kalutara_Western_Province.html","http://www.avanihotels.com/kalutara/","2024-12-06","MOBILE","1",,,,,,,,,,,,,,,,"Никогда не писал отзывы, но тут сами понимае��е:

Забронировали отель с 29ноября по 8 декабря.
Встретили как полагается,выдали влажные полотенца и напоили соком со входа.
Местный шведский стол опротивел на третий день, 99% еды- острая.
В любое время дня - их фирменное блюдо салат с макаронами)))

Вроде можно закрыть глаза, не в гастротур летели.
6 декабря при выходе из номера дорогу преграждает управляющий,мол видите-ли у них приехала индусская свадьба и выкупила всю гостиницу, мы вас сейчас переселим.

Говорю,что у меня назначена экскурсия, не канает- поехали показывать мне старый корпус отеля с видом на речку-вонючку... Отказываюсь, предложил компенсировать мне неудобства в купе с неиспользованными днями чтобы я переехал в другую гостиницу,которую забронирую сам - управляющий ушел думать....подождали его час-другой,нету...(Экскурсия и вообще планы на день естественно коту под хвост)

Выходим из отеля-бежит тянет руку и все по новой,вот мол переезжайте давайте...
Кстати, водитель тук-тука рассказал,что такой случай в данной гостинице далеко не первый.
Возвращаемся в номер,для справки у  меня был оплачен завтрак и ужин, приходит-долбится в дверь-открываю: опять тот же управляющий,говорит что ужин принесет сам и не надо выходить из номера 🤣🤣🤣 вы серьезно?!","Впечатления о Шри-Ланке испорчены в ноль,не смотря на сафари,водопады и веселые покатушки на старинном поезде.","2024-12","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304136-d3596388-r983371517-Avani_Kalutara_Resort-Kalutara_Western_Province.html",
"0","974617463","en","3596388",,"Other","974930685","en","2024-10-22","Jude Silva","AYUBOWAN!! 

Dear Sandareka, 

I would like to reach out and personally for taking the time to leave us a review. and we are worried to hear that we were unable to met your expectation. we will take this as opportunity to keep better service in future. We genuinely value your input. Thanks again for choosing AVANI. We will review your input deeply.

Kind Regards, 
Jude Silva, 
Hotel Manager, 
Avani Kalutara Resort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Sebastian's Road, Kalutara 12000 Sri Lanka","Kalutara","Sri Lanka","12000",,"St. Sebastian's Road",,"3596388","6.568177","Kalutara, Western Province","79.96049","Avani Kalutara Resort","3459","4.5","62","109","267","783","2238","https://www.tripadvisor.com/Hotel_Review-g304136-d3596388-Reviews-Avani_Kalutara_Resort-Kalutara_Western_Province.html","http://www.avanihotels.com/kalutara/","2024-10-19","OTHER","1","Everything was good except very low number of food variations ","Value","2","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5",,,"Very limited food they provided. Even English breakfast was not for buffet.
But charge Hugh price. 
Room service and restaurant service good.  
Front office staff got our mobile phone,  forcefully and made a review by themselves. (It was very bad)","Forceful comments in TripAdvisor made by front office staff","2024-09","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304136-d3596388-r974617463-Avani_Kalutara_Resort-Kalutara_Western_Province.html",
"0","969843151","en","3596388",,"Other","970031151","en","2024-09-16","Jude Silva","AYUBOWAN!!

Dear Harini,

I would like to reach out and personally for taking the time to leave us a review. and we are worried to hear that we were unable to met your expectation. we will take this as opportunity to keep better service in future. If there's ever anything more we can do for you or if you have any suggestions for improvement, please feel free to let us know. We genuinely value your input.

Thanks again for choosing AVANI.

Kind Regards,
Jude Silva,
Hotel Manager,
Avani Kalutara Resort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Sebastian's Road, Kalutara 12000 Sri Lanka","Kalutara","Sri Lanka","12000",,"St. Sebastian's Road",,"3596388","6.568177","Kalutara, Western Province","79.96049","Avani Kalutara Resort","3459","4.5","62","109","267","783","2238","https://www.tripadvisor.com/Hotel_Review-g304136-d3596388-Reviews-Avani_Kalutara_Resort-Kalutara_Western_Province.html","http://www.avanihotels.com/kalutara/","2024-09-15","OTHER","1","Use the Anantara restaurants next door. The Avani restaurant is poor quality for a resort.","Value","4","Rooms","5","Location","4","Cleanliness","4","Service","3","Sleep Quality","3",,,"Booked on an app which doesn't show options other than B&B so assumed we could eat a la carte at the restaurant. First night we ate in the room as the kids were tired. Room service menu is unappetitsing and limited. 2nd night was the shocker. Kids were hungry so we went to the restaurant to order from a la carte menu. 10 minutes after sitting and about to order, a server comes to us to say that unless we order a buffet, we can't sit in the restaurant. Further we need to sit by the non-aircondirioned and mosquito overrun lobby area by the BAR (with 2 kids!) and eat a la carte there! We were appalled and walked up to our room to order some rubbish from the awful room service menu. You'd think A RESORT would have better restaurant options and that the hotel's only restaurant would allow 
guests to sit and eat from the restaurant menu! We have traveled all around the world but never seen such nonsense like this. When you sit down at a restaurant to eat, you don't insult guests by asking them to leave the restaurant and eat some place else! When a complaint was made to the manager, he says we can go back in...I said No. You don't insult guests and move them in and out of a restaurant. Who does that?!","Hotel restaurant is guest-unfriendly","2024-09","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304136-d3596388-r969843151-Avani_Kalutara_Resort-Kalutara_Western_Province.html",
"1","969499774","en","3596388",,"Other","970031118","en","2024-09-16","Jude Silva","AYUBOWAN!!

Dear Mahesh,

I would like to reach out and personally for taking the time to leave us a review. and we are worried to hear that we were unable to met your expectation. we will take this as opportunity to keep better service in future. If there's ever anything more we can do for you or if you have any suggestions for improvement, please feel free to let us know. We genuinely value your input.

Thanks again for choosing AVANI.

Kind Regards,
Jude Silva,
Hotel Manager,
Avani Kalutara Resort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Sebastian's Road, Kalutara 12000 Sri Lanka","Kalutara","Sri Lanka","12000",,"St. Sebastian's Road",,"3596388","6.568177","Kalutara, Western Province","79.96049","Avani Kalutara Resort","3459","4.5","62","109","267","783","2238","https://www.tripadvisor.com/Hotel_Review-g304136-d3596388-Reviews-Avani_Kalutara_Resort-Kalutara_Western_Province.html","http://www.avanihotels.com/kalutara/","2024-09-12","OTHER","1",,"Value","1","Rooms","1","Cleanliness","1","Service","1",,,,,,,"did not initially intend to write a review, but I feel compelled to share our disappointing experience during our recent stay. We booked a three-night stay on a half-board basis and received a confirmation email stating that the total cost would be approximately LKR 100,000. We paid a 50% deposit in advance.

Before our arrival, the Front Manager contacted us two or three times, and we confirmed that we would be coming for dinner. Upon arrival, however, we were greeted rudely by the security personnel, who disrespectfully spoke to my husband. When we questioned his attitude, he replied, “Because you are wearing shorts and a t-shirt. I thought you were a driver.” This was incredibly embarrassing and left us feeling humiliated. We were shocked by such behaviour and disappointed that staff would judge and treat guests based on their attire or presumed occupation.

We were then directed to Anantara Kalutara for dinner, where we were informed that our booking was only for bed and breakfast, not half-board as we had booked and received no prior communication regarding this change. The Front Manager from Avani called us and insisted that we either pay for our dinner or accept sandwiches delivered to our room. This was highly disappointing, especially as we were traveling with our three-year-old son. As a result, we did not enjoy our dinner and returned to our room, which was also quite small and uncomfortable.
They should figure out their internal management issues and should not embarrass their guests based on their mistakes.

Given the circumstances, we decided to transfer to Anantara Kalutara the next morning. The staff at Anantara Kalutara were exceptional, completely transforming our mood and providing a pleasant environment to enjoy the remainder of our vacation in Sri Lanka. I would like to extend my gratitude to Anantara Kalutara for their outstanding service, which made a significant difference in our stay.","Bad experience","2024-09","NONE","https://www.tripadvisor.com/ShowUserReviews-g304136-d3596388-r969499774-Avani_Kalutara_Resort-Kalutara_Western_Province.html",
"0","967079555","en","3596388",,"Other","967505420","en","2024-08-30","Jude Silva","AYUBOWAN!!

Dear Sameer,

I would like to reach out and personally for taking the time to leave us a review. and we are worried to hear that we were unable to met your expectation. we will take this as opportunity to keep better service in future. If there's ever anything more we can do for you or if you have any suggestions for improvement, please feel free to let us know. We genuinely value your input.

Thanks again for choosing AVANI.

Kind Regards,
Jude Silva,
Hotel Manager,
Avani Kalutara Resort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Sebastian's Road, Kalutara 12000 Sri Lanka","Kalutara","Sri Lanka","12000",,"St. Sebastian's Road",,"3596388","6.568177","Kalutara, Western Province","79.96049","Avani Kalutara Resort","3459","4.5","62","109","267","783","2238","https://www.tripadvisor.com/Hotel_Review-g304136-d3596388-Reviews-Avani_Kalutara_Resort-Kalutara_Western_Province.html","http://www.avanihotels.com/kalutara/","2024-08-27","OTHER","2","Always ask for buffet variety! The food selection is bad !","Value","1","Rooms","3","Location","5","Cleanliness","3","Service","3","Sleep Quality","4",,,"Hello there!

Honestly the Food isnt so great for the price, yes but I loved salads nothing to complain…

But food selection is very bad! 
No SEAFOOD corner ( Its a beach & lagoon property !

Its more like a roadside restaurant!

We arrived on a Saturday 24-08-2024. 

The Staff is honestly helpful but they have to improve and be organized on refilling the food….

People had to queue up until they serve , thats very unpleasant!","FOOD SELECTION IS BAD AND NO SEAFOOD","2024-07","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304136-d3596388-r967079555-Avani_Kalutara_Resort-Kalutara_Western_Province.html",
"0","958042382","en","3596388",,"Other","958328278","en","2024-07-06","Jude Silva","Dear Shane F

Thank you very much for your valuable feedback and for choosing our amazing Hotel between the Indian Ocean and Kalu Ganga Lagoon in Sri Lanka. We highly appreciate your feedback and it gives us an opportunity to continually review the service and facilities extended to our valuable guests.

However please allow me to apologize for the inconvenience caused you have occurred, I was extremely disappointed and we were unable to exceed your expectations at this time.  Your constructive feedback regarding the highlighted point will be reviewed with our management team for further enhancement and I will make a point to share your negative feedback related to the service with the entire team members, also we ensure that further action and training will be initiated so such occurrence is not repeated in the future. 
Also please do let us know full details of your booking, Booking Reference,  Arrival date, Departure date, and room no, for further investigation and it will be easy for us to have corrective action. Please E mail said information to the  following      E-mail address of Front Office Manager Jayantha Gunawardena, jgunawardena@avanihotels.com, 

Once again thank you very much for choosing Avani Kalutara Resort, please be assured your constructive feedback is well taken. Our overriding goal is always to provide all our guests with a pleasant and relaxing stay, as I am sure you will be able to see on your next visit and therefore, we hope to have the opportunity to welcome you to Avani Kalutara Resort and improve on your experience in the near future.
Kind Regards,
Jude Silva,
Hotel Manager,
Avani Kalutara Resort
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Sebastian's Road, Kalutara 12000 Sri Lanka","Kalutara","Sri Lanka","12000",,"St. Sebastian's Road",,"3596388","6.568177","Kalutara, Western Province","79.96049","Avani Kalutara Resort","3459","4.5","62","109","267","783","2238","https://www.tripadvisor.com/Hotel_Review-g304136-d3596388-Reviews-Avani_Kalutara_Resort-Kalutara_Western_Province.html","http://www.avanihotels.com/kalutara/","2024-07-04","OTHER","1",,,,,,,,,,,,,,,,"Very cheep service for local guest and don’t care about their requests and other things. Can’t recommend this hotel. Ananthara is better than Avani. Don’t waste your time and the time. When we request something it’s supply within 45 minutes or after one hour. They are not respecting to the local guest.","Very cheep service for local guest and don’t care about their requests and other things. Can’t recommend this hotel.","2024-07","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g304136-d3596388-r958042382-Avani_Kalutara_Resort-Kalutara_Western_Province.html",
"0","932915215","en","3596388",,"Other","933670990","en","2024-01-10","Jude Silva","Dear erangawickramasi2024

Thank you for choosing Avani Kalutara Resort for your invaluable stay and for taking your valuable time to have us your experiences during the stay. Your invaluable feedback will help us continually improve the standard and level of our service offered to all our Avani guests. 

Please accept our sincere apology and I was extremely disappointed to read that we were not able to meet your expectations at this time, We have noted your highlighted points and Rating. However, your comments have been shared with our management team and further action will be taken to ensure the issues you experienced are corrected moving forward. 

Once again I apologize for the shortfalls experienced, and please be assured your constructive feedback is well taken. Our overriding goal is always to provide all our guests with a pleasant and relaxing stay, as I am sure you will be able to see on your next visit and therefore, we hope to have the opportunity to welcome you back and improve on your experience in the near future. 

Warm regards, 
Jude Silva,
Hotel Manager,
Avani Kalutara Resort.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Sebastian's Road, Kalutara 12000 Sri Lanka","Kalutara","Sri Lanka","12000",,"St. Sebastian's Road",,"3596388","6.568177","Kalutara, Western Province","79.96049","Avani Kalutara Resort","3459","4.5","62","109","267","783","2238","https://www.tripadvisor.com/Hotel_Review-g304136-d3596388-Reviews-Avani_Kalutara_Resort-Kalutara_Western_Province.html","http://www.avanihotels.com/kalutara/","2024-01-08","OTHER","1",,"Value","1","Rooms","1","Location","1","Cleanliness","1","Service","1","Sleep Quality","1",,,"Super Noici . All cheating with photos. They are showing great comments and pictures. But just 3rd class hotel. Rooms are like very basic. Only you have just TV. But thats also only available Discovery and couple of other channels. No history channel or travel channel or anything  ","Cheating Place. Just next to galle road","2023-12","NONE","https://www.tripadvisor.com/ShowUserReviews-g304136-d3596388-r932915215-Avani_Kalutara_Resort-Kalutara_Western_Province.html",
