"error","helpfulVotes","id","input","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
"No reviews found for the provided location. Check whether the location has any reviews.",,,"https://www.tripadvisor.com/Hotel_Review-g608524-d25983119-Reviews-The_Bellwood_Manor-Nuwara_Eliya_Central_Province.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Badulla Road, Nuwara Eliya 22200 Sri Lanka","Nuwara Eliya","Sri Lanka","22200",,"Badulla Road",,"25983119","6.960976","Nuwara Eliya, Central Province","80.76671","The Bellwood Manor","196","5","0","0","0","3","194","https://www.tripadvisor.com/Hotel_Review-g608524-d25983119-Reviews-The_Bellwood_Manor-Nuwara_Eliya_Central_Province.html","http://www.thebellwoodmanor.com",,,,,,,,,,,,,,,,,,,,,,
,"0","1016597146",,"en","28040522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconut Development Board Road, Pasikuda 30410 Sri Lanka","Pasikuda","Sri Lanka","30410",,"Coconut Development Board Road",,"28040522","7.92555","Pasikuda, Eastern Province","81.56233","Sunrise Pasikuda","231","4.9","1","1","2","10","218","https://www.tripadvisor.com/Hotel_Review-g24914478-d28040522-Reviews-Sunrise_Pasikuda-Pasikuda_Eastern_Province.html","https://www.facebook.com/profile.php?id=61561562972939&locale=ku_TR","2025-07-04","MOBILE","3",,,,,,,,,,,,,,"This place is geared for older retirees. The beach itself is excellent, the pool was too warm in my opinion. The rooms are clean but just ok. Very nice people. Food was buffet style and average. The music playing during dinner was a nice effort but the songs are all western oldies.","Good for retirees, but thats about it.","2025-07","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g24914478-d28040522-r1016597146-Sunrise_Pasikuda-Pasikuda_Eastern_Province.html",
,"0","1002562899",,"en","28040522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconut Development Board Road, Pasikuda 30410 Sri Lanka","Pasikuda","Sri Lanka","30410",,"Coconut Development Board Road",,"28040522","7.92555","Pasikuda, Eastern Province","81.56233","Sunrise Pasikuda","231","4.9","1","1","2","10","218","https://www.tripadvisor.com/Hotel_Review-g24914478-d28040522-Reviews-Sunrise_Pasikuda-Pasikuda_Eastern_Province.html","https://www.facebook.com/profile.php?id=61561562972939&locale=ku_TR","2025-04-14","OTHER","3",,,,,,,,,,,,,,"It was nice. Food could improve. Nice hospitality. Great view. Overall great hotel. Nice staff. Nice pool. Nice hotel room. Nice bathroom. Nice avurudu event. everything is nice except the quality of food. Desert section could improve and the pasta and some othwr food items taste BLAND WITH LESS FLAVOUR. Please consider. Thanks","Daughter's Birthday and awrudu celebrations","2025-04","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g24914478-d28040522-r1002562899-Sunrise_Pasikuda-Pasikuda_Eastern_Province.html",
,"0","992837555",,"en","580009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hatton Road, Lethant 22000 Sri Lanka","Lethant","Sri Lanka","22000",,"Hatton Road",,"580009","6.834447","Lethant, Central Province","80.604256","Ceylon Tea Trails - Relais & Chateaux","2015","4.9","3","11","22","85","1894","https://www.tripadvisor.com/Hotel_Review-g27929191-d580009-Reviews-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html","https://www.instagram.com/ceylonteatrails","2025-02-09","OTHER","3","Avoid rooms on the left hand side of the bungalow - they are near a noisy road","Value","4","Rooms","5","Location","1","Cleanliness","5","Service","5","Sleep Quality","2","We had the highest expectations for our stay at Ceylon Tea Trails but for reasons that we still do not understand we were moved without notice from the Summerville Bungalow to the Tientsin bungalow which seems to be a spill over location. We paid extra for a garden suite which was useless as there is busy and noisy road just below the garden so unless you like traffic noise and radios it’s best avoided. The bungalow is also nearly an hour away from all activities ( e.g. kayaking) but if you don’t mind not moving it’s a peaceful location.
On the positive side the food and bungalow itself is magnificent and the staff are really fantastic. They cannot do enough to help and are always friendly and welcoming.","Sadly not what we booked or expected","2025-02","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g27929191-d580009-r992837555-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html",
,"2","939941315",,"en","580009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hatton Road, Lethant 22000 Sri Lanka","Lethant","Sri Lanka","22000",,"Hatton Road",,"580009","6.834447","Lethant, Central Province","80.604256","Ceylon Tea Trails - Relais & Chateaux","2015","4.9","3","11","22","85","1894","https://www.tripadvisor.com/Hotel_Review-g27929191-d580009-Reviews-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html","https://www.instagram.com/ceylonteatrails","2024-02-26","OTHER","3",,"Value","3","Location","5","Service","4",,,,,,,"We spent 3 nights at Ceylon Tea Trails Castlereagh bungalow  in Feb. It was a nice stay but an underwhelming experience after the big build up in the promotional videos. 

On the positives 

The property is very pretty with an old world colonial bungalow set in a beautiful  English styled garden with stunning views of  the lake

The service was excellent and the staff are wonderful and go out of their way as they do in all the hotels we have stayed in of Sri Lanka 

The food was good - we had some delicious meals cooked by Chef Ravi but also some average ones when he went on leave

On the downside 

The property is difficult to reach and if you don’t fly in via a chartered  seaplane  it takes ages ( in our case 6 hours from Ulagalla and then an hours wait for the boat transfer as it was doing a picnic cruise ). It also makes it a very long journey if you want to visit any of the neighbouring attractions.

The hiking trails are nice but very steep in places. They pass through many villages housing and unfortunately can have quite some trash lying around. 

There is not too much to do at the hotel and there is a very limited variety of flora or fauna or bird life compared to Ulagalla and other parts of srilanka given all the forests have been cleared to grow tea

Most disappointing for us was the “luxury” room in castlereagh which we were assigned instead of the garden suite we had booked. This was due to a misunderstanding as our preferred room  wasn’t available on the  first day. The luxury room has no privacy with gardeners staff and guests constantly passing within a few feet of the window and the room is dark and stuffy if you draw the blinds. It also has no access to the garden which is half the charm in the hills. 

The hotel appears  to  cater to people who enjoy or want to relive the experience  of the old colonial lifestyle - butler’s and staff waiting on you , call bells in the room to summon staff, butlers who bring you tea in bed in the morning … 

I am sure that’s fine for  some,   but was not our cup of tea.  

We preferred our stay in Ulagalla which was equally if not more luxurious, very beautiful with a variety of flora and fauna and just felt more authentically Sri Lankan with excellent service, delicious food and the wonderful hospitality that this beautiful country has to offer","Very pretty but underwhelmed","2024-02","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g27929191-d580009-r939941315-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html",
,"0","881457475",,"en","580009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hatton Road, Lethant 22000 Sri Lanka","Lethant","Sri Lanka","22000",,"Hatton Road",,"580009","6.834447","Lethant, Central Province","80.604256","Ceylon Tea Trails - Relais & Chateaux","2015","4.9","3","11","22","85","1894","https://www.tripadvisor.com/Hotel_Review-g27929191-d580009-Reviews-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html","https://www.instagram.com/ceylonteatrails","2023-03-08","OTHER","3",,,,,,,,,,,,,,"
Our second visit to Tea Trails and Castlereagh Bungalow, some aspects of which are sublime luxury.  The location, on the Dilmah Tea Plantation, the grounds, the accommodation, general ambience and the cuisine are all 5*.  The outstanding chef, Samantha, and the superb waiting staff skilfully led by Ajith, make the dining experience something special.  However, we experienced 2 very negatives features.  Having reserved the Palmer Garden suite for its private garden and summerhouse, we were appalled to find that a gang of men were sawing up a tree (by hand!) adjacent to our suite (actually in the staff quarters!).  The noise and disturbance were awful.  We complained to the Butler who said he would ‘sort it’.  He did not and it continued until dark.  The following morning before 7.00 am it started again and then another, even larger, tree was felled, very narrowly missing the summerhouse where we were sitting and showering everything with dust and debris – potentially very dangerous and extremely frightening!  We eventually ‘erupted’ at 2.00pm and Ajith was able to stop the disturbance which the ineffectual Butler could not.  An expensive day plus was totally ruined!  Also, we were told by our driver that it was no longer possible to drive to the bungalow as the road was so bad and that we would have to travel by boat from another Bungalow.  OK, but for the fact that the steep access on both sides was very slippery and uneven.  If the hotel wants guests, it needs to sort access or else warn guests of the problem beforehand, so that they can wear suitable footwear.  Not at all good!

","A very costly, but mixed experience of Castlereagh Bunglaow","2023-02","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g27929191-d580009-r881457475-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html",
,"1","730631576",,"en","580009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hatton Road, Lethant 22000 Sri Lanka","Lethant","Sri Lanka","22000",,"Hatton Road",,"580009","6.834447","Lethant, Central Province","80.604256","Ceylon Tea Trails - Relais & Chateaux","2015","4.9","3","11","22","85","1894","https://www.tripadvisor.com/Hotel_Review-g27929191-d580009-Reviews-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html","https://www.instagram.com/ceylonteatrails","2019-12-04","OTHER","3",,,,,,,,,,,,,,"Arrived by train, 30$ charge for 20 min drive from station. Whatever.  Summerville lovely, overlooking a man made lake, astonishing view. Iphone hooked into a Bose speaker playing Englebert. No one else staying at the 5 suite house, Chicken lunch. ok. but for the hefty all inclusive price? Silence. Except for the Englebert. Our ""butler"" suggested the tour of the tea factory. Sure. Can you change the music? Alcohol included in the all inclusive, unlike the drive from the train station, and they are not shy about offering it to you in waves, as if in apology for there not being a whole heck of a lot to do. The room well appointed, mosquito nets and large bathrooms. Woken with tea. Tour fine. Lunch at the Castlereigh, (smaller, less charm). Kayaked back.  A mistake, as neither of us knew how to kayak. Drinks. Children ran up behind us in the land rover waving and yelling ""bats!'. I asked our guide why bats are important to children Someone who stayed here bought 10 cricket bats and dispersed them at random to the children.A sweet gesture, yet now the ones not lucky clamour to all guests in the rovers the need to be treated equally, to have bats too. More gentle sipping, whiling the aft away, watching the clouded sky, the beautiful emptiness of the lake. Dinner was fish, competent but. We decided to forego the 3rd night. The service was immaculate throughout, all employees were kind, attentive and well trained. We left contented sure, but with that small gnawing feeling of ... ","Pretty Vacant","2019-11","NONE","https://www.tripadvisor.com/ShowUserReviews-g27929191-d580009-r730631576-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html",
,"4","607555650",,"en","580009",,"Owner","608690106","en","2018-08-20","ResplendentCeylonSL","Dear Andreas,  I'm sorry that Tea Trails fell short of your expectation. I don't think the comparison with regular hotels is fair. We are not a “5 star” hotel - we do not compete in that mainstream category, hotels you mention have 100+ rooms and is what many of our guests seek to escape from. 

The focus is on service and I am glad that you acknowledge this is superior. The rooms deliberately don’t have TVs, minibar and conventional hotel amenities as we do not seek to be a conventional hotel. Instead we have a butler call bell, scenery and hopefully conversation!  

Tea Trails seeks to offer a boutique experience fully inclusive of gourmet meals, all beverages, laundry, the tea experience and pretty much anything that a guest would ask for. At a regular ""bed & breakfast hotel"" these ""extras"" can exceed the room rate. The range of premium spirits include malt whiskeys but since this is served off a butler trolley we don't have a 50ft bar as a large hotel may.  Our food is highly rated and our chefs are fully equipped as attested by guest feedback over the years. We do not offer massive buffets, everything is a la carte, made to order.  

My apologies about the most unusual weather in August, something obviously beyond our control but nevertheless I fully understand your frustration and how it may have impacted your stay at Tea Trails. We are seeing weather extremes in many parts of the world and Kerala in neighbouring India has been devastated by floods - we have been subject to the same unseasonal weather pattern which is now clearing.  

None of the three resorts in the Resplendent Ceylon collection exceed 40 rooms and our new developments will follow a similar course - original resorts offering a “non-hotel” experience.  Once again, my apologies that we disappointed you.   

Warm wishes, Malik","2048","338746908","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/30/de/1c/photo0jpg.jpg","2048","2048","338746909","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/30/de/1d/photo1jpg.jpg","2048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hatton Road, Lethant 22000 Sri Lanka","Lethant","Sri Lanka","22000",,"Hatton Road",,"580009","6.834447","Lethant, Central Province","80.604256","Ceylon Tea Trails - Relais & Chateaux","2015","4.9","3","11","22","85","1894","https://www.tripadvisor.com/Hotel_Review-g27929191-d580009-Reviews-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html","https://www.instagram.com/ceylonteatrails","2018-08-18","MOBILE","3",,,,,,,,,,,,,,"We stayed at Tea Trails two nights in August 2018 at the Summerville bungalow. When rating the experience at Tea Trails the price must be the point of departure. We paid USD 1015 for each night (they also had rooms twice the price of that). In comparison we paid approx USD 350 per night at VERY good 5-star hotels in Tangalle (Anantara) and Sigiriya (Jetwing). Tea Trails was 3 times that price, i.e. USD 650 more per night. Can this price difference be justified? We think clearly not:

1. Service: To be fair, the service was really good. You get a lot of attention. This was better than other 5-stars hotels.

2. Rooms: Nothing you would not expect from any 5-star hotel. In fact, the rooms did not have TVs and no minibar, and also lacked other amenities you would expect to get in a 5-star hotel.

3. Breakfast: Nothing you would not expect from and receive at any 5-star hotel, inclusive in the rate.

4. Lunch, afternoon tea and dinner: This was inclusive in the price. Except from free laundry cleaning and free bar this, however, was the only thing which you would have paid for at a regular 5-star hotel, but which was included in the rate at Tea Trails. The food was good, but not that impressive really. We had much better food at the restaurants at other 5-star hotels. So the food inclusive in the rate clearly cannot justify the extra USD 650 per night.

5. Wine: they served cheap red wine, you could choose between 3 types (2 of them with screw caps). This was truly disappointing. The second night we wanted to buy a wine from the menue, but it turned out that they did not have ANY of the red wines on the list. In a 3-star hotel that would be entirely fine. But not in a 5-star hotel charging USD 1015 per night.

6. Drinks: all drinks were free, but they did not have a huge selection. And let’s be realistic: how many drinks can you really have each day?

7. Laundry: This was for free. Very good service. But clearly this add-on cannot justify the price.

8. Activities: Nothing you would not expect from any 5-star hotel. The best activities you had to pay for.

9. Shared areas: Consist of a rather small living room, a garden and a pool. The shared areas are clearly much better at a regular 5-star hotel.

10. Concept: Tea Trails have 5 bungalows, but they are quite far apart. Hence, most of the time (if not all) you will stay in your bungalow, which have 5 rooms. The space feels somewhat limited. Also, each bungalow has its own kitchen and chef. Probably, this explains why the food was not that excellent. Indeed, it will be difficult for such a small hotell to have 5 state-of-the-art kitchens and chefs.

11. Climate: It was raining a lot, all of the time we were at Tea Trails. We have the impression that this is often the case, except from December to March. Hence, you are well advisded to check the climate for the period you will stay at Tea Trails before booking.

All in all: had it been a regular 5-star hotel with regular 5-star hotel prices we would have been very happy. Even if the price had been USD 500 per night, that would have been fine. USD 1015, however, is outreagous. Unless you get a massive discount on the price, I would only recommend Tea Trails to extremely rich people that do not at all care about the price (who, however, surely can find something better elsewhere).
","Questionable cost benefit","2018-08","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g27929191-d580009-r607555650-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html",
,"2","555779750",,"en","580009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hatton Road, Lethant 22000 Sri Lanka","Lethant","Sri Lanka","22000",,"Hatton Road",,"580009","6.834447","Lethant, Central Province","80.604256","Ceylon Tea Trails - Relais & Chateaux","2015","4.9","3","11","22","85","1894","https://www.tripadvisor.com/Hotel_Review-g27929191-d580009-Reviews-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html","https://www.instagram.com/ceylonteatrails","2018-01-22","OTHER","3","Bungalows (and rooms) are very different. Plenty info online to choose carefully.","Rooms","3","Cleanliness","4","Service","3",,,,,,,"We enjoyed our stay and depending on the bungalow where you are staying: the scenery is spectacular, BUT it is a crazy amount of money (for Sri Lankan standards). 

On the positive side:
- Great location, nice views and very friendly and helpful staff.
- Great concept to be able to have a meal at the other bungalows
- Nice to be able to cycle and kayak between the bungalows (at this price point, the kayaking should be included)
- Very tasty food, especially the local curries, nicely presented. I liked the desserts too.
- Nice walking routes, although short distances
- It is nice to see how the tea factory is set up and the mission to help provide better circumstances of living for the working people

A few critical remarks:
- Surprisingly there's no white tea served for the afternoon tea. When asked, it was said it is not an option to serve this.
- How the concept works is not well (at all) explained, but this could as well be due to our arrival time after 11pm.
- Although the meal options are discussed every day with the cook, they try to steer into the same direction/courses for all the guests. They seemed surprised at our request to mainly eat local dishes instead of the Western dishes they often recommended, like risotto, pasta, etc. The vegetarian pasta is not so interesting
- We met the general manager only in one of the bungalows where we stayed.
- The staff seems to be trained minimally and is not used to offering the services you'd expect at this price point/luxury standard this hotel tries to be. You have to ask for a lot of things, which are happily provided, but the staff seems a bit shy. Surprisingly, they did offer to clean and dry our shoes are a muddy/rainy walk.

If you decide to go: carefully check which bungalow to book yourself into. The locations and scenery vary quite a bit. You can find enough information about this online.

We were picked up by car at the Colombo airport, but travelled back by train, departing in Hatton and staying overnight (for two nights) in Kandy before continuing to Colombo. This works very well and was quite an experience. We ran into a staff member at the train station who was asked to assist us there on his day off. Very kind!

We are both vegetarians and don't drink alcohol, so not sure whether I would stay here again at this all inclusive rate for meals and all drinks.

All in all, if you're a luxury traveller you may be disappointed.","Staff is trying hard, but if you're a luxury traveller you may be disappointed at this price point","2017-08","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g27929191-d580009-r555779750-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html",
,"6","507287545",,"en","580009",,"Owner","507718697","en","2017-08-01","Malik F","I'm sorry that we disappointed you, although your comments seemingly refer to another resort.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hatton Road, Lethant 22000 Sri Lanka","Lethant","Sri Lanka","22000",,"Hatton Road",,"580009","6.834447","Lethant, Central Province","80.604256","Ceylon Tea Trails - Relais & Chateaux","2015","4.9","3","11","22","85","1894","https://www.tripadvisor.com/Hotel_Review-g27929191-d580009-Reviews-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html","https://www.instagram.com/ceylonteatrails","2017-07-30","MOBILE","3",,,,,,,,,,,,,,"The setting is good if not far from everything else you'll visit while in Sri Lanka. You can take a sea plane which makes it easier though I don't know the cost. Other than the setting, the hotel leaves a lot to be desired. Services and amenities are lacking and it's far from offering the services you'd expect when a hotel boasts luxury standards (and prices). The lack of training leaves you feeling bad when you ask for a glass of water and since they don't naturally refill you feel even worse. Linens and towels are ok, turndown doesn't tidy the room, water isn't offered during outings or boat transfers, butlers don't offer to iron, dirty plates at elect on empty tables, bathroom amenities are not luxurious, there's no management present etc. Privacy is limiting given the small house and grounds.  it feels more like a good Hilton and unless you plan to spend a lot of time there (not much to do) it's hard to justify the distance you'd travel to get there. I'd recommend nuwara eliya and the Amans or even jetwing hotels when down by the coast. And if you do. go and drive be sure not to go directly to your bungalow without asking first if that's the most comfortable wag to get there. Roads aren't great. Meh.","If you're a luxury traveler you're likely to be disappointed ","2017-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g27929191-d580009-r507287545-Ceylon_Tea_Trails_Relais_Chateaux-Lethant_Central_Province.html",
