"error","helpfulVotes","id","input","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
,"0","982451852",,"en","10416524",,"General Manager","1015693508","en","2025-06-29","David de Silva","Hello Simon, 

You were a part of the Noble Caledonian Group and as we advised your local travel agent and your foreign guide, some of the guests were already sick when they checked so it sees rather unfair for you to blame the hotel for this. I spoke to the travel and the foreign guide and clarified hence I will not bother to respond to each and every point mentioned in this review as it would be futile. 

I am sorry you feel this way but thank you nevertheless for staying with us.
Enjoy the rest of your time in Sri Lanka
With sunny regards from Sigiriya
David & the team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indigaswewa, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"Indigaswewa",,"10416524","7.992871","Sigiriya, Central Province","80.745834","Water Garden Sigiriya","1176","4.9","4","3","16","75","1078","https://www.tripadvisor.com/Hotel_Review-g304141-d10416524-Reviews-Water_Garden_Sigiriya-Sigiriya_Central_Province.html","http://www.watergardensigiriya.com","2024-11-27","OTHER","3",,"Value","2","Rooms","3","Location","5","Cleanliness","4","Service","2","Sleep Quality","5","Stayed for 4 nights in this secluded resort. Initial impressions positive. Villas can be a long way from the hotel buildings. You can be reliant on the electric buggies but if the internal phone, to summonse the buggy, does not work like ours  you have to walk in the rain and dark even with the supplied torch. A major problem is the poor food quality. Restaurant service very slow, plates cold, food cold or tepid even when reheated. All meat dishes very tough and some unedible. It may be coincidence but 75% of our group went down with stomach problems. The villa was nice but we had two water leaks. These were 'solved' by Staff puting towels down. Basin water was only ever tepid including the 'cold' water tap. In view of the poor food quality would not stay here again.","Disappointing Stay Due to Poor Food Quality","2024-11","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g304141-d10416524-r982451852-Water_Garden_Sigiriya-Sigiriya_Central_Province.html",
,"0","956190110",,"en","10416524",,"General Manager","957623922","en","2024-07-01","David de Silva","Dear Valued Guest,

Thank you for taking the time to share your experiences during your recent stay at our hotel. We greatly value your feedback as it allows us to understand better how we can enhance our services and facilities to meet and exceed guest expectations.

We were disheartened to learn about the issues you encountered regarding the lack of water around your villa and the challenges with room service. Please accept our sincerest apologies for these shortcomings. As you have very correctly pointed out, April is indeed the hottest month of the year in sunny Sri Lanka and due to a prolonged drought, most of the water ways, lakes and ponds that are synonymous with Water Garden Sigiriya, tend to dry up until the rains arrive. Rest assured, we will investigate these matters thoroughly and take necessary actions to prevent such occurrences in the future.

Regarding the pool area, we acknowledge your concern about the lack of shade, especially considering the high temperatures in April. We will review our current arrangements and explore options to provide adequate shade for guests who prefer cooler environments. We do apologize for not meeting your expectations in this regard.

On a more positive note, we are pleased to hear that you enjoyed your spa experience and the cuisine on offer. These aspects of your stay highlight the areas where we excel, and we are committed to maintaining and improving these services. Please rest assured that your feedback has been taken very seriously, and we are implementing measures to address the issues you have raised. We sincerely hope that you will give us another opportunity to demonstrate our commitment to providing exceptional hospitality.

Once again, thank you for bringing these matters to our attention. We look forward to welcoming you back to our hotel in the future, where we hope to offer you an experience that truly reflects our dedication to excellence.

With sunny regards from Sigiriya
David & the team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indigaswewa, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"Indigaswewa",,"10416524","7.992871","Sigiriya, Central Province","80.745834","Water Garden Sigiriya","1176","4.9","4","3","16","75","1078","https://www.tripadvisor.com/Hotel_Review-g304141-d10416524-Reviews-Water_Garden_Sigiriya-Sigiriya_Central_Province.html","http://www.watergardensigiriya.com","2024-06-22","OTHER","3",,"Value","3","Rooms","3","Location","5","Cleanliness","3","Service","3","Sleep Quality","4","On first arrival the view and reception is incredible. Unfortunately due to the lack of rain our villa was actually over a dried mud bed and not water and the outside had the smell of stagnant water. Our butler was delightful but due to heat and an early start we decided to have room service. It took over 24hrs for these plates to be cleared from outside our room and not before the insects stepped in. Room service seemed to think it was the restaurants responsibility - eventually our butler took them away but not what you expect from a 5* hotel. 
Equally the pool had been created with an incredible view but zero shade and as April is the hottest month it was impossible to use and extremely hot!
The spa was a lovely experience and the food was good but I would be loathed to recommend this hotel for the price per night.","Overpriced and underwhelming.","2024-04","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304141-d10416524-r956190110-Water_Garden_Sigiriya-Sigiriya_Central_Province.html",
,"2","951703469",,"en","10416524",,"General Manager","951840751","en","2024-05-21","David de SIlva","Hello Matt, 

I hope this message finds you well and I wanted to personally reach out to address your concerns. Upon reviewing your comments, I noticed something unusual. There hasn't been any construction activity on our premises and this leads me to believe there might have been a misunderstanding or perhaps a mix-up with another establishment. It's possible that the review was intended for a different location.

To better assist you and to ensure we're addressing your concerns accurately, could you please confirm whether you stayed at our hotel? Any additional details about your stay, such as the dates or specific rooms you occupied, would be greatly appreciated.

We take great pride in providing exceptional service and maintaining high standards of cleanliness and comfort for our guests. Your experience should reflect these values, and I assure you that we will do everything within our power to rectify any issues you encountered.

Thank you for bringing this matter to our attention. I can be reached on gm@watergardensigiriya.com. I look forward to hearing from you. 

With my best regards
David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indigaswewa, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"Indigaswewa",,"10416524","7.992871","Sigiriya, Central Province","80.745834","Water Garden Sigiriya","1176","4.9","4","3","16","75","1078","https://www.tripadvisor.com/Hotel_Review-g304141-d10416524-Reviews-Water_Garden_Sigiriya-Sigiriya_Central_Province.html","http://www.watergardensigiriya.com","2024-05-20","OTHER","3",,,,,,,,,,,,,,"Nice hotel, but we were disappointed to be given a room with no water views and near construction when we were almost the only couple at the hotel. Literally saw maybe 3 or 4 others at the hotel during our stay. Staff were very nice, but management non-existent.","A little disappointing","2024-05","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304141-d10416524-r951703469-Water_Garden_Sigiriya-Sigiriya_Central_Province.html",
,"1","938692407",,"en","10416524",,"General Manager","942509497","en","2024-03-16","David de Silva","Hello Leloir, 

Firstly let me take this opportunity to thank you for having selected to stay at Water Garden Sigiriya and to be very honest with you, I am sincerely upset to read that your stay with us did not meet your expectations. As the majority of our online reviews will testify, we pride ourselves on providing a memorable experience to all our guests and it is indeed extremely disheartening to learn that you did not experience the same for some very strange reason. 

When you stay in a hotel and if you are dissatisfied with a certain product or service, then it is your right as a paying customer to bring this to the attention of the Manager or anyone else in authority who can address the issue and provide you with a solution. Sadly and again for some very strange reason you did not do so yet you decided to pen your thoughts post your stay thus denying us the opportunity to clarify and set the record straight while you were resident with us.  

At this point I feel it is my duty, as the General Manager of the hotel, to 'clarify' some negative points raised by you purely for the benefit of all future guests who plan to visit us; 

1. I am delighted that you liked the structure of the reception pavilion, the many exotic birds on site including the hundreds of wandering peacocks and peahens, the enormous main swimming pool with stunning views of the Lion Rock and the staffing in the main restaurant.  As you have suggested, I will indeed take a deep and long look at the negative concerns you have raised and will take corrective action should I find the need to do so.  To further clarify;

2. As the name signifies, there are many water bodies on site in the form of ponds, lakes and water ways. There are many marine eco systems thriving in these water bodies not to mention hundreds of fish who eat the larvae of the mosquitoes and who have a zero chance of breeding in our water bodies. 

3. There are 4 resident mugger crocodiles in the main lake at the entrance of the hotel and we have built custom made islands for them to bask in the sun and regulate their body temperatures. The many water bodies are thriving with hundreds of local lake fish however fishing by humans is banned within the property as these fish are part of a food chain for the many species of birds and mugger crocs. The crocodiles I can guarantee you are restricted to the main lake and they do not wander around the property during the day or night seeking potential humans to devour.  

4. The hotel is set in 38 acres of landscaped gardens and waterways. As was explained to you by your butler during the hotel and villa orientation, we have electric golf buggies which are on call at any given time to drive you from one location to another. Given the fact that we are located within a jungle environment, all guests are advised to refrain from walking on the pathways at night despite the fact that all walking paths are sufficiently illuminated from dusk to dawn.   

5. I have spoken to and investigated this water issue with all our butlers and none of them can recall such a request. Bottles of water are usually delivered to the villas by the Housekeeping team and I do apologise if you did not receive your request due to a miscommunication on our part.   
    
6. The main gates of the hotel are kept closed at all times as we do not allow non-resident guests to enter the hotel as a policy. The reason for this being to safeguard the comfort and privacy of all our resident guests which included yourselves when you were staying with us. I am confident that you and future guests will appreciate this policy. 

Thank you for bringing your concerns to our attention via this review but what would have been a win-win situation for yourselves and us is if you had raised these concerns either with me or any other Manager during your stay. 

Nevertheless, thank you for this visit and do enjoy the rest of your time in Sri Lanka. 

With sunny regards from Sigiriya.
David & the team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indigaswewa, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"Indigaswewa",,"10416524","7.992871","Sigiriya, Central Province","80.745834","Water Garden Sigiriya","1176","4.9","4","3","16","75","1078","https://www.tripadvisor.com/Hotel_Review-g304141-d10416524-Reviews-Water_Garden_Sigiriya-Sigiriya_Central_Province.html","http://www.watergardensigiriya.com","2024-02-17","OTHER","3",,"Location","4","Cleanliness","3","Service","3",,,,,,,"Despite a picture postcard view of Sri Lanka’s most famous rock fortress, this pricey hotel on the outskirts of Sirigiya, is more stage set than hotel. It features 30 comfortably furnished one bedroom villas -many with private plunge pools -that encircle a manmade “water garden”.  But the “water garden” itself is a string of stagnant water holes that serve as magnets for mosquitoes and are filled with crocodiles (!) – or so we were cautioned by staff  - which made walking around the poorly lit property especially precarious at night. 

Arrival at the hotel, past the locked gate and exquisitely designed reception pavillion,is spectacular. But the reception itself is chilly and devoid of charm. Such a shame. The hotel’s jungle like setting attracts many exotic birds; including enormous peacocks we enjoyed watching take flight. The main swimming pool is enormous and beautiful; as is the dining room, which is staffed with well-meaning and attentive waiters. But the rest of hotel is in serious need of better trained -  and happier - staff. For example, the “butler” we were assigned refused to help us obtain mineral water. He volunteered to take us back and forth to the dining room in the hotel’s golf cart but kept us waiting over a half hour each time. Housekeeping was sloppy. Among the many hotels we stayed in wonderful Sri Lanka, Water Garden Sirigiya was the only one in which we sensed management did not treat or train its household staff well.","Spectacular View But Devoid of Charm","2024-01","NONE","https://www.tripadvisor.com/ShowUserReviews-g304141-d10416524-r938692407-Water_Garden_Sigiriya-Sigiriya_Central_Province.html",
,"1","904029556",,"en","10416524",,"General Manager","904331315","en","2023-07-20","David de SIlva","Hello Surayago, 

Thank you for taking the time to share your feedback regarding your recent stay with us. We were delighted to hear that you enjoyed the lovely location and the beautiful grounds of our property. I understand that you are one of the guests who was travelling with Mr Michael Williams as the content of your review is indeed similar to the review posted by Katherine. 

First and foremost, we want to express our sincere apologies for any inconveniences or disappointments you encountered during your time at our hotel. Your stated experiences certainly do not reflect the level of service and quality we strive to provide to all our valued guests hence kindly permit me to clarify;

Regarding the dinner experience, we regret if you found the service slow and the food not to your taste. We understand that you did not express your dissatisfaction during the dinner meal, and we apologize for any missed opportunities to rectify the situation promptly. Your valuable feedback will be shared with our culinary team to ensure that all guests' dietary preferences are catered to effectively.

Regarding the lack of signage to the villas, we apologize for any confusion you experienced. We do provide golf buggies that are available 24/7 as was communicate during the check in process. I understand that your driver had dropped off all 10 of you near the villas upon your return to the hotel and not at the main entrance where all the buggies are on standby. We will reinforce this communication to all guests and drivers in future.

Regarding the handling of complaints, I regret if any explanation/clarification on my part was perceived as defensive. It definitely was not my intention. However, I do apologize for not waiving off the main course charge of the entire group as we saw no valid reason to do so. Our intention is always to resolve guest concerns promptly and professionally, and we apologize if we were misunderstood.

In conclusion, we deeply regret that your experience at our hotel was not up to par with your expectations and we do appreciate your candid feedback.

Once again, thank you for sharing your feedback. We value your patronage and hope that you will give us another opportunity to provide you with the true five-star experience we are known for.

Warmest regards,

David de Silva
General Manager
Water Garden Sigiriya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indigaswewa, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"Indigaswewa",,"10416524","7.992871","Sigiriya, Central Province","80.745834","Water Garden Sigiriya","1176","4.9","4","3","16","75","1078","https://www.tripadvisor.com/Hotel_Review-g304141-d10416524-Reviews-Water_Garden_Sigiriya-Sigiriya_Central_Province.html","http://www.watergardensigiriya.com","2023-07-18","OTHER","3",,"Value","2","Location","5","Service","3",,,,,,,"Indeed, the property is gorgeous! Unfortunately, the staff — while kind — was not sufficiently well trained for a resort of this caliber. Service was slow at the front desk, in the bar, and in the restaurant. The food at the restaurant was mediocre at best. The villas — while beautifully appointed — did not function well: misaligned doors throughout, insufficient outside lighting, inconsistent lighting controls, water temps that were tepid at maximum, poorly designed door locks, incomprehensible phone system, etc. The property also lacks signage throughout. At night, especially, it was difficult to find or follow paths to the villas without lighting or signs. This is dangerous in a location where we were warned at check-in about crocodiles at night! Using the offered golf cart transport to the villas at night is a must until proper signage and lighting are installed.

Compared to the other hotels we stayed at in Sri Lanka, Water Garden Sigiriya was the only disappointment. When I return to Sigiriya, I will chose a different hotel.","It’s a good thing you’re pretty…","2023-07","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g304141-d10416524-r904029556-Water_Garden_Sigiriya-Sigiriya_Central_Province.html",
,"0","903066108",,"en","10416524",,"General Manager","904121347","en","2023-07-19","David de SIlva","Dear Mr Michael Williams, 

First and foremost, I would like to express my sincere gratitude for choosing to stay at Water Garden Sigiriya. We value all feedback from our guests as it allows us to continuously improve and provide exceptional experiences.

We are disappointed to hear that the service fell short of your expectations with certain aspects of your recent stay and it deeply concerns us that our service was not perceived as matching your expectations. We would like to clarify that we take great pride in our consistent efforts to maintain high standards and live up to not only our past but also the very recent glowing accolades and top rating which we have been enjoying to date. However, opinions do tend to vary from one customer to another.  

To clarify;

With regard to your comparison to other hotels, we understand that individual preferences can vary. We pride ourselves on offering a unique and exceptional experience for our guests, and while we acknowledge that other properties in Sri Lanka may offer different price points, it is essential to remember that each establishment has its own distinct offerings and ambiance.

I was alerted to the incident with regard to your dinner on the first night and although I tried to meet you the next day, it seems that you were out on safari the entire day and came late to the hotel. Regarding the issue with the spice level of the devilled Beef ordered by you and the hot butter Cuttlefish ordered by your wife, based on my instructions the Restaurant Manager offered to replace the dishes with spicier versions to your liking. However, we did respect your decision to decline our replacement offer and we also decided to waive off the 2 dishes in question as you both had expressed dissatisfaction. Unfortunately as requested by you, we saw no reason to waive off the charges of all the other 7 main courses consumed by the rest of your party as none of them had expressed dissatisfaction either during or after the meal. 

I personally find the comparison with the hilarious 1970s British Sitcom ""Fawlty Towers,"" a rather biased  exaggeration and am truly saddened that you think so. We take immense pride in our professional and dedicated staff who consistently aim to provide the highest level of service. All our reviews on Tripadvisor, both past and recent will validate the fact that we have consistently been number One in the region.

We genuinely regret that your stay with us did not meet your expectations. Please be assured that we take all feedback seriously, and we are continually working to enhance our services and facilities to create exceptional experiences for all our guests. I normally would not go to such detail in responding but since the intention is to alert fellow travelers, I thought I should address all points so as not to mislead.

As you mentioned to me upon departure, two members of your group have expressed reviews of a similar nature and we anticipate that the remainder to follow will be of a similar nature. I will respond to them all as appropriate.

Thank you again for sharing your thoughts with us. 
Yours sincerely

David de Silva
General Manager
Water Garden Sigiriya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indigaswewa, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"Indigaswewa",,"10416524","7.992871","Sigiriya, Central Province","80.745834","Water Garden Sigiriya","1176","4.9","4","3","16","75","1078","https://www.tripadvisor.com/Hotel_Review-g304141-d10416524-Reviews-Water_Garden_Sigiriya-Sigiriya_Central_Province.html","http://www.watergardensigiriya.com","2023-07-14","OTHER","3",,"Value","2","Location","4","Service","2",,,,,,,"Most overrated underwhelming overpriced hotel we stayed at on this trip compared to Uga Chena huts, Uga Bay and Thotalagala! Beautiful property but the service was somewhat missing the mark at this price point. Would highly recommend staying elsewhere like Aliya for instance for a faction of the price! This property conitues to rely on it's past accolades and top rating (sometimes you can have a bad day). Faulty towers comes to mind and the GM was not interested in any of our complaints merely dismissing them with reasoning as to why we were out of line again Basil Fawlty comes to mind.  Never again! I will leave it to others from my group to post their own thoughts..","Best 3 star hotel in Sigiriya!","2023-07","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g304141-d10416524-r903066108-Water_Garden_Sigiriya-Sigiriya_Central_Province.html",
,"0","902362683",,"en","10416524",,"General Manager","904149810","en","2023-07-19","David de SIlva","Hello Katherine, 

 Thank you for taking the time to share your feedback regarding your recent stay with us. We were delighted to hear that you enjoyed the lovely location and the beautiful grounds of our property. I understand that you are one of the guests who was travelling with Mr Michael Williams.

First and foremost, we want to express our sincere apologies for any inconveniences or disappointments you encountered during your time at our hotel. Your stated experiences certainly do not reflect the level of service and quality we strive to provide to all our valued guests hence kindly permit me to clarify;

Regarding the dinner experience, we regret if you found the service slow and the food not to your taste.  We understand that you did not express your dissatisfaction during the dinner meal, and we apologize for any missed opportunities to rectify the situation promptly. Your valuable feedback will be shared with our culinary team to ensure that all guests' dietary preferences are catered to effectively.

As for the issues with the hot water supply in your villa, there was large tree branch obstructing the solar panels and this has now been rectified. The electric geyzer was switched on at the time of complaint to ensure a steady flow of hot water which I am sure you would have enjoyed uninterruptedly.
 
Regarding the lack of signage to the villas, we apologize for any confusion you experienced. We do provide golf buggies that are available 24/7 as was communicate during the check in process. I understand that your driver had dropped off all 10 of you near the villas upon your return to the hotel and not at the main entrance where all the buggies are on standby. We will reinforce this communication to all guests and drivers in future.
 
Regarding the handling of complaints, I regret if any explanation/clarification on my part was perceived as defensive. It definitely was not my intention. However, I do apologize for not waiving off the main course charge of the entire group as we saw no valid reason to do so. Our intention is always to resolve guest concerns promptly and professionally, and we apologize if we were misunderstood. 

Katherine, in conclusion, we deeply regret that your experience at our hotel was not up to par with your expectations and we do appreciate your candid feedback. 

Once again, thank you for sharing your feedback. We value your patronage and hope that you will give us another opportunity to provide you with the true five-star experience we are known for.

Warmest regards,

David de Silva
General Manager 
Water Garden Sigiriya
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indigaswewa, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"Indigaswewa",,"10416524","7.992871","Sigiriya, Central Province","80.745834","Water Garden Sigiriya","1176","4.9","4","3","16","75","1078","https://www.tripadvisor.com/Hotel_Review-g304141-d10416524-Reviews-Water_Garden_Sigiriya-Sigiriya_Central_Province.html","http://www.watergardensigiriya.com","2023-07-11","MOBILE","3",,,,,,,,,,,,,,"The location was lovely and the grounds were beautiful. But the service and food did not live up to a five star experience. Our dinner was slow to arrive and bland and boring, so much so that we ate elsewhere the following night. The rooms were lovely and well appointed but again little niggles everywhere like none of the doors closed properly and shower water was only lukewarm. And weirdly and really annoying was the lack of signage to rooms.  You had to walk down a path to each bungalow before you could work out which one it was,  it wouldn’t have been hard to put a number on the main path. So basically just irritating. And complaints were dealt with very defensively with no apology and disputed at every turn. The complaint about the food was dismissed on the basis that we finished nearly all of it. The fact that it was late and we were starving was why we’d eaten it","Lovely location but disappointing service","2023-07","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g304141-d10416524-r902362683-Water_Garden_Sigiriya-Sigiriya_Central_Province.html",
,"0","836095093",,"en","10416524",,"General Manager","836753010","en","2022-05-01","Suraj Perera","Dear Duranh2015,
Thank you for the positive comments on your recent review. Happy to read the good comments on the style and condition of the villas. being a tropical country and having lots of small lakes nearby small frogs tend to get in sometimes if the doors are kept open. Thank you for describing us as one of the best resorts you have been to ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indigaswewa, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"Indigaswewa",,"10416524","7.992871","Sigiriya, Central Province","80.745834","Water Garden Sigiriya","1176","4.9","4","3","16","75","1078","https://www.tripadvisor.com/Hotel_Review-g304141-d10416524-Reviews-Water_Garden_Sigiriya-Sigiriya_Central_Province.html","http://www.watergardensigiriya.com","2022-04-25","MOBILE","3",,,,,,,,,,,,,,"What a breathtaking place amazing views and location. Rooms are all in excellent condition clean and modern. Only issue is the bugs and insects in around the rooms due to the location of resort. If your happy with little lizards and frogs coming out from the bath and on your walls then this place i can say one of the best resorts ive been to.","Mr D","2022-04","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304141-d10416524-r836095093-Water_Garden_Sigiriya-Sigiriya_Central_Province.html",
,"1","641415755",,"en","10416524",,"General Manager","642131013","en","2018-12-28","Ghazzali M","Thank you for your review & feedback, we are glad that some aspects of your stay were to your satisfaction & we are looking in to your comments on aspects which were not.

Thank you for choosing to stay with us.","2048","366405079","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d6/e5/d7/photo0jpg.jpg","2048","2048","366405080","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d6/e5/d8/photo1jpg.jpg","2048","2048","366405081","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d6/e5/d9/photo2jpg.jpg","2048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indigaswewa, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"Indigaswewa",,"10416524","7.992871","Sigiriya, Central Province","80.745834","Water Garden Sigiriya","1176","4.9","4","3","16","75","1078","https://www.tripadvisor.com/Hotel_Review-g304141-d10416524-Reviews-Water_Garden_Sigiriya-Sigiriya_Central_Province.html","http://www.watergardensigiriya.com","2018-12-25","MOBILE","3",,,,,,,,,,,,,,"Very friendly staff. Beautiful view of The Rock (when not covered in cloud). Rooms are fantastic. Restaurant was nice setting but was average food. And WiFi was in and out if needed (our kids were a bit frustrated in the evenings).  Right near paddy fields so a bit nervous about mosquitoes but was okay. Gorgeous peacocks all over. Recommended. ","Beautiful rooms. Average food. Expensive. ","2018-12","NONE","https://www.tripadvisor.com/ShowUserReviews-g304141-d10416524-r641415755-Water_Garden_Sigiriya-Sigiriya_Central_Province.html",
,"3","570037814",,"en","10416524",,"General Manager","572060349","en","2018-04-08","Ghazzali M","Thank you for having stayed with us & we are glad that you enjoyed your stay when you were with us last August which this review relates to. 

On the other aspects commented on in the review we wish to clarify for reasons of clarity. 

All Villas have two sets of slippers, one is a disposable bio-degradable fabric slipper for use indoors & the other a rubber flip flop for use outdoors which is not disposable, this is sanitised & placed after use. 
Replacing the rubber flip flops after every use will not be an environmentally responsible practice. However if a request had been made for a new pair we would have gladly obliged. 
We do not place worn out old slippers under any circumstances. 

On the laundry bag what we have is a durable cotton fabric bag with our logo which is laundered & reused, here again as an environmental best practice we do not use plastic disposable bags. 
The probable reason for the comment could be the fact that an offer of a different bag to take away your dirty laundry on you departure was made by our staff in a polite manner. 

We do regret the incident where the security at the gate had questioned you on the bikes which were being carried away in your vehicle as he had wanted to verify that they were not bikes that belonged to the resort. 
The security was merely doing his duty and had been very polite about the matter. You would probably recall that the General Manager who was there at that time had apologised profusely & we apologise once more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indigaswewa, Sigiriya 21120 Sri Lanka","Sigiriya","Sri Lanka","21120",,"Indigaswewa",,"10416524","7.992871","Sigiriya, Central Province","80.745834","Water Garden Sigiriya","1176","4.9","4","3","16","75","1078","https://www.tripadvisor.com/Hotel_Review-g304141-d10416524-Reviews-Water_Garden_Sigiriya-Sigiriya_Central_Province.html","http://www.watergardensigiriya.com","2018-04-01","OTHER","3","Beautiful place if there is water","Rooms","5","Location","5","Service","5",,,,,,,"I enjoyed both my stays here but the place is struggling.  It gives you worn out old slippers used by other guests, and the front desk will tell you that they do not want you to take the cheap laundry bag with your dirty laundry.  And, the security at the gate will want to check all your things very rudely at the gate.","Enjoyed my stay here, but the place is struggling","2017-08","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g304141-d10416524-r570037814-Water_Garden_Sigiriya-Sigiriya_Central_Province.html",
