"error","helpfulVotes","id","input","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
,"0","991525500",,"en","7595081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yala National Park Buffer Zone off of Katagamuwa Road, Kataragama 91400 Sri Lanka","Kataragama","Sri Lanka","91400",,"Yala National Park Buffer Zone off of Katagamuwa Road",,"7595081","6.409744","Kataragama, Uva Province","81.35887","Camp Leopard - Yala Safari Glamping","207","4.9","0","1","3","12","191","https://www.tripadvisor.com/Hotel_Review-g1188994-d7595081-Reviews-Camp_Leopard_Yala_Safari_Glamping-Kataragama_Uva_Province.html","https://www.campleopard.com/","2025-01-29","OTHER","3",,"Value","2","Rooms","3","Location","2","Cleanliness","4","Service","5","Sleep Quality","3","this was a good but also a bit mixed experience. we stayed two nights and did three safaris with them. The safaris wer all great, thanks to the fab guide and the good driver. When something went wrong (my partner got stung by a hornet on one of the drives) they helped immediately. And the food in the camp was really good.  

On the down side: the tents are not (as we expected) the wilderness but on the outskirts of town. Civilization in the form of club music could be heard well into the night - not a true wilderness experience as we had at other places outside Sri Lanka. Also, the accomodation is a bit worn and used - the tents could do with a renovation, the mosquito nets at the windows are torn, it is impossible to get natural light into the tent during daytime. All in all, at well over 1200 USD for two nights/two days we would have expected more.","mixed experience","2025-01","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g1188994-d7595081-r991525500-Camp_Leopard_Yala_Safari_Glamping-Kataragama_Uva_Province.html",
,"1","743422214",,"en","7595081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yala National Park Buffer Zone off of Katagamuwa Road, Kataragama 91400 Sri Lanka","Kataragama","Sri Lanka","91400",,"Yala National Park Buffer Zone off of Katagamuwa Road",,"7595081","6.409744","Kataragama, Uva Province","81.35887","Camp Leopard - Yala Safari Glamping","207","4.9","0","1","3","12","191","https://www.tripadvisor.com/Hotel_Review-g1188994-d7595081-Reviews-Camp_Leopard_Yala_Safari_Glamping-Kataragama_Uva_Province.html","https://www.campleopard.com/","2020-02-06","OTHER","3",,,,,,,,,,,,,,"The area was nice and quiet. The spare bed was extremely uncomfortable. The safari included was not at all worth the price as we were told it would be a half day and in total we drove 2 hours and then stopped for a sandwich and drove out of the park.","Disappointed","2020-01","NONE","https://www.tripadvisor.com/ShowUserReviews-g1188994-d7595081-r743422214-Camp_Leopard_Yala_Safari_Glamping-Kataragama_Uva_Province.html",
,"2","649488437",,"en","7595081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yala National Park Buffer Zone off of Katagamuwa Road, Kataragama 91400 Sri Lanka","Kataragama","Sri Lanka","91400",,"Yala National Park Buffer Zone off of Katagamuwa Road",,"7595081","6.409744","Kataragama, Uva Province","81.35887","Camp Leopard - Yala Safari Glamping","207","4.9","0","1","3","12","191","https://www.tripadvisor.com/Hotel_Review-g1188994-d7595081-Reviews-Camp_Leopard_Yala_Safari_Glamping-Kataragama_Uva_Province.html","https://www.campleopard.com/","2019-02-01","OTHER","3",,,,,,,,,,,,,,"Game drives were great and the guide and driver were very skilled and tracked down a leopard when all other vehicles just drove by. They looked for spoor and went over and over the same area until they spotted it.!Staff at the camp were very responsive and are clearly trying their best but the camp lacks a little professionalism.Beer is free but no wine or other drinks are available. They should be at a camp of this level.We were told we would get brunch after our game drive but only an early lunch was offered. The next morning we wanted breakfast at 0800 but were told we could only have it at 0830. When it was served it was cold fried eggs!Dining room and dinner seating was picnic tables with attached benches which were uncomfortable.Toilet in our tent did not refill and they blamed it on the hard water but all it needed was anew mechanism that would have solved it for a few $. Even if it needed replacing every few months it would be a small cost to pay to avoid this irritation.Shower was hot and great! WIFI was good and fast!","Some highs and some lows.","2019-01","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g1188994-d7595081-r649488437-Camp_Leopard_Yala_Safari_Glamping-Kataragama_Uva_Province.html",
"No reviews found for the provided location. Check whether the location has any reviews.",,,"https://www.tripadvisor.com/Hotel_Review-g612380-d15344173-Reviews-Ayurvie_Weligama_Thema_Collection-Weligama_Matara_Southern_Province.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No 212 Sangananda Mawatha Weligama, Matara 81700 Sri Lanka","Weligama","Sri Lanka","81700",,"No 212 Sangananda Mawatha","Weligama","15344173","5.958978","Weligama, Matara, Southern Province","80.41363","Ayurvie, Weligama - Thema Collection","149","4.9","2","0","2","7","138","https://www.tripadvisor.com/Hotel_Review-g612380-d15344173-Reviews-Ayurvie_Weligama_Thema_Collection-Weligama_Matara_Southern_Province.html","https://www.themacollection.com/ayurvie-weligama",,,,,,,,,,,,,,,,,,,,,,
,"0","1010952153",,"en","456049",,"General Manager","1011012975","en","2025-06-03","Cinnamon Lakeside Colombo","Dear Guest,

Thank you for sharing your feedback, and we sincerely apologize for the frustration and inconvenience you experienced. This situation is certainly not reflective of the high standards we aim to maintain. We have already addressed the issue with Mr. Deen and are taking steps to ensure better communication and accountability moving forward. We truly appreciate your understanding and hope to have the opportunity to restore your confidence in our service.

Warm Regards,
The Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115 Sir Chittampalam A Gardiner Mawatha, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"115 Sir Chittampalam A Gardiner Mawatha",,"456049","6.929096","Colombo, Western Province","79.84964","Cinnamon Lakeside Colombo","8558","4.7","118","122","295","1113","6911","https://www.tripadvisor.com/Hotel_Review-g293962-d456049-Reviews-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html","http://www.cinnamonlakeside.com","2025-06-03","OTHER","3",,,,,,,,,,,,,,"Extremely disappointed with the experience we had with the Manager at Long Feng, Mr.Deen and feel the need to bring this to the attention of both the hotel and other guests.
When we called to make the reservation, we clearly asked Mr. Deen (the manager at Long Feng) several times whether our vouchers and promotions would be valid for the “All You Can Eat Dim Sum.” He confirmed multiple times over the phone that they were valid. Based on his confirmation we proceeded to make our reservation and visit the restaurant.
However, after our meal, we were informed that the vouchers were in fact not applicable. This directly contradicts everything Mr. Deen told us earlier. This is not just a simple mistake — it’s a complete failure in communication and accountability on the part of someone who is supposed to be in a position of responsibility. If he wasn’t 100% sure, the bare minimum he should have done was to double-check before giving us a definite answer. Instead, he gave us false information with complete confidence, which led to an embarrassing and frustrating situation for us as customers.
Frankly, it’s unacceptable for a manager at a five-star hotel to behave in such an incompetent and careless manner. Guests rely on your managers to provide correct details about promotions etc. 
I sincerely hope you take this seriously and ensure that issues like this are addressed — both in terms of accountability for Mr. Deen’s actions, and making sure such miscommunication doesn’t happen to other guests. This kind of service is simply not acceptable from a hotel of your reputation.","Misinformation from Long Feng manager Mr.Deen","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d456049-r1010952153-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html",
,"0","1007506942",,"en","456049",,"General Manager","1007645826","en","2025-05-14","Cinnamon Lakeside Colombo","Dear Ronin,

Thank you for sharing your feedback.

We sincerely apologize for the oversight regarding the airport drop service not being reflected in your bill at checkout. We understand how this may have caused inconvenience, and we appreciate you bringing it to our attention.

Your comment highlights an area where we need to improve, and we are actively working on streamlining our internal processes to ensure all services are accurately tracked and billed.

Thank you once again for your valuable feedback. We hope to have the opportunity to serve you better in the future.

Warm regards,
The Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115 Sir Chittampalam A Gardiner Mawatha, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"115 Sir Chittampalam A Gardiner Mawatha",,"456049","6.929096","Colombo, Western Province","79.84964","Cinnamon Lakeside Colombo","8558","4.7","118","122","295","1113","6911","https://www.tripadvisor.com/Hotel_Review-g293962-d456049-Reviews-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html","http://www.cinnamonlakeside.com","2025-05-13","OTHER","3",,"Value","3","Rooms","3","Location","4","Cleanliness","3","Service","4","Sleep Quality","3","Processes at teh hotel needs to be streamlined.  I booked a car for airport drop, but at checkout, this was not reflected in bill.","The worst hotel exprience I had.","2025-05","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g293962-d456049-r1007506942-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html",
,"0","1003517989",,"en","456049",,"General Manager","1004094068","en","2025-04-24","Cinnamon Lakeside Colombo"," Dear Kylie, 
Greetings from Cinnamon Lakeside Colombo! 
Thank you for sharing your feedback with us. Please accept our sincerest apologies for the inconvenience you experienced during your stay. This is not the level of service we strive to provide, and we are addressing these matters with our team to ensure improvements. The issues mentioned will surely be escalated to the relevant departments. Your satisfaction is important to us, and we truly hope to have the opportunity to make it right in the future. 
Warm regards, 
The Management.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115 Sir Chittampalam A Gardiner Mawatha, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"115 Sir Chittampalam A Gardiner Mawatha",,"456049","6.929096","Colombo, Western Province","79.84964","Cinnamon Lakeside Colombo","8558","4.7","118","122","295","1113","6911","https://www.tripadvisor.com/Hotel_Review-g293962-d456049-Reviews-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html","http://www.cinnamonlakeside.com","2025-04-20","MOBILE","3",,,,,,,,,,,,,,"Our stay at Cinnamon Lakeside was very average. Service and food was excellent. However, the rooms are tired. One of ours smelled of cigarette smoke.  The mini bar wasn’t stocked nor cold. There was no hair dryer or plug suitable for a hair dryer or straightener in the bathroom. We had an early
morning flight. The entire family had a terrible night’s sleep due to a loud wedding downstairs with live music that  played well past midnight. We would not choose this hotel again.","Very average experience.","2025-04","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d456049-r1003517989-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html",
,"0","1001650951",,"en","456049",,"General Manager","1001889771","en","2025-04-10","Cinnamon Lakeside Colombo","Dear Guest, 
Greetings from Cinnamon Lakeside Colombo! 
Thank you for sharing your feedback with us. Please accept our sincerest apologies for the inconvenience you experienced during your stay. This is not the level of service we strive to provide, and we are addressing these matters with our team to ensure improvements. 
The issues mentioned will surely be escalated to the relevant departments. Your satisfaction is important to us, and we truly hope to have the opportunity to make it right in the future. 
Warm regards, 
The Management.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115 Sir Chittampalam A Gardiner Mawatha, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"115 Sir Chittampalam A Gardiner Mawatha",,"456049","6.929096","Colombo, Western Province","79.84964","Cinnamon Lakeside Colombo","8558","4.7","118","122","295","1113","6911","https://www.tripadvisor.com/Hotel_Review-g293962-d456049-Reviews-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html","http://www.cinnamonlakeside.com","2025-04-08","OTHER","3",,"Value","4","Rooms","3","Location","4","Cleanliness","4","Service","3","Sleep Quality","4","The rooms are decent for the price. Some of the staff needs to be trained on how to be friendlier. No one offered to help with the luggage when I checked in, or even guide me to my room. It's a huge hotel and took me a while to find my room initially. The checkin experience was the most underwhelming one I have had and I have had a fair history of travelling across Asia and Europe. Also, the staff at the restaurant needs to be trained on when NOT to remove the food from the table! I stayed only for a day, and had only one breakfast at the hotel. My food (a lot of it I still hadn't started eating fully) was on the table and I stepped away for probably 2 minutes to grab a glass of water. When I came back, all the food had been removed! When I asked the staff why they removed mostly untouched food in such a short time, they were clueless and didn't bother to help. Again, no one bothered to ask what I was eating and if they should get me the food again. Food is an important aspect when travelling on a hectic schedule and even though they had a great variety of food, the whole experience was marred because of the restaurant staff. I found the staff in general to be unwilling to help or go the extra mile to make guests feel welcome. The rooms are fine for the price and the location is great too. ","Good hotel, but staff is unfriendly and not helpful","2025-04","NONE","https://www.tripadvisor.com/ShowUserReviews-g293962-d456049-r1001650951-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html",
,"1","999413011",,"en","456049",,"General Manager","1000086052","en","2025-03-27","Cinnamon Lakeside Colombo","Dear Guest, 
Greetings from Cinnamon Lakeside Colombo! 
Thank you for sharing your feedback with us. Please accept our sincerest apologies for the inconvenience you experienced during your stay. This is not the level of service we strive to provide, and we are addressing these matters with our team to ensure improvements. 
The issues mentioned will surely be escalated to the relevant departments. Your satisfaction is important to us, and we truly hope to have the opportunity to make it right in the future. 
Warm regards, 
The Management.
","1280","795720250","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/6d/ba/3a/caption.jpg","960","1280","795720193","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/6d/ba/01/caption.jpg","960","1280","795720150","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/6d/b9/d6/caption.jpg","960","960","795720063","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/6d/b9/7f/caption.jpg","1280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115 Sir Chittampalam A Gardiner Mawatha, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"115 Sir Chittampalam A Gardiner Mawatha",,"456049","6.929096","Colombo, Western Province","79.84964","Cinnamon Lakeside Colombo","8558","4.7","118","122","295","1113","6911","https://www.tripadvisor.com/Hotel_Review-g293962-d456049-Reviews-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html","http://www.cinnamonlakeside.com","2025-03-24","OTHER","3",,"Value","3","Rooms","3","Location","5","Cleanliness","4","Service","2","Sleep Quality","4","My wife, my 4-year-old daughter Sophia, and I spent three nights at this very large hotel. Due to some flight issues, we arrived around 2 a.m. and, even though the hotel was very busy, they gave us an early check-in, perhaps because of Sophia, though we had to pay for a full extra night without breakfast (100 USD); We are grateful for this, though.
The hotel’s location is excellent, and the pool and lake next to it were great. Our room (250) had a street view, which wasn’t bad. The room had a bathtub, and they provided one 1.5-liter bottle of drinking water daily, along with Nescafe, tea, sugar, and a special sweetener for diabetics, all for free. The safe in our room was broken, and while they offered to replace it, we preferred to have it fixed after we left.
The hotel was very busy, with large groups of tourists constantly entering and leaving the lobby, which was always crowded. The breakfast area was also very crowded, and we had to wait for a table to free up. The privacy for families wasn’t well-maintained, and there wasn’t enough tranquility. The variety of breakfast options was acceptable, though. It seemed that the hotel staff, due to the high number of guests, were exhausted, and their interactions felt more formal than friendly.
Overall, the hotel didn’t seem very family- or child-friendly. I wouldn’t recommend this hotel for those traveling without tour groups who are looking for a calm environment for family and child-friendly relaxation.","Disappointing 😞","2025-03","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d456049-r999413011-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html",
,"0","998653112",,"en","456049",,"General Manager","998760340","en","2025-03-19","Cinnamon Lakeside Colombo","Dear Marisa,

Thank you so much for your review.
We will surely bring up the experience you had to the relevant departments in order to improve on the guest experience in future.

While thanking you for your patronage We look forward to the pleasure of welcoming you back to Cinnamon Lakeside.
Warm regards,
Cinnamon Lakeside Management.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115 Sir Chittampalam A Gardiner Mawatha, Colombo 00200 Sri Lanka","Colombo","Sri Lanka","00200",,"115 Sir Chittampalam A Gardiner Mawatha",,"456049","6.929096","Colombo, Western Province","79.84964","Cinnamon Lakeside Colombo","8558","4.7","118","122","295","1113","6911","https://www.tripadvisor.com/Hotel_Review-g293962-d456049-Reviews-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html","http://www.cinnamonlakeside.com","2025-03-18","MOBILE","3",,,,,,,,,,,,,,"I was expecting more from this standard of hotel.
The rooms had minimal storage, lots of shelves
Bathrooms, not a fan of having to step into a slippery bath to have a shower. There was no additional mats for the floor but did have a handle to hold getting in and out of the bath.
The towel are standard size towels not sheets 
Breakfast was good
Reception staff very helpful and assisted us with our hotel transfer 
Swimming was nice and good views of t to he lake","Expected more","2025-03","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g293962-d456049-r998653112-Cinnamon_Lakeside_Colombo-Colombo_Western_Province.html",
