"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","photos/23/height","photos/23/id","photos/23/image","photos/23/width","photos/24/height","photos/24/id","photos/24/image","photos/24/width","photos/25/height","photos/25/id","photos/25/image","photos/25/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","subratings/6/name","subratings/6/value","text","title","travelDate","tripType","url","user"
"0","1000105524","en","14902717",,"Guest Services / Front Office","1000216611","en","2025-03-28","CRM Hayleys Leisure","Dear JayneG196,

Thank you for sharing your feedback. We're glad you appreciated the beauty and history of the hotel. We sincerely apologize for the issues you faced during your stay, including the cold temperatures and service lapses. Your comments are invaluable, and we will address them with our team to ensure a better experience for future guests.

Warm regards,
Management – Boutique Collection by Amaya","2048","796266306","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/76/0f/42/caption.jpg","1536","2048","796266307","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/76/0f/43/caption.jpg","1536","2048","796266309","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/76/0f/45/caption.jpg","1536","2048","796266310","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/76/0f/46/caption.jpg","1536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shanthipuara Road, Nuwara Eliya 22200 Sri Lanka","Nuwara Eliya","Sri Lanka","22200",,"Shanthipuara Road",,"14902717","6.97626","Nuwara Eliya, Central Province","80.74759","Oliphant Boutique Villa By Amaya","226","4.9","0","1","3","14","208","https://www.tripadvisor.com/Hotel_Review-g608524-d14902717-Reviews-Oliphant_Boutique_Villa_By_Amaya-Nuwara_Eliya_Central_Province.html","https://www.boutiquecollectionbyamaya.com/oliphant/","2025-03-28","MOBILE","3",,,,,,,,,,,,,,,,"Beautiful hotel in tea plantation area. Everything about this place wreaked history, the building,its environment. However for us one night was enough and if we had to cut one location from our 3 week trip it would be this one. Monmouth time consuming journey for very little. Although beautiful it was cold, which we knew when we booked , but the hotel was freezing. For the only time in Sri Lanka we found the staff a little surly . In fact after our evening meal , which was ok not memorable, we went into the ‘lounge area’ to play cards. This was 8.30pm, unlit fire , no one came to offer drinks or a blanket , the staff walked straight passed us and at 9pm turned light of and disappeared, we had no choice but to go to bed at 9.20pm.","Beautiful but no","2025-03","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g608524-d14902717-r1000105524-Oliphant_Boutique_Villa_By_Amaya-Nuwara_Eliya_Central_Province.html",
"0","818556659","en","14902717",,"Other","818703759","en","2021-11-14","CRM The Kingsbury Hotel and Amaya Resorts and Spas","Dear Compass10974063152,

Ayubowan from Amaya Resorts and Spas!

Thank you very much for taking the time to share details of your stay. We regret that some aspects of your stay were not to your satisfaction and extend our sincere apologies for any inconvenience caused. Your comments have been shared with the relevant Managers who are looking into this. We are glad to note that most other aspects of your stay were to your satisfaction.

Thank you for your valued patronage. 

Warm Regards,

The Amaya Resorts Team","2048","560062869","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/61/e1/95/caption.jpg","1536","1536","560062868","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/61/e1/94/caption.jpg","2048","2048","560062867","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/61/e1/93/caption.jpg","1536","2048","560062866","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/61/e1/92/caption.jpg","1536","2048","560062864","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/61/e1/90/caption.jpg","1536","2048","560062865","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/61/e1/91/caption.jpg","1536","1536","560062863","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/61/e1/8f/caption.jpg","2048","2048","560062862","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/61/e1/8e/caption.jpg","1536","2048","560062861","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/61/e1/8d/caption.jpg","1536","2048","560062860","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/61/e1/8c/caption.jpg","1536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shanthipuara Road, Nuwara Eliya 22200 Sri Lanka","Nuwara Eliya","Sri Lanka","22200",,"Shanthipuara Road",,"14902717","6.97626","Nuwara Eliya, Central Province","80.74759","Oliphant Boutique Villa By Amaya","226","4.9","0","1","3","14","208","https://www.tripadvisor.com/Hotel_Review-g608524-d14902717-Reviews-Oliphant_Boutique_Villa_By_Amaya-Nuwara_Eliya_Central_Province.html","https://www.boutiquecollectionbyamaya.com/oliphant/","2021-11-13","MOBILE","3","Room 3 bathroom stinks without much ventilation",,,,,,,,,,,,,,,"A boutique villa suitable for a lunch date or overnight stay. Clean, warm and charming heritage place. The head supervisor Lakshman is an angel and is primarily responsible for all the good reviews of the place. He speaks multiple languages including Hindi and can try to adjust the meagre resources available at the isolated place to serve your needs.

 The location is far away at a hilltop with some steep bends and no street lights. The kitchen stocks up based on the guest and is a hit and miss experience. The toilets seems to be having trouble with plumbing and smell. This is a good place for a very short stay. More than that this get boring with lack of activities, remoteness, slow Internet and passable food. 

I would repeat the place only for a overnight stay and not more","Overnight Joy, More would be boring","2021-11","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g608524-d14902717-r818556659-Oliphant_Boutique_Villa_By_Amaya-Nuwara_Eliya_Central_Province.html",
"0","996079817","en","9055459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kotikambokka 91200 Sri Lanka","Kotikambokka","Sri Lanka","91200",,,,"9055459","6.754675","Kotikambokka, Uva Province","81.10473","Jetwing Kaduruketha","801","4.7","4","11","36","128","622","https://www.tripadvisor.com/Hotel_Review-g25335332-d9055459-Reviews-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html","http://www.jetwinghotels.com/jetwingkaduruketha/","2025-02-27","MOBILE","3","Be aware that water in your fridge is chargeable and is not complimentary!",,,,,,,,,,,,,,,"We arrived after dark due to a busy day and unfortunately although warmly welcomed, we were kept waiting for quite a long time for our room. 
The lodges are great with a camping feel and outdoor bathrooms. 
Dinner and breakfast were very good. 
Unfortunately there was a misunderstanding regarding a bottle of water that we had used which we had presumed was complimentary but was chargeable. The hotel made contact after we had left requesting payment. Their banking details did not match with our bank and so we paid at the next Jetwing hotel that we stayed in. A bit unnecessary for a bottle of water in our opinion but there you go. 
Would recommend making this clearer to guests. 
Would have been a higher score if not for this.","Unfortunate misunderstanding","2025-02","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g25335332-d9055459-r996079817-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html",
"1","944955886","en","9055459",,"General Manager","952092790","en","2024-05-23","Jetwing Hotels","Dear Guest,

Greetings from Jetwing Kaduruketha!

Thank you for sharing your feedback regarding your recent stay with us. We are pleased to hear that you found our staff friendly. It's also wonderful to know that you appreciated the lovely breakfast provided.
Thank you for your feedback. We regret any inconveniences you encountered during your stay, particularly with the accommodation and unfavourable weather. Please accept our sincere apologies for any discomfort caused by the condition of the netting and issues with insects. Being surrounded by acres of paddy fields, such incidents are sometimes inevitable. However, if this had been brought to our attention, our associates would have been happy to provide you with better netting. We hope to have the opportunity to serve you better in the future.
Your comments regarding the condition of the rooms have been duly noted, and we will address them promptly to ensure our guests' comfort and satisfaction.
Once again, we apologize for falling short of your expectations on this occasion. We hope to have the opportunity to welcome you back and provide you with a more comfortable experience that we are known for.

Ayubowan! (May you live long!)

Kelum Jayaweera,
Resident Manager
Jetwing Kaduruketha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kotikambokka 91200 Sri Lanka","Kotikambokka","Sri Lanka","91200",,,,"9055459","6.754675","Kotikambokka, Uva Province","81.10473","Jetwing Kaduruketha","801","4.7","4","11","36","128","622","https://www.tripadvisor.com/Hotel_Review-g25335332-d9055459-Reviews-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html","http://www.jetwinghotels.com/jetwingkaduruketha/","2024-04-02","MOBILE","3","No tv and little to do as quite remote from Ella.",,,,,,,,,,,,,,,"When we arrived at the hotel, we were met by friendly staff who showed us a video explaining the history of the site and support they gave to local farmers. The accommodation was in a wooden hut overlooking the paddy fields. The weather in the evening was not kind to us, we had torrential rain which meant it was too wet to walk over to the bar as there were no facilities close by. They do provide bikes but these were no good in heavy rain. The netting around the bed (which was to protect us against mosquitoes) had dead flies stuck in it and a large hole which meant we were batting off insects during the night. We did move rooms the next day but a hole in the netting gave us the same problem with the insects. Breakfast was lovely with friendly staff. 

I don’t think we would return as it was too far from Ella and we missed our creature comforts. They do need to invest in the bedrooms as they are looking tired.","Friendly Staff but needs updating!","2024-04","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g25335332-d9055459-r944955886-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html",
"1","932463179","en","9055459",,"General Manager","944133024","en","2024-03-27","Jetwing Hotels","Dear guest,

Greetings from all of us at Jetwing Kaduruketha!

Thank you for taking the time to share your detailed feedback about your recent stay at our hotel. We are pleased to hear that you appreciated the excellent service and the unique experiences we had to offer. We value your comments about our sustainability efforts and we will review our practices to ensure they align with our guests' expectations of luxury.

We apologize for any shortcomings you experienced during your stay. Your concerns about staff training and accommodation arrangements for drivers are also important to us, and we will address these areas for improvement. We appreciate your understanding and willingness to share your overall experience, despite the challenges you encountered.

Your feedback is invaluable to us as we strive to enhance our guests' experiences and provide the level of luxury and comfort expected. Thank you for choosing to stay with us, and we hope to have the opportunity to welcome you back in the future with an improved experience

Ayubowan! (May you live long!)

Kelum Jayaweera,
Resident Manager
Jetwing Kaduruketha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kotikambokka 91200 Sri Lanka","Kotikambokka","Sri Lanka","91200",,,,"9055459","6.754675","Kotikambokka, Uva Province","81.10473","Jetwing Kaduruketha","801","4.7","4","11","36","128","622","https://www.tripadvisor.com/Hotel_Review-g25335332-d9055459-Reviews-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html","http://www.jetwinghotels.com/jetwingkaduruketha/","2024-01-05","MOBILE","3",,,,,,,,,,,,,,,,"I have very mixed feelings about this hotel. The service is excellent and the concept of staying within the nature, among 40 acres of paddy fields, is great. We spent over 1 hour walking around the nature. Unfortunately, the price is steep (over 200 USD per night) and the hotel positions itself as a 5-star luxury resort, but it is far from the quality level you would expect from such price point.

The hotel brands itself as sustainable and eco-friendly and that seems to be a recurring theme to justify all sorts of cost savings and quality downgrades to guests. Some things like the absence of AC or re-use of slippers/shampoo bottles make sense, as it  saves a lot of energy/resources, but there are many other things where it just felt the hotel was trying to be cheap: rooms are not super clean, very low light, no sound isolation, not much hot water, dozens of bugs and spiders in the room because the houses are not well built, staff often getting a bit confused (though everyone is super nice and helpful) due to insufficient training.

Also note that the driver accommodation has over 15 people per room. So for a hotel that prides itself on providing good conditions for locals, I find that a bit disturbing. I'm not sure what the conditions for staff are, but I assume they are not much better.

We don't regret staying in the hotel as it was an interesting experience, but just don't come expecting true luxury","Good experience but not true luxury","2024-01","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g25335332-d9055459-r932463179-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html",
"0","906492939","en","9055459",,"General Manager","910410174","en","2023-08-14","Jetwing Hotels","Dear Guest,

Greetings from all of us at Jetwing Kaduruketha!

Thank you for sharing your feedback on your stay at Jetwing Kaduruketha.

While  we are glad to hear you enjoyed our hospitality, and the artisanal tea we offer, we apologize for any inconvenience caused to you. We understand that the cost of the slippers and shampoo bottles may have been a surprise to you. Please be assured that our sustainability policy of reusing the slippers is to reduce our carbon footprint and support the environment. This same information was shared in the room as well.

We ensure to offer our guests the best experience possible. We hope this experience does not limit you from visiting us again, and we hope to have the pleasure of seeing you again to experience the warm, Jetwing hospitality we are known for. Your satisfaction is our priority. 

Once again, thank you for choosing us and sharing your thoughts.

Ayubowan! (May you live long!)

Kelum Jayaweera,

Resident Manager
Jetwing Kaduruketha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kotikambokka 91200 Sri Lanka","Kotikambokka","Sri Lanka","91200",,,,"9055459","6.754675","Kotikambokka, Uva Province","81.10473","Jetwing Kaduruketha","801","4.7","4","11","36","128","622","https://www.tripadvisor.com/Hotel_Review-g25335332-d9055459-Reviews-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html","http://www.jetwinghotels.com/jetwingkaduruketha/","2023-07-29","OTHER","3",,,,,,,,,,,,,,,,"All services really good, property is fantastic. And we loved the food. The artesan tea was over the moon.

However at the time of departure, staff insisted to pay for the slippers stating the hotel re-uses them and further said hotel even charge for the shampoo bottles if the guests take them out, we felt very embarrassed and thought it was disgusting.

Instead hotel would have costed them for the rates and allowed the guests to take the slippers out if at all a guest wanted to take it.","Our bad experience","2023-07","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g25335332-d9055459-r906492939-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html",
"0","828403076","en","9055459",,"General Manager","829225730","en","2022-02-25","Jetwing Hotels","Dear Guest,

Thank you for sharing your experience on TripAdvisor following your stay with us. Please accept our most sincere apologies for not having met your expectations with regards to the food.

I have already discussed with the chef & team with regards to the taste & quality of the food served and corrective action has been taken to ensure we offer authentic Sri Lankan cusine.

Once again, we thank you for your constructive comments. My team and I hope to have the pleasure of welcoming you back to Jetwing Kaduruketha, in the near future.

Ayubowan! (May you live long!)

Kelum Jayaweera
Resident Manager

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kotikambokka 91200 Sri Lanka","Kotikambokka","Sri Lanka","91200",,,,"9055459","6.754675","Kotikambokka, Uva Province","81.10473","Jetwing Kaduruketha","801","4.7","4","11","36","128","622","https://www.tripadvisor.com/Hotel_Review-g25335332-d9055459-Reviews-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html","http://www.jetwinghotels.com/jetwingkaduruketha/","2022-02-17","OTHER","3",,"Value","3","Rooms","5","Service","3",,,,,,,,,"I used to love this place. I still like the place, but the quality has gone down. 

The welcome was nice, check-in was quick and easy. Love the paddy field facing chalets, it was the uttermost serenity. 

We used to love their food, but this time it was disappointing. It was not tasty, below-average level food. As they are famous for the authentic Sri Lankan stuff, and from our past experience, we had high hopes. 
Too bad!","Chef has changed for sure","2022-02","NONE","https://www.tripadvisor.com/ShowUserReviews-g25335332-d9055459-r828403076-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html",
"0","819356097","en","9055459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kotikambokka 91200 Sri Lanka","Kotikambokka","Sri Lanka","91200",,,,"9055459","6.754675","Kotikambokka, Uva Province","81.10473","Jetwing Kaduruketha","801","4.7","4","11","36","128","622","https://www.tripadvisor.com/Hotel_Review-g25335332-d9055459-Reviews-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html","http://www.jetwinghotels.com/jetwingkaduruketha/","2021-11-19","OTHER","3",,"Location","5","Service","3","Sleep Quality","4",,,,,,,,,"Arrived in the afternoon after a long drive, but there was no drinking water in the room. Had to call and get a couple of bottles. 
The room was full of cob webs, when you lay on the bed you could see a lot of cobwebs and dust on the roof. 
Dust and stains behind the blinds.
Overall cleanliness in room is poor.
Three pathway lights next to the room were not working, which we found difficult during night time.
Garden outside the chalet can be cleaned better. Grass was overgrown.  
Food was good, quality of desserts need to improve - too much of gelatin.
Biggest plus point is the friendly and attentive staff at the restaurant and bar.    
Amazing property that has a lot of potential.","Beautiful Location, Wonderful staff, But long way more to go .......","2021-11","NONE","https://www.tripadvisor.com/ShowUserReviews-g25335332-d9055459-r819356097-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html",
"0","720222679","en","9055459",,"General Manager","720895060","en","2019-10-24","Jetwing H","Dear Guest,

Thank you for taking the time to share your experience on TripAdvisor, following your stay with us. We regret to not have been able to fulfill your expectations. 

Please accept our most sincere apologies for the inconveniences caused during your stay with us. Since our hotel is located at the foothills of the Poonagala mountains, our rooms have been designed to capture the natural breeze. The concept of the hotel is to be in with nature and to give our guests a true Sri Lankan village experience, thus, the rooms do not have a television. However, It is great to hear that you enjoyed the delicious food prepared by our team of talented chefs. 

Thank you for bringing your concerns up to our attention. We appreciate your feedback and we wish you all the best on your future travels. 

Ayubowan! (May you live long)

Naminda Rathnayake
General Manager","3264","432305011","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/c4/73/73/jetwing-kaduruketha.jpg","2448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kotikambokka 91200 Sri Lanka","Kotikambokka","Sri Lanka","91200",,,,"9055459","6.754675","Kotikambokka, Uva Province","81.10473","Jetwing Kaduruketha","801","4.7","4","11","36","128","622","https://www.tripadvisor.com/Hotel_Review-g25335332-d9055459-Reviews-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html","http://www.jetwinghotels.com/jetwingkaduruketha/","2019-10-21","OTHER","3",,,,,,,,,,,,,,,,"Room without Ac and Tv . Room phone didn’t work at 23.00 pm . Toilet door doest work properly.we took dinner   And very delicious but could not find the room as it is too dark . No any instructions how to find rooms . Toilet is poor  not nice. Matras is comfortable but bed is horrible,red color  . Architecture is poor. No iron .","No Tv no Ac","2019-10","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g25335332-d9055459-r720222679-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html",
"1","650946224","en","9055459",,"General Manager","651368195","en","2019-02-10","Jetwing H","Dear Guest,

Thank you for taking the time to write about your experience on TripAdvisor following your stay with us. We greatly appreciate you bringing these issues up to our attention as guest feedback is highly valued at Jetwing hotels. 

It is truly disheartening to read that your stay with us was not in par with your expectations and we sincerely apologize for all the inconveniences caused. 

The layout and design of the guest rooms are inspired by the architecture of traditional village homes in Sri Lanka, with modern equipment to make the guests' stay comfortable. We have both indoor and outdoor bathrooms and we do understand your concerns with regards to the flooding of the outdoor bathroom during the rain. However, please do know that our butlers are always on standby to clean and makeup your rooms at any given time. 

However, we are glad that you liked the food and appreciated the attentive services of our staff. 

Once again, please do accept our most sincere apologies and we do hope that you will visit us again despite your less than perfect stay. 

Ayubowan! (May you live long)

Naminda Rathnayake
General Manager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kotikambokka 91200 Sri Lanka","Kotikambokka","Sri Lanka","91200",,,,"9055459","6.754675","Kotikambokka, Uva Province","81.10473","Jetwing Kaduruketha","801","4.7","4","11","36","128","622","https://www.tripadvisor.com/Hotel_Review-g25335332-d9055459-Reviews-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html","http://www.jetwinghotels.com/jetwingkaduruketha/","2019-02-08","MOBILE","3",,,,,,,,,,,,,,,,"We stayed at Jetwing as a family and facilities offered are not on par with a normal 5 star stay. 
The architecture of the rooms doesn’t cater for weather conditions at all. It was a rainy day and our bathroom was flooded. It was a massive health and safety hazard as anyone could slip and fall and injure themselves. There were no room ammenities to make it a five star hotel. 
Food was good. And staff were very friendly. 
But beyond that for over $480 a night, it’s really don’t give you the 5 star experience you pay for.","Too expensive for 4 star stay","2018-12","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g25335332-d9055459-r650946224-Jetwing_Kaduruketha-Kotikambokka_Uva_Province.html",
