"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
"1","992702543","de","24014431",,"Owner","992979344","en","2025-02-10","Hotel MaRadha","Dear Guest,

Thank you for your feedback regarding your recent stay at MaRadha Colombo. We are glad to hear that you found our location convenient, with its proximity to the Marine Drive and the train line, and that you enjoyed the sea view from your room on the 4th floor. We appreciate your positive comments about our hotel's modern design and the open roof terrace with its stunning sunset views.

We apologize for the noise issue you experienced due to the lack of soundproofing in the room doors. We understand that this may have affected your sleep and overall satisfaction with your stay. We will take your feedback into consideration as we continuously strive to improve our guests' experience.

Thank you again for your feedback, and we hope to have the opportunity to welcome you back to MaRadha Colombo in the future.

Sincerely,
MaRadha Colombo Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31, St. Kilda's Lane, Marine Drive, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"31, St. Kilda's Lane, Marine Drive",,"24014431","6.895742","Colombo, Western Province","79.852585","MaRadha Colombo","171","4.9","1","1","3","12","154","https://www.tripadvisor.com/Hotel_Review-g293962-d24014431-Reviews-MaRadha_Colombo-Colombo_Western_Province.html","http://maradha.lk","2025-02-08","OTHER","3",,"Value","3","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","2","Direkt am Meer gelegen (dazwischen noch der Marine Drive und die Zugslinie Colombo-Galle, welche beide aber nicht stören), Blick auf das Meer toll, unbedingt einen frontalen sea-view room im 4ten Stock buchen. Hotel neu und modern, Bad eher klein.
Top die offene Dachterrasse mit Blick auf den Sonnenuntergang im Meer, der Pool auf der Terrasse ist sehr klein und nur zum Plantschen geeignet.
Fazit: moderate Preise für das Zimmer wie Drinks/Food, einzig besteht eine unschöne Lärmsituation, da die Zimmertüren nicht schalldicht sind, so dass jedes Wort auf dem Gang zu verstehen ist, nichts somit für Frühschläfer, aus diesem Grund nur eine befriedigende Bewertung.","neues & modernes Hotel am Meer","2025-02","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g293962-d24014431-r992702543-MaRadha_Colombo-Colombo_Western_Province.html",
"0","934954387","en","24014431",,"Owner","934965869","en","2024-01-21","Hotel MaRadha"," Dear Guest, we would like to express our gratitude for sharing your feedback with us. We sincerely apologize for the challenges you faced with communication and the breakfast options during your stay. Your comments are important to us, and we are committed to addressing these issues to improve our services. We hope to have the opportunity to welcome you back and provide you with an enhanced experience in the future.

Warm regards,
Hotel MaRadha Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31, St. Kilda's Lane, Marine Drive, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"31, St. Kilda's Lane, Marine Drive",,"24014431","6.895742","Colombo, Western Province","79.852585","MaRadha Colombo","171","4.9","1","1","3","12","154","https://www.tripadvisor.com/Hotel_Review-g293962-d24014431-Reviews-MaRadha_Colombo-Colombo_Western_Province.html","http://maradha.lk","2024-01-21","OTHER","3","Staff was often confused by simple communication which made the stay a little exhausting. Consistent breakfast would be great.","Value","3","Location","5","Service","2",,,,,,,"Over all a good hotel with a great location but the communication with the staff was very difficult and there were many misunderstandings. The breakfast was also different each day and mostly sri lankan breakfast with very little sweet options.","Good but difficult communication","2024-01","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d24014431-r934954387-MaRadha_Colombo-Colombo_Western_Province.html",
"0","881306932","en","24014431",,"Owner","881408973","en","2023-03-07"," ","Dear Guest,
Thanks a lot for taking time to review our restaurant. Thanks for your comments about the atmosphere, welcoming staff, great F & B services, waitress and the pricing & portion. Sorry about the chair that was taken by another guest. We will look at the oil issues. We are changing oil every 6 hours and something must have went wrong some where we will definitely rectify this issue. Thanks for visiting our restaurant. Thanks again.
Regards,
Hotel MaRadha Team ","1200","677824274","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/66/c7/12/hotel-maradha-colombo.jpg","1600","1200","677824272","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/66/c7/10/hotel-maradha-colombo.jpg","1600","1600","677824269","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/66/c7/0d/hotel-maradha-colombo.jpg","1200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31, St. Kilda's Lane, Marine Drive, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"31, St. Kilda's Lane, Marine Drive",,"24014431","6.895742","Colombo, Western Province","79.852585","MaRadha Colombo","171","4.9","1","1","3","12","154","https://www.tripadvisor.com/Hotel_Review-g293962-d24014431-Reviews-MaRadha_Colombo-Colombo_Western_Province.html","http://maradha.lk","2023-03-07","OTHER","3",,"Value","4","Cleanliness","4","Service","5",,,,,,,"We went to Maradha on 2nd March. Atmosphere was good. Welcome was great. F&B service was perfect (sp the Tamil waitress). F&B prices are very reasonable & portion was good too.  

However,
1. At the deck 1 chair was less as it has been taken by the other table guests and there were no extra chairs. So we had to get down and go to a different table
2. The oil which was used to cook the french fires were definitely old and it taste very odd. This was communicated to the F&B staff.
3. The cuttle fish had the same issue with the oil and on top of it they had the string which usually need to be removed and had to struggle with it when we need to cut it to small pieces.

Unfortunately will not be a stop by as I had a bad stomachache next day.","Food Quality Needs to be improved a lot","2023-03","NONE","https://www.tripadvisor.com/ShowUserReviews-g293962-d24014431-r881306932-MaRadha_Colombo-Colombo_Western_Province.html",
"0","987598756","en","6921675",,"General Manager","988009585","en","2025-01-06","Nuwan Wijerathne","Dear Guest,

Thank you for taking the time to share your feedback with us. We are pleased to hear that you enjoyed the stunning location, the cleanliness of the hotel, and the comfort of your room. We also appreciate your comments on the pool, although we acknowledge that it is on the smaller side, and we strive to provide a tranquil setting for our guests.

However, we are truly sorry to learn about your experience with the food during your stay. We take guest feedback on food quality very seriously, and we regret that the buffet and à la carte meals did not meet your expectations. We apologize for any inconvenience caused, particularly regarding the temperature and preparation of some dishes. We have already shared your comments with our culinary team to review and improve our food offerings.

Additionally, we are concerned to hear about the tummy upset that some members of your group experienced. Please rest assured that we follow strict food safety protocols, but we will certainly review our food handling and preparation processes to ensure that such incidents do not happen again in the future.

We value your feedback as it helps us continue to enhance our guest experience, and we hope to have the opportunity to welcome you back for a more enjoyable stay. Thank you once again for bringing these points to our attention.

Warm regards,  
Nuwan Wijerathne  
Resident Manager  
EKHO Lake House Polonnaruwa  ","1200","779871633","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/7b/e5/91/caption.jpg","1600","1280","779871634","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/7b/e5/92/caption.jpg","960","1280","779871635","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/7b/e5/93/caption.jpg","960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pothgul Mawatha, Polonnaruwa 51000 Sri Lanka","Polonnaruwa","Sri Lanka","51000",,"Pothgul Mawatha",,"6921675","7.942686","Polonnaruwa, North Central Province","80.997116","Ekho Lake House","365","4.7","9","7","7","34","308","https://www.tripadvisor.com/Hotel_Review-g304140-d6921675-Reviews-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html","http://www.ekhohotels.com/ekholakehouse/","2025-01-03","MOBILE","3",,,,,,,,,,,,,,"The location is stunning and the rooms are very nice and clean. The pool is small.
However, the food is sub par and overpriced.
Three people in our group caught a tummy upset on the day we left. We felt they had cooked excessive food on the first day on the buffet. Some of this was re served again for breafast. 

Alcarte food was luke warm and some of the dishes over cooked especiallythe tuna.

Good hotel with room for improvement especially with the food.","Stunning location clean hotel but food needs to improve.","2025-01","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304140-d6921675-r987598756-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html",
"0","983385730","en","6921675",,"General Manager","988008963","en","2025-01-06","Nuwan Wijerathne","Dear Guest,

Thank you for sharing your feedback regarding your recent visit to EKHO Lake House Polonnaruwa. While we’re delighted to hear that you enjoyed the serene lakeside seating and some aspects of your order, we sincerely regret the shortcomings you experienced.

Your comments regarding the vegetarian kebabs are concerning, and I deeply apologize for the lack of understanding and the unsatisfactory preparation. This does not reflect the high standards we strive to maintain. I will personally address this with our culinary team to ensure proper training and attention to detail moving forward.

Additionally, I understand the inconvenience caused by the mosquitoes during your outdoor experience. We take your suggestion of providing mosquito repellent incense sticks seriously and will implement measures to make our guests more comfortable while enjoying the beautiful surroundings.

Your feedback is invaluable to us, and we thank you for bringing these issues to our attention. I hope you will consider giving us another opportunity to provide you with a more enjoyable and seamless experience in the future.

Warm regards,
Nuwan Wijerathne
Resident Manager, EKHO Lake House Polonnaruwa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pothgul Mawatha, Polonnaruwa 51000 Sri Lanka","Polonnaruwa","Sri Lanka","51000",,"Pothgul Mawatha",,"6921675","7.942686","Polonnaruwa, North Central Province","80.997116","Ekho Lake House","365","4.7","9","7","7","34","308","https://www.tripadvisor.com/Hotel_Review-g304140-d6921675-Reviews-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html","http://www.ekhohotels.com/ekholakehouse/","2024-12-06","MOBILE","3","Don't expect a great service for the price being charged. 
Carry your own mosquito repellent if planning on hanging out for long.",,,,,,,,,,,,,"I visited to chill in the evening and have dinner. The seating outside beside the lake is perfect to have an evening tea/coffee or a drink. 
My order:
Pinacolada - good
Fried Cashew - good
Vegetarian kebabs - I was served grilled vegetables with yellow rice. The chef and others had no clue what kebabs are really. 
However I bit into what was served only to find both were completely bland, without salt. Sent back to rectify, still was the worst grilled veggies I've had.

Management must make provisions for mosquito repellent incense sticks at least for customers to be able to sit outside for a prolonged time. I had to  hurry through my one drink because of the mosquitoes. ","Site is good but needs lot of improvement ","2024-12","SOLO","https://www.tripadvisor.com/ShowUserReviews-g304140-d6921675-r983385730-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html",
"0","983352571","en","6921675",,"General Manager","988008905","en","2025-01-06","Nuwan Wijerathne","Dear Guest,

Thank you for taking the time to share your feedback about your recent stay at EKHO Lake House Polonnaruwa. We deeply regret that we fell short of your expectations and are sincerely sorry for the issues you experienced during your visit.

Your comments regarding the leaking basin, shower drainage, intermittent Wi-Fi, and the size of the pool compared to the photos have been noted, and we will address these concerns with our team immediately to ensure they are rectified. We also regret that our service and amenities, including the availability of chilled beer and the pricing of food and beverages, did not meet your expectations.

We strive to offer a premium experience to all our guests, and it is clear that we have room to improve in several areas. Your feedback is invaluable in helping us enhance the quality of our services and facilities.

We hope you will consider giving us another opportunity in the future to provide you with the exceptional experience we are known for. Please feel free to contact me directly if you decide to return, as I would personally ensure your stay is a memorable and seamless one.

Warm regards,
Nuwan Wijerathne
Resident Manager, EKHO Lake House Polonnaruwa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pothgul Mawatha, Polonnaruwa 51000 Sri Lanka","Polonnaruwa","Sri Lanka","51000",,"Pothgul Mawatha",,"6921675","7.942686","Polonnaruwa, North Central Province","80.997116","Ekho Lake House","365","4.7","9","7","7","34","308","https://www.tripadvisor.com/Hotel_Review-g304140-d6921675-Reviews-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html","http://www.ekhohotels.com/ekholakehouse/","2024-12-06","OTHER","3",,,,,,,,,,,,,,"Having read so many great reviews, I was disappointed with this hotel. True, the location is lovely and our room was nice but there were a few problems - a leaking basin, a shower plug that over flowed, wifi that kept cutting out, a much tinier pool than it appeared in the photos, not great service, no chilled beer, very expensive food and drink. Taking all of these things into consideration,  I feel it was over-priced and not worth the money, especially compared to other places I have stayed in Sri Lanka. Disappointing.","Overpriced","2024-12","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304140-d6921675-r983352571-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html",
"2","746084357","en","6921675",,"EKHO Lake House Team","746466630","en","2020-02-21","ECOMDM","Dear Milko,

Thank you very much for your rating and review. We appreciate you taking the time to highlight your experience at the property.

We are glad to hear that you had an enjoyable stay EKHO Lake House.

Our mother language being different, sometimes it could be challenging to communicate fluently for some of our team members. However, we will take necessary measures to improve language skills of our team.

Should your travels bring you back to Polonnaruwa, please do let us know and our team will be delighted to welcome you back. 

Warm Regards,
EKHO Hotels & Resorts Team
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pothgul Mawatha, Polonnaruwa 51000 Sri Lanka","Polonnaruwa","Sri Lanka","51000",,"Pothgul Mawatha",,"6921675","7.942686","Polonnaruwa, North Central Province","80.997116","Ekho Lake House","365","4.7","9","7","7","34","308","https://www.tripadvisor.com/Hotel_Review-g304140-d6921675-Reviews-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html","http://www.ekhohotels.com/ekholakehouse/","2020-02-19","OTHER","3",,,,,,,,,,,,,,"The hotel is situated brilliantly on the lakeshore, rooms are a bit aged only the carpet needs some cleaning. Breakfast is really good. The staff is very friendly, is willing to help but has really difficulties in understanding ones requests. Unfortunately, the problem is on two levels: language skills need to improve substantially, especially at the front desk. Furthermore, staff is sometimes not capable to understand the question.","Nice hotel, staff needs some training","2020-02","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304140-d6921675-r746084357-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html",
"0","616108432","en","6921675",,"General Manager","978194495","en","2024-10-31","Nuwan Wijerathne","Thank you for sharing your detailed feedback about your recent stay. I'm glad to hear that you loved the stunning location and had an amazing experience watching elephants while enjoying the lap pool. It sounds like a truly unique atmosphere!

I apologize for the inconveniences you faced with the room and the bugs. Your concerns regarding the cleanliness and value for money are noted, and we always appreciate feedback as it helps us improve our offerings. It’s great to hear that one of our staff members made a positive impact on your stay; we strive for excellent service and will make sure to recognize him.

Regarding the restaurant pricing, we understand that it may not align with local options, and we appreciate your understanding of the wait time. It’s wonderful to hear you enjoyed the food, especially the Sri Lankan breakfast!

Thank you again for your insights, and we hope to have the opportunity to provide you with a more enjoyable experience in the future. Safe travels!","2048","345736303","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/9b/84/6f/photo1jpg.jpg","2048","2048","345736302","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/9b/84/6e/photo0jpg.jpg","2048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pothgul Mawatha, Polonnaruwa 51000 Sri Lanka","Polonnaruwa","Sri Lanka","51000",,"Pothgul Mawatha",,"6921675","7.942686","Polonnaruwa, North Central Province","80.997116","Ekho Lake House","365","4.7","9","7","7","34","308","https://www.tripadvisor.com/Hotel_Review-g304140-d6921675-Reviews-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html","http://www.ekhohotels.com/ekholakehouse/","2018-09-12","MOBILE","3",,,,,,,,,,,,,,"Is average considering pricing, we were initially shown to king room which looked nicer but needed twin so were moved to room with much better view but is not what I expected for $200 a night. I did find a flea on my bed but think it was just a random as bedding was generally clean. Lots of bugs do get in room and there are no mosquito nets. Has been a bit disappointing as this was us spending it up for some luxury but the $50-$70 per night home stays and villas we have stayed at previously have been much nicer. 

On the positive side, the location is stunning and taking a dip in the lap pool while watching elephants on the distant plains is an amazing experience. One of the staff members here has made the stay a much better experience, unfortunately I didn’t get his name but he was just lovely and always more than happy to help. 

The restaurant is expensive in comparison to local eating places - 2 beers cost the same as our entire dinner the previous night at Jago. However the food is delicious, I had the veggie cakes and my cousin had the curry special (which was enough for two) both delicious but was a very long wait between ordering and food arriving. Breakfast was also delicious - the Sri Lankan brekkie defiantly beats the western breakfast. ","Beautiful location but disappointing for cost. ","2018-09","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g304140-d6921675-r616108432-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html",
"1","455889557","en","6921675",,"Front Office Manager","469977434","en","2017-03-24","Lilan J","Dear guest,

please be kind enough to note that Lake house - polonnaruwa was not operational in the given period of time and we were shocked to see the review published.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pothgul Mawatha, Polonnaruwa 51000 Sri Lanka","Polonnaruwa","Sri Lanka","51000",,"Pothgul Mawatha",,"6921675","7.942686","Polonnaruwa, North Central Province","80.997116","Ekho Lake House","365","4.7","9","7","7","34","308","https://www.tripadvisor.com/Hotel_Review-g304140-d6921675-Reviews-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html","http://www.ekhohotels.com/ekholakehouse/","2017-01-30","OTHER","3",,"Location","5","Cleanliness","5","Service","2",,,,,,,"Positives: Great location, nice rooms, good pool and deck.  We watched an elephant trudge from the far shore of the lake to within 10 metres of the deck.
Negatives: Wifi was dreadful, as was the bar and food service - forgotten orders, mixed up bills.","Good and Bad","2017-01","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304140-d6921675-r455889557-Ekho_Lake_House-Polonnaruwa_North_Central_Province.html",
"0","1004486799","en","28052030",,"General Manager","1004639654","en","2025-04-27","Anandasivam Sivapriyan","Dear Valued Guest,

Thank you for sharing your feedback with us. Your input is highly valued and plays a vital role in helping us enhance our services and facilities.
We sincerely apologize for any inconvenience you encountered during your stay. We are currently in the process of introducing new facilities designed to elevate the guest experience, which we believe will set a new benchmark for resorts in Trincomalee. Please rest assured, we are working diligently to maintain our high standards during this short-term development phase, which is scheduled for completion by the end of this month.
We regret that Trincomalee did not meet your expectations. While we understand that experiences can vary and are often subjective, Trincomalee typically offers a wide array of attractions, including serene beaches, unforgettable snorkeling and diving adventures, and the rare opportunity for whale and dolphin watching. The area also boasts a rich history and vibrant cultural heritage that has been cherished by visitors for decades.
Thank you once again for your honest review. We truly hope to welcome you back in the future to experience the improvements firsthand

Warm Regards, 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84, Nilaveli Road 3rd Mile Post, Trincomalee, Trincomalee 31000 Sri Lanka","Trincomalee","Sri Lanka","31000",,"84, Nilaveli Road","3rd Mile Post, Trincomalee","28052030","8.600311","Trincomalee, Eastern Province","81.21787","Uppuveli Beach By Dsk","109","4.8","1","1","2","8","97","https://www.tripadvisor.com/Hotel_Review-g424963-d28052030-Reviews-Uppuveli_Beach_By_Dsk-Trincomalee_Eastern_Province.html","http://www.uppuvelibeach.com","2025-04-26","OTHER","3","Don't bother with Trincomalee","Value","3","Rooms","4","Location","3","Cleanliness","5","Service","5","Sleep Quality","5","This will be a lovely resort but it is not finished and Trincomalee is very forgettable and not worth the hours in a car or more on the train.
The management tried hard to make up for the fact many room plunge pools are nowhere near finished.  The work area is screened off with blue tarps and they try hard to keep workers and truck deliveries away from guests but lights are bright and on until 11pm each night and they toil away from very early until very late.
The food in the beachfront coffee shop was fine, the main restaurant looked yet to open for all but breakfast.  It is indoors but the AC was never turned on and breakfast was forgettable.
We would not recommend Trincomalee in the Sri Lankan island lap.","Not finished but open","2025-04","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g424963-d28052030-r1004486799-Uppuveli_Beach_By_Dsk-Trincomalee_Eastern_Province.html",
