"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","photos/23/height","photos/23/id","photos/23/image","photos/23/width","photos/24/height","photos/24/id","photos/24/image","photos/24/width","photos/25/height","photos/25/id","photos/25/image","photos/25/width","photos/26/height","photos/26/id","photos/26/image","photos/26/width","photos/27/height","photos/27/id","photos/27/image","photos/27/width","photos/28/height","photos/28/id","photos/28/image","photos/28/width","photos/29/height","photos/29/id","photos/29/image","photos/29/width","photos/30/height","photos/30/id","photos/30/image","photos/30/width","photos/31/height","photos/31/id","photos/31/image","photos/31/width","photos/32/height","photos/32/id","photos/32/image","photos/32/width","photos/33/height","photos/33/id","photos/33/image","photos/33/width","photos/34/height","photos/34/id","photos/34/image","photos/34/width","photos/35/height","photos/35/id","photos/35/image","photos/35/width","photos/36/height","photos/36/id","photos/36/image","photos/36/width","photos/37/height","photos/37/id","photos/37/image","photos/37/width","photos/38/height","photos/38/id","photos/38/image","photos/38/width","photos/39/height","photos/39/id","photos/39/image","photos/39/width","photos/40/height","photos/40/id","photos/40/image","photos/40/width","photos/41/height","photos/41/id","photos/41/image","photos/41/width","photos/42/height","photos/42/id","photos/42/image","photos/42/width","photos/43/height","photos/43/id","photos/43/image","photos/43/width","photos/44/height","photos/44/id","photos/44/image","photos/44/width","photos/45/height","photos/45/id","photos/45/image","photos/45/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
"0","988164338","fr","14267789",,"Guest Services / Front Office","990755579","en","2025-01-27","Aarunya Front Office","Dear Ms. Caroline,

Thank you for taking the time to share your feedback with us. We sincerely apologize that your experience did not meet your expectations. Your comments about the room and food have been noted, and we will be addressing these areas with our team to ensure improvements are made.

On a positive note, we are pleased to hear that you found our staff to be nice and helpful – they are truly committed to providing warm and attentive service to all our guests.

We deeply regret that we did not provide the level of excellence you anticipated, and we value your insights as they help us strive for better. If there is anything more specific you would like to share about your experience, please feel free to contact us directly.

We hope you’ll reconsider visiting us again in the future, as we would love the opportunity to provide you with a much-improved stay.

Warm regards,

Team Aarunya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 Malgamandeniya Road Alawatugoda, Kandy, Kandy 20140 Sri Lanka","Kandy","Sri Lanka","20140",,"100 Malgamandeniya Road","Alawatugoda, Kandy","14267789","7.408523","Kandy, Kandy District, Central Province","80.619225","Aarunya Nature Resort - Sri Lanka","274","4.8","7","1","6","14","246","https://www.tripadvisor.com/Hotel_Review-g304138-d14267789-Reviews-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html","http://www.aarunyaresort.com","2025-01-08","OTHER","3",,,,,,,,,,,,,,"Décevant. Les images semblent plus jolies qu’en vrai. Chambre et nourriture sont médiocres pour un hôtel cinq étoiles. Le personnel est gentil et serviable. Je pense que pour cet argent vous trouverez meilleur à cet endroit. Mais on n’y ira pas une deuxième fois.","Un peu décevant","2025-01","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304138-d14267789-r988164338-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html",
"0","978735830","de","14267789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 Malgamandeniya Road Alawatugoda, Kandy, Kandy 20140 Sri Lanka","Kandy","Sri Lanka","20140",,"100 Malgamandeniya Road","Alawatugoda, Kandy","14267789","7.408523","Kandy, Kandy District, Central Province","80.619225","Aarunya Nature Resort - Sri Lanka","274","4.8","7","1","6","14","246","https://www.tripadvisor.com/Hotel_Review-g304138-d14267789-Reviews-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html","http://www.aarunyaresort.com","2024-11-04","MOBILE","3",,,,,,,,,,,,,,"An das Aarunya hatten wir mit die größten Erwartungen auf unserer Reise, allerdings war dieses Hotel die größte Enttäuschung.

Wir verbrachten Ende Oktober 4 Nächte in der Sky-Tented Villa. Die Aussicht des Zimmers war unglaublich, das Zimmer entspricht allerdings keinesfalls einem 5-Sterne Hotel. 
Die Ausstattung ist eher durchschnittlich, wenn nicht sogar unterdurchschnittlich und die Klimaanlage hat zeitweise nicht gekühlt. 
Das Badezimmer, insbesondere das Klo waren abgenutzt. 

Eine der größten Enttäuschungen für uns waren allerdings der Service und das Essen. 
Uns wurde bei Ankunft ein persönlicher Butler zugeteilt, welcher allerdings ab dem zweiten Tag frei hatte und nicht mehr zur Verfügung stand. Der angeblich Ersatz reagierte auf unsere Bestellungen erst nach Stunden. 
Das Essen an sich war eher schlecht. Die warmen Speisen waren meist versalzen, in Hähnchen Gerichten musste man aufpassen das viel Knorpel und Knochen enthalten war. Das anschließend bestellte Dessert war Tiefkühl und nicht vollständig aufgetaut.
Auch beim Frühstück gab es Tiefkühlkost - so kam es vor, dass die Muffins die uns serviert wurden noch gefroren waren in der Mitte. Brot und Croissants wirkten oft alt und trocken. 

Uns wurde ein Spa Treatment geschenkt auf Grund des langen Aufenthaltes. Ein wirkliches Spa feeling kam hier in diesem Resort allerdings nicht auf. Das Spa war ein „Raum“ mitten im Freien, die Geräuschkulisse war störend. Von Sägen bis Musik von Nachbarn war alles dabei.

Das Personal sprach teilweise nur schlecht Englisch sodass die Kommunikation manchmal etwas schwierig war. Jedoch waren alle Mitarbeiter immer sehr bemüht uns jeden Wunsch zu erfüllen, nur ist dies leider nicht immer.

Wir würden dieses Hotel insgesamt nicht weiterempfehlen- zumindest nicht für diesen Preis. 
Zudem ist Lage nicht vorteilhaft wenn man Kandy sehen möchte.","Aussicht top, der Rest FLOP","2024-10","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g304138-d14267789-r978735830-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html",
"0","930325496","en","14267789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 Malgamandeniya Road Alawatugoda, Kandy, Kandy 20140 Sri Lanka","Kandy","Sri Lanka","20140",,"100 Malgamandeniya Road","Alawatugoda, Kandy","14267789","7.408523","Kandy, Kandy District, Central Province","80.619225","Aarunya Nature Resort - Sri Lanka","274","4.8","7","1","6","14","246","https://www.tripadvisor.com/Hotel_Review-g304138-d14267789-Reviews-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html","http://www.aarunyaresort.com","2023-12-19","OTHER","3",,"Value","3","Location","5","Service","4",,,,,,,"The location was perfect and the view is breathtaking and the staff were very nice and helpful,, food was nice but overpriced..the bad thing was that we had bed bugs in the spare bed they provided us and we wake up full of bites marks ","Nice location but bed bugs made it a horrible experience afterwards ","2023-12","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304138-d14267789-r930325496-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html",
"1","911924133","en","14267789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 Malgamandeniya Road Alawatugoda, Kandy, Kandy 20140 Sri Lanka","Kandy","Sri Lanka","20140",,"100 Malgamandeniya Road","Alawatugoda, Kandy","14267789","7.408523","Kandy, Kandy District, Central Province","80.619225","Aarunya Nature Resort - Sri Lanka","274","4.8","7","1","6","14","246","https://www.tripadvisor.com/Hotel_Review-g304138-d14267789-Reviews-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html","http://www.aarunyaresort.com","2023-08-21","OTHER","3",,"Value","3","Location","5","Service","3",,,,,,,"Goods stay like the view and location  enjoyed the jacuzzi small plunge pool 
Quality of the  Food is average  very less food options space less inconvenient car parking  resort has nothing to do if you improve those will come again ","Good","2023-08","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g304138-d14267789-r911924133-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html",
"0","826858825","en","14267789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 Malgamandeniya Road Alawatugoda, Kandy, Kandy 20140 Sri Lanka","Kandy","Sri Lanka","20140",,"100 Malgamandeniya Road","Alawatugoda, Kandy","14267789","7.408523","Kandy, Kandy District, Central Province","80.619225","Aarunya Nature Resort - Sri Lanka","274","4.8","7","1","6","14","246","https://www.tripadvisor.com/Hotel_Review-g304138-d14267789-Reviews-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html","http://www.aarunyaresort.com","2022-02-04","OTHER","3",,"Location","3","Cleanliness","5","Service","5",,,,,,,"This is my honest review.
This is not really a luxury hotel and definitely not a spa resort. It is really a collection of bedroom chalets in a very beautiful location with stunning views, if the weather allows. 
There is very little “spa” experience!  as they only have one member of staff who does the treatments. My husband and I could not ,for example , get a massage at the same time.
The massage room is located right next to a village house with a barking , whining dog , chopping and loud music , so it was not very relaxing. 

The location is not ideal for visiting Kandy . The trip into town took over 45 mins each way, so I would  suggest taking in the sights of Kandy before staying at the hotel. 

The food is good but not not amazing given the prices. I was charged 20 US for a large gin and tonic , which was served with a plastic bottle of very unpleasant  tonic.

The bedroom was very pleasant and had everything you need but I did not find the bed very comfortable . The bed creaked and the linen was an issue for me. We used the jacuzzi only once as you have to call the staff to get it working .

The main dining area is in the same space as the main Reception , the “bar” , the billiard table and everything else. So, on dining one night , a large van arrived with new arrivals right by our table and the driver left the engine running and the noise and the fumes was really in pleasant and disturbed the enjoyment of our meal.

The staff are really lovely and try their hardest but the resort??  ( I’m not sure what to call it ) is bit of a sham.  Go for the views and the lovely staff but for me, nothing else.","A big disappointment and not good value .","2022-01","NONE","https://www.tripadvisor.com/ShowUserReviews-g304138-d14267789-r826858825-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html",
"0","771425629","en","14267789",,"General Manager","771540926","en","2020-09-23","Alec van Cuylenburg","Dear Mr. Somasiri,

We are indeed surprised with this review. With the exception of an issue with hot water, owing to us utilising solar energy for this purpose, we are disappointed with the outcome of your stay. This too was rectified after switching to regular electricity. The comfort and satisfaction of all our guests is important, so despite the negative review we appreciate your feedback. 

On the issue of price, since you have mentioned it 2 times, please note that the price you paid is certainly not higher. While you stayed on a heavily discounted rate, it certainly has no bearing to the high levels of service or product offering we strive to maintain. This is aptly made clear by the positive reviews by hundreds of guests who we have had the privilege to host in the past. 

Note for future guests :

We do not serve buffet style meals, this is conveyed both at pre-booking as well as on arrival.
Lunch is traditional Sri Lankan or an alternate depending on guest movement.
Dinner is a 4 course international menu.
Breakfast is a choice of Sri Lankan or Western, which is a fantastic spread. We do not offer dessert at breakfast. Fresh fruit is however served. 

We are in the mountains, we are a nature resort, and our focus is on lessening the impact on our environment. Our villas all offer varied and individual views overlooking the mountains. We don't intend on cutting down any trees in the immediate future. 

I will be in touch with you direct.

Sincerely,

","3024","470650470","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/0d/8e/66/aarunya-nature-resort.jpg","4032","4032","470650463","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/0d/8e/5f/aarunya-nature-resort.jpg","3024","4032","470650455","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/0d/8e/57/aarunya-nature-resort.jpg","3024","4032","470650452","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/0d/8e/54/aarunya-nature-resort.jpg","3024","2160","470650449","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/0d/8e/51/aarunya-nature-resort.jpg","3248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 Malgamandeniya Road Alawatugoda, Kandy, Kandy 20140 Sri Lanka","Kandy","Sri Lanka","20140",,"100 Malgamandeniya Road","Alawatugoda, Kandy","14267789","7.408523","Kandy, Kandy District, Central Province","80.619225","Aarunya Nature Resort - Sri Lanka","274","4.8","7","1","6","14","246","https://www.tripadvisor.com/Hotel_Review-g304138-d14267789-Reviews-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html","http://www.aarunyaresort.com","2020-09-22","OTHER","3",,"Value","2","Location","4","Service","3",,,,,,,"We stayed at Aarunya during a weekend and the stay did not live up to our expectations. We got a warm welcome from the hotel staff and a quick check in to our room. After having a quick shower we went for lunch and asked for the menu but we were told that only chicken biriyani is available for lunch. We were told previously that they offer à la carte menu to choose from but NOPE. Good luck if you're a vegetarian and trying to have lunch at Aarunya. But the biriyani was nice, then again when you're paying a higher price, you need to have options to choose from. We stayed some time during the eve in the Jacuzzi which was the only luxurious thing that I can highlight during our stay, but being it an outdoor jacuzzi the magnificent view of the mountains were blocked by some trees in the garden. For dinner and for breakfast (no desserts were available for the breakfast) we had the à la carte menu (some satisfaction at least). The food is fine, but nothing really to highlight. The most frustrating thing was hot water was not available in the morning. At 7.00 am I called house keeping and informed, a person came and said he turned on the solar and in 5 min the hot water will be available. Waited 10 min, NOPE. Called again and another person came and said he routed the power back from generator and in 5 min it'll be available. Waited more than 15 min and no hot water and the water supply totally ran out, so no water at all. Called again and another new person came and did a fix saying they have two water lines and there is no water in the line routed to our room. Then it took another 10 min or so to get water back. So from 7.00 am to 8.00 am I was trying to wash myself. Such a disappointment. The staff was nice and have a nice view of the mountains for the main pool. But unfortunately it was a  average stay for a higher price.","Average Stay","2020-09","NONE","https://www.tripadvisor.com/ShowUserReviews-g304138-d14267789-r771425629-Aarunya_Nature_Resort_Sri_Lanka-Kandy_Kandy_District_Central_Province.html",
"2","418348188","en","9591203",,"Business Development & Marketing Manager","419358465","en","2016-09-16","TaruManagement","Dear Julie L,

Thank you for taking the time to review Taru Villas – Rampart Street. We truly value the opinions of all our guests.

Having gone through your review I would like to start off by thanking you for listing the positive aspects of your stay. 

However, we do apologize that your stay at ‘Taru Villas – Rampart Street’ fell short of expectation. We strive to maintain a high level of service at our property and apologize that we fell short in this regard during your stay. 

With regards to the issues you faced, please note that our building is over 200 years old and had no attached bathrooms renovations and refurbishment. Since the property is located in a heritage site (Galle Fort) we had to follow strict guidelines when carrying out the renovations and this was the only position, for the bathroom, which was permitted by the world heritage site council. As a result of this feedback however we will be looking into the possibility of attaching a screen-like feature for privacy, without impacting the view of the garden too much or the architecture. Thank you for this constructive criticism.

As far as the electricity problem, power surges are unfortunately common in the Galle Fort and there is a delay of approximately half a minute before our generator automatically switches on. We are fortunate to have room enough to house a generator, a rarity in many (small) Fort properties where space is limited, but we do understand this time lapse can be disturbing to our guests. We are sincerely sorry for this inconvenience and while we appreciate the feedback we cannot currently find a better solution for this issue.

It is unfortunate that you did not have the best experience at our property, however if you do come back to any of our properties I would love to have the opportunity to speak with you directly, so please ask for me.

I look forward to meeting you in the future and wish you the very best.

Best regards, 
Oshaan Weerasekera 
Business Development & Marketing Manager
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Rampart Street, Galle Fort, Galle, Galle 80000 Sri Lanka","Galle","Sri Lanka","80000",,"25 Rampart Street, Galle Fort, Galle",,"9591203","6.027481","Galle, Galle District, Southern Province","80.21519","Taru Villas Rampart Street - Galle Fort","139","4.9","1","0","2","7","130","https://www.tripadvisor.com/Hotel_Review-g297896-d9591203-Reviews-Taru_Villas_Rampart_Street_Galle_Fort-Galle_Galle_District_Southern_Province.html","https://www.taruvillas.com/rampartstreet-gallefort/","2016-09-14","OTHER","3","Do not chose room 2.","Value","3","Location","4","Service","5",,,,,,,"The hotel is just as it is pictured- well finished and classically decorated.  The service and staff were friendly and accommodating.  The daily breakfast was a highlight.  The Galle Forte is small enough that it is well situated in the forte.  

We opted for the Garden View room which is more expensive than the pool room.  Unfortunately the room information on bookings website failed to note that this particular room has the bathroom detached from the room itself.  You had to exit the room onto your balcony to access your private bathroom.  During the day your balcony was exposed to the back of the grounds so you had to make sure you were adequately dressed to move from your hotel room to your bathroom.  You had to bring clothes in to change from showering or dash through the balcony in your (small) towel.  Also this meant there was no air conditioning in the bathroom and there were always mosquitoes in there so we found at night we were getting bitten a lot.  Lastly, as another guest mentioned there were at least 2 power outages in the middle of the night and so fumbling outside and back inside with no lights was problematic.  We noticed this was the only room that had this ""feature"".  The other 3 rooms had the bathroom connected.  We would not have paid extra for this room had we known this was the case.  This impacted our overall stay which is unfortunate. 

If we could give 3.5 stars we would.  It's a shame because had we stayed in any other room we would have given this hotel a 5 star rating. Other than that the room was very nice, spacious and clean, with comfortable bed.","Loved the Hotel, Not our Room","2016-09","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297896-d9591203-r418348188-Taru_Villas_Rampart_Street_Galle_Fort-Galle_Galle_District_Southern_Province.html",
"0","376636100","en","9591203",,"Business Development & Marketing Manager","376996840","en","2016-05-27","TaruManagement","Dear Vignesh215, 
 
Thank you for taking the time to review Taru Villas – Lake Lodge. We truly value the opinions of all our guests.

We appreciate the positive comments you have made regarding our property & the meals you had during your stay. I will pass on these kind comments to our Chef and his staff.
 
We do apologize that your stay with us fell short of expectation.

I will pass on your comments, with regard to the service that you received, to our operations team who will in turn ensure that the necessary steps are taken to ensure that such incidents do not happen again.
At Taru Villas we strive to provide the best service and experience to all guests that stay with us, and when we receive constructive feedback (such as your review) we do our utmost to ensure that we identify and resolve any shortcomings on our end.

It is unfortunate that you did not have the best experience at our property, and we have taken note of all your comments in order to improve our services. If you do come back to any one of our properties I would love to have the opportunity to speak with directly, so please ask for me.
 
I look forward to meeting you in the future and wish you the very best.

Best Regards,
Oshaan Weerasekera
Business Development & Marketing Manager
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Rampart Street, Galle Fort, Galle, Galle 80000 Sri Lanka","Galle","Sri Lanka","80000",,"25 Rampart Street, Galle Fort, Galle",,"9591203","6.027481","Galle, Galle District, Southern Province","80.21519","Taru Villas Rampart Street - Galle Fort","139","4.9","1","0","2","7","130","https://www.tripadvisor.com/Hotel_Review-g297896-d9591203-Reviews-Taru_Villas_Rampart_Street_Galle_Fort-Galle_Galle_District_Southern_Province.html","https://www.taruvillas.com/rampartstreet-gallefort/","2016-05-25","OTHER","3",,"Rooms","4","Service","3","Sleep Quality","4",,,,,,,"my wife and I enjoyed our stay for two nights at Taru Villas. The service would definitely need improvement where for the price we are paying we would like to have better hospitality. The hard ware is really awesome. The lobby, the dining area, the lounge and the bedroom. But lacking in service to make us feel at home. Some of the boys were good and helpful. The weather for very bad and even when we came back all soaking wet I could see that the staff did not come to us to carry our things or offer us help. Breakfast is good. The dinner we had was also very good. we stayed in the room facing the sea. Room is nice and comfortable. The safe in the room is not safe at all as it can be carried out and moved. Aircond is not sufficient for such a large space. otherwise pretty comfortable.

nevertheless its an awesome property and we love the fine things that was used in the hotel decor. the lotus flowers in pots were amazing.","Outstanding Property - A really Beautiful Hotel","2016-05","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297896-d9591203-r376636100-Taru_Villas_Rampart_Street_Galle_Fort-Galle_Galle_District_Southern_Province.html",
"0","1016667283","en","306381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-07-05","OTHER","3",,"Value","4","Rooms","5","Location","5","Cleanliness","5","Service","4","Sleep Quality","5","Nice place, very busy on check in due to a large party checking in at the same time, looked a bit disorganised but thst is my opinion 
Room and room service lovely. Very clean, all water and tea bags replenished each morning.
 The bar in the evening was quiet but bar attender Jerashan and his colleagues were very attentive.
The food was great. A lovely stay all in all. Close to all important sightseeing places.
A tour was organised for me with a great driver who changed the programme according to me wishes. Thank you.","Great place","2025-07","SOLO","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r1016667283-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
"0","995238107","en","306381",,"General Manager","999866475","en","2025-03-26","Wasim Cader","Dear Guest,

Thank you for taking the time to share your feedback regarding your recent stay with us. We truly appreciate your insights as they help us improve our services and ensure a better experience for our guests.

I apologize for the check-in process not meeting your expectations, particularly regarding the lack of an escort to your room. While we aim to provide a warm and welcoming experience from the moment you arrive, I understand how it might have felt unusual to navigate on your own. We will certainly look into this matter to enhance our guest experience in the future.

I'm sorry to hear about the mix-up with your room type and the challenges you faced with the bed arrangement. It’s unfortunate that our staff member was unable to resolve this to your satisfaction. We will address this with our housekeeping team to ensure they are better equipped to handle such situations moving forward.

On a brighter note, I’m thrilled to hear that you enjoyed your dinner experience! Randil and the F&B team are indeed assets to our hotel, and I will make sure to pass along your kind words. It’s wonderful to know that his service made a positive impact on your stay.

We appreciate your understanding and patience, and we look forward to welcoming you back soon. Should you decide to visit us again, please do not hesitate to reach out so we can ensure your next stay is seamless and enjoyable.

Thank you once again for your feedback!

Regards,
Wasim Cader",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-02-24","OTHER","3",,,,,,,,,,,,,,"The check-in process was standard, but I was surprised that no one escorted us to the room. I had to ask for directions, and they simply pointed us to the lift, which felt unusual. The room itself was a bit dated but had the usual amenities.

We had booked a king bed but were given a twin bed room instead, as the hotel was fully booked. However, a housekeeping staff member attempted to adjust the beds by pushing them together. Unfortunately, he seemed inexperienced, as he was unable to properly fix the bed sheets and mentioned he hadn’t done this before, which wasn’t ideal.

On a positive note, the dinner experience was fantastic. The food was amazing, and I want to specially thank Randil and the entire F&B team for their excellent service. Randil was very accommodating and initially offered a complimentary meal for one adult, later realizing I was an in-house guest. His professionalism and warm service made the experience memorable.

Looking forward to returning soon. Thanks again, Randil!","Food & Beverages Team","2025-02","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r995238107-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
