"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
"0","927024250","en","1637352",,"Owner","927288751","en","2023-11-24","George Cooper","Dear Rashmi

I am sorry that you thought the pool very small. It is a plunge pool and that is what we state on our website etc, so we have never promised an Olympic sized pool!

You appeared from your room at midday asking for breakfast, whereas  in fact that was the time you were due to have checked out by. You were offered King coconut, which you declined. Meal times are clearly set out int the welcome letter in the rooms, and breakfast finishes at 10.30.

Like many other hotels in Sri Lanka, we do not offer driver's accommodation, and for some very good reasons. When you checked in, the Hotel manager gave you details of a guest house for your driver which is very close to the hotel, so I fail to see what the problem is. Maybe you were simply expecting us to provide free accommodation for your driver?

This is all very sad, considering the staff made a special effort for you dinner the night before for your anniversary, with a set up in the garden, flowers etc, none of which we charged for.  

Yours sincerely,

George Cooper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138 18 - 138/22 Galle Rd, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"138 18 - 138/22 Galle Rd",,"1637352","6.414413","Bentota, Galle District, Southern Province","79.99899","The Villa Bentota by KK Collection","737","4.6","17","11","23","130","556","https://www.tripadvisor.com/Hotel_Review-g297895-d1637352-Reviews-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html","https://www.kkcollection.com/","2023-11-23","OTHER","3","In suite rooms The pool is very very small . Not upto the mark","Value","2","Location","5","Service","2",,,,,,,"We had booked a suite room with a pool .. the pool is very very small . The room is big and good. The staff were friendly.  We missed Breakfast and requested if they could arrange any food they denied which is not so welcoming for any tourist.  Also there is no driver room which is very sad.. as drivers should stay far and tourist finds difficult to go out on time also . Few things if addressed then other things are OK ","Accommodation ","2023-11","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297895-d1637352-r927024250-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html",
"1","843064009","en","1637352",,"Owner","859500829","en","2022-09-10","George Cooper","Dear Devit,

I am sorry that you thought the food was so disappointing. Generally we get very good reviews for the food so this is bit of a mystery. I have spoken to our Executive Chef and he was perplexed by your comments as well. However we will try to ensure that this does not happen again.

Thank you for coming to The Villa, and again, I am sorry that you found the food not to your liking.

With best wishes,

George Cooper","1200","604214347","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/03/94/4b/the-villa-bentota-by.jpg","1600","1200","604214346","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/03/94/4a/the-villa-bentota-by.jpg","1600","1200","604214348","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/03/94/4c/the-villa-bentota-by.jpg","1600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138 18 - 138/22 Galle Rd, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"138 18 - 138/22 Galle Rd",,"1637352","6.414413","Bentota, Galle District, Southern Province","79.99899","The Villa Bentota by KK Collection","737","4.6","17","11","23","130","556","https://www.tripadvisor.com/Hotel_Review-g297895-d1637352-Reviews-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html","https://www.kkcollection.com/","2022-06-16","OTHER","3",,,,,,,,,,,,,,"Food was totally a mess . It wasn’t tasty at all . If you need a chef to cook such horrible or tasteless food , whats the point ? Lack of every tasty ingredients , I don’t know how people eat them , surely it was only few people were in restaurant explain the situation. we surely have enjoyed the way better taste from simple place than this.I’m not sure whether they have a good chef or not. if doesn’t have they need to recruit someone immediately because they need lots of improvements. apart from that other everything was good we had very good and quick check-in experience and gave a free upgrade to the suite Room we appreciate it .The room was lovely with a great view out to garden. Bar staff and restaurant staff were good.","Mixed Experience","2022-05","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g297895-d1637352-r843064009-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html",
"0","610474497","en","1637352",,"Asst. Front Office Manager","614558974","en","2018-09-07","Sudeva W","Dear Guest,

Thank you for reviewing Paradise Road The Villa Bentota.

It is quite unfortunate that your recent stay with us did not meet your expectations. We have well noted your detailed feedback about your experience at the Villa Bentota about our staff and service. While we assure you that our team is committed to ensure our guests are treated to a unique experience we shall further investigate your claims in order to understand and to take corrective measures if any so that similar situations do not occur. Thank you for your review.

Kind Regards,
The Management","2048","340960238","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/52/a3/ee/photo0jpg.jpg","2048","2048","340960239","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/52/a3/ef/photo1jpg.jpg","2048","2048","340960240","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/52/a3/f0/photo2jpg.jpg","2048","2048","340960241","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/52/a3/f1/photo3jpg.jpg","2048","2048","340960242","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/52/a3/f2/photo4jpg.jpg","2048","2048","340960243","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/52/a3/f3/photo5jpg.jpg","2048","2048","340960244","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/52/a3/f4/photo6jpg.jpg","2048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138 18 - 138/22 Galle Rd, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"138 18 - 138/22 Galle Rd",,"1637352","6.414413","Bentota, Galle District, Southern Province","79.99899","The Villa Bentota by KK Collection","737","4.6","17","11","23","130","556","https://www.tripadvisor.com/Hotel_Review-g297895-d1637352-Reviews-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html","https://www.kkcollection.com/","2018-08-26","MOBILE","3",,,,,,,,,,,,,,"I stayed there for my last 2 nights of my holiday and even though I was quite charmed by the premises and stylish decor, I was also very upset about the arrogance and ignorance from reception staff when I complained about my room which was so small, I could not fit in the door with my beach bag on my shoulder. There was no space to leave or put my suitcase as I didn’t want to unpack the huge suitcase for my last 2 days. No chair in the room, the table Next to the bed so small, I could not leave a book or anything there, phone and plugs so dirty, the bathroom also very run down and dirty. 
As a reply to my complaint, that the room is really a joke and not worth the money, I was offered to leave the hotel and find somewhere else to stay. Since I didn’t want to spend the last days searching the web or surroundings for alternative hotels and since I liked the decor and premises of the hotel, I asked for a free Upgrade... which of course was denied and again, the arrogance of the hotel manager was quite something, when he again offered me to happily leave the hotel. 
I didn’t want to spoil my last holiday days and stayed there in the end but was very, very unhappy about the whole situation and ignorance. 
The room was also dirty and would need a serious clean and renovation. Even then, they should consider renting this room as the size of the room is in total pretty much the size of 2 single mattresses. This is not a design or luxurious hotel considering the attitude and state of bath and bedroom ","Nice and stylish hotel, room (single) the size of a shoebox and staff at reception, that was quite arrogant ","2018-08","SOLO","https://www.tripadvisor.com/ShowUserReviews-g297895-d1637352-r610474497-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html",
"3","558376880","en","1637352",,"Asst. Front Office Manager","563064369","en","2018-02-26","Sudeva W","Dear Guest,

Thank you for reviewing Paradise Road The Villa Bentota.

We are pleased that you enjoyed your recent stay with us. Every aspect of the hotel has been designed with much thought and care to ensure that all our guests are treated to a unique experience. Our team is committed to serve our guests to the fullest capacity but in the event of the hotel being at 100% occupancy room changes can be extremely limited. 

As we are a unique private hotel with a small inventory of rooms the hotel is not crowded as you may witness in larger hotels. Guests who stay in private hotels generally seek privacy and prefer a calm and quiet environment for which we cater well. We can assure you that the pricing in our menus are in par with similar establishments. The passing train certainly does add to the whole charm and experience.

Kind Regards,
The Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138 18 - 138/22 Galle Rd, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"138 18 - 138/22 Galle Rd",,"1637352","6.414413","Bentota, Galle District, Southern Province","79.99899","The Villa Bentota by KK Collection","737","4.6","17","11","23","130","556","https://www.tripadvisor.com/Hotel_Review-g297895-d1637352-Reviews-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html","https://www.kkcollection.com/","2018-02-04","OTHER","3","One with a view",,,,,,,,,,,,,"We stayed at this hotel in January a stop off between Galle & Colombo we were showed to our room with its own private plunge pool which was very nice unfortunately it was quite dark & no views as the only window was looking out to the plunge pool & a wall. We asked if we could have another room but were told there weren’t any available. The food in the restaurant was quite nice but there were only 4 or 6 people in each time we ate there breakfast & dinner. The bar area was always empty as it was quite expensive & there was no atmosphere in there. The swimming pool area was quite nice but again very few people seemed to use it. The beach is about 200m away & to access it you have to cross the railway line which we found to be a novelty. The beach is beautiful & very private as again there were very few people.","Vacation","2018-01","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297895-d1637352-r558376880-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html",
"1","514761771","en","1637352",,"Sales and Marketing","516490037","en","2017-08-22","Sudeva W","Dear Guest,

Thank you for reviewing Paradise Road The Villa Bentota.

We appreciate your feedback about your recent stay at our hotel. While we thank you for your comments about staff service and food it is quite unfortunate that you were not able to spend all three days at The Villa as planned. 

The interior of the hotel has been designed with much thought and care to ensure that our guests are treated to a unique experience. The rooms are of certain dark tones which is part of the total design. We can assure you that our guests who stay at The Villa are quite attracted to its design, antiques and art on display. The whole property is an artistic expression which is much appreciated by many. 

We have noted your comments about the room upgrade. While it is a management decision to offer a free upgrade, an upgrade fee is imposed in any hotel in the country for any guest who wishes to be accommodated in higher room category. This is a common practice in hotels in Sri Lanka. The railway tracks certainly does add to the whole charm of the property and it runs along the coast in most parts in the south neighboring most of the beach resorts.

Kind Regards,
The Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138 18 - 138/22 Galle Rd, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"138 18 - 138/22 Galle Rd",,"1637352","6.414413","Bentota, Galle District, Southern Province","79.99899","The Villa Bentota by KK Collection","737","4.6","17","11","23","130","556","https://www.tripadvisor.com/Hotel_Review-g297895-d1637352-Reviews-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html","https://www.kkcollection.com/","2017-08-18","MOBILE","3",,,,,,,,,,,,,,"We planned to stay here for 3 nights but ended up only staying one. It is a nice hotel but let me explain why we decided to go:

- we arrived and were put in a very small room, yes, it was very cheap so fair enough. However, I found it very dark and depressing. This may well have been due to the fact that the weather was awful but none the less not a room that I wanted to spend time in. 
- The bathroom was tiny and in need of a revamp. 
- I asked the front desk if they had any larger rooms available. I very much expected them to say yes seeing as the hotel was virtually empty. However, they said that they had no more standard rooms left and I would have to pay 50 USD a night to upgrade, this was then lowered to 40. To be honest I wasn't willing to pay extra for a room when it was still gloomy. 
- as I've said above the place was so empty, to the extent that it felt odd. Eating dinner with one other couple is a weird atmosphere.
- little to do in surrounding area.
- train woke me up in the night. Yes it is charming but equally not ideal! 

There were positives:

- food was delicious and the included breakfast was very nice.
- staff were great from the start - when we said we were leaving they were extremely apologetic and offered an upgrade. 
- decor is nice but not to my taste as I've said I found it dark and gloomy.
- nice pool and right by the beach.

We booked to have a quiet 3 nights at the end of our trip but unfortunately it was a little too quiet for us. It does look like the best hotel in the area though after looking at others. 

Must add again that the staff and food were brilliant. 

","Not sure! ","2017-08","NONE","https://www.tripadvisor.com/ShowUserReviews-g297895-d1637352-r514761771-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html",
"0","462249620","en","1637352",,"Asst. Front Office Manager","498420353","en","2017-07-03","Sudeva W","Dear Guest,

Thank you for reviewing Paradise Road The Villa Bentota.

Every aspect of the hotel has been designed with much thought and care which makes this a unique property. You may not find such taste in design in any establishment except at Paradise Road Tintagel Colombo. 

Paradise Road Hotels are known to its impeccable design, food & beverage and service that is offered to all guests who patronize our establishments. Our pricing is in par with other private hotels in the country. 

The rail tracks run along the coastal line in the south of Sri Lanka and most beach front properties face a similar situation although most guests find it charming and an added experience to their stay.

Kind Regards,
The Management
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138 18 - 138/22 Galle Rd, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"138 18 - 138/22 Galle Rd",,"1637352","6.414413","Bentota, Galle District, Southern Province","79.99899","The Villa Bentota by KK Collection","737","4.6","17","11","23","130","556","https://www.tripadvisor.com/Hotel_Review-g297895-d1637352-Reviews-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html","https://www.kkcollection.com/","2017-02-23","MOBILE","3",,,,,,,,,,,,,,"Pro's. A special ambiente with wonderful garden, nice but tired décor. WiFi and pool boy good. Have to cross train tracks to reach the beach. No beach amenities provided by hotel and currents are quite strong with turbid surf.

Con's. Horrid restaurant. Dreadful breakfast. Wildly overpriced and mediocre evening meals. (Eat anywhere else). Simply too pricey -- bad value for money.

 Train blasts through property at least hourly (including all night) and shakes the foundations. Some find the ritual of the locals squeezed on a grotty old train eyeballing the fat white folk charming (and vice versa). Escapes me.

We inspected the club Villa next door and it seems to be much better kept.  ","Fading charm and crazy prices","2017-02","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g297895-d1637352-r462249620-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html",
"1","365311904","en","1637352",,"Assistant Front Office Manager","369768140","en","2016-05-03","Sudeva W","Dear Guest,

Thank you for your review of Paradise Road The Villa Bentota!

We are so grateful that you have taken the time to share your experience and appreciate your positive feedback on your stay with us.

We are sorry that you had to undergo a discomfort due to the malfunction of the cooling unit. Unfortunately, as you know this is one of the warmest seasons of the year where the sun comes direct on top of Sri Lanka and we are currently experiencing the worst heat in our countries history. Unfortunately the room you were in the compressor was overloaded during this time and had created an air block which interrupt the cooling process. 

We pride ourselves on the style and concept of our brand and we continue to offer some of the most competitive rates for a boutique hotel in the south with an intimate setting amongst only 16 other rooms and a unique  food menu similar to our award winning restaurant in the city. We do hope you will return, perhaps during the cooler months, so we can improve your review!

Kind Regards,
The Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138 18 - 138/22 Galle Rd, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"138 18 - 138/22 Galle Rd",,"1637352","6.414413","Bentota, Galle District, Southern Province","79.99899","The Villa Bentota by KK Collection","737","4.6","17","11","23","130","556","https://www.tripadvisor.com/Hotel_Review-g297895-d1637352-Reviews-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html","https://www.kkcollection.com/","2016-04-19","OTHER","3",,"Value","3","Service","5","Sleep Quality","5",,,,,,,"This is a lovely place, but feel that its not worth the price you pay for it.

Architecture is lovely, and interior decorating is in the ""Paradise Road"" style.
Staff are absolutely friendly, cheerful, helpful and attentive. The food is great also.
The gardens are ample in size and there are two swimming pools you can enjoy (one is a 'baby' pool).

However, our group had several air conditioning issues - in short, 3 rooms that we were staying in had air conditioners that weren't working properly, which was not ideal given the awful heatwave. Luckily we were quickly given new rooms to stay in, but it was rather inconvenient moving from room to room.

Some rooms had fantastic bathrooms, others had bathrooms that needed updating. However, they were all clean.

Mixed feelings - but I feel you may be able to find a better place for the same price.","Mixed experience","2016-04","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g297895-d1637352-r365311904-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html",
"1","252268493","en","1637352",,"Public Relations Manager","252683988","en","2015-02-04","SaskiaF2201","Dear ChinaFanNYC,

Thank you for taking the time to review our property. We are glad to hear you enjoyed the architecture of Paradise Road The Villa Bentota and our breakfast. 

Our outdoor spaces for Suites without garden views unfortunately cannot be air conditioned and mosquitoes are an unavoidable circumstance of our climate. The small staircase to reach your room is part of the original architecture of the Villa Mohotti which remains untouched, and while in some cases seems inconvenient, in others adds to the charm of the original villa built by Geoffrey Bawa. 

In regards to your unsatisfactory tandoori meal we will discuss this with the chef. We don't serve fine dining and therefore aim to ensure all our portions are of generous sizes and apologise for yours being smaller than you had hoped for. 

In response to your complaint about the cancellation fee through agoda we request that you take this up with the booking agent directly. The no cancellation policy and fee takes place from their end as the booking was made through them and we cannot refund the amount to you from our offices.

We do hope you enjoyed your stay in Sri Lanka and we hope you will visit our island again soon!

Best wishes,

Saskia Fernando Hammoud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138 18 - 138/22 Galle Rd, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"138 18 - 138/22 Galle Rd",,"1637352","6.414413","Bentota, Galle District, Southern Province","79.99899","The Villa Bentota by KK Collection","737","4.6","17","11","23","130","556","https://www.tripadvisor.com/Hotel_Review-g297895-d1637352-Reviews-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html","https://www.kkcollection.com/","2015-02-02","OTHER","3",,"Rooms","3","Location","5","Service","4",,,,,,,"Because: this property is magnificent. The Geoffrey Bawa architecture is stunning, and the whole complex is gorgeous. Breakfast was wonderful.
However:
- We had a tiny ""Room with No View."" There was indeed a small sitting area, but it was not air conditioned and there were plenty of mosquitoes. It was up a steep and narrow staircase. 
- Dinner was mediocre. Very small portions of inauthentic tandoori chicken.
- Here's the real rub:  Service overall was friendly and professional. Due to a misunderstanding (we booked and paid for our room through our travel agent), the original booking made directly with Agoda was never properly canceled. We found this out five days prior to our arrival, and quickly canceled the Agoda reservation, resulting in a $280 cancellation fee - for ONE night! I was in the travel industry for 40 years, and I understand - rules are rules. (We did not no-show; the hotel was full that night.) When I spoke to the manager, he was a total blank: everything about his body language said NO. So be it - but his customer service skills were zero. There are many ways of saying no without the supercilious attitude he displayed. He could learn a lot from his staff.","This should be a 5-star review","2015-01","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g297895-d1637352-r252268493-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html",
"2","252100637","en","1637352",,"Public Relations Manager","252684182","en","2015-02-04","SaskiaF2201","Dear G B,

Thank you for taking the time to review our property. We are glad that you enjoyed the hotel, the rooms and the facilities available at Paradise Road The Villa Bentota. 

On occasions the rentable villa neighbouring the property does throw a late party, but this is quite seldom and we do regret that this disturbed you during your stay. The train however is unavoidable and while enjoyed by some of our guests when they eat their breakfast and wave to the travellers, it can be bothersome for others. 

We do hope you will visit us again and that you enjoyed your stay in Sri Lanka!

Best wishes,

Saskia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138 18 - 138/22 Galle Rd, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"138 18 - 138/22 Galle Rd",,"1637352","6.414413","Bentota, Galle District, Southern Province","79.99899","The Villa Bentota by KK Collection","737","4.6","17","11","23","130","556","https://www.tripadvisor.com/Hotel_Review-g297895-d1637352-Reviews-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html","https://www.kkcollection.com/","2015-02-01","TABLET","3",,,,,,,,,,,,,,"The hotel is very nice, beautiful rooms, swimming pool. Close to beach. Staff in general very friendly. However we found it too noisy. Mainly because of the train (until 1am and starting at 4:30am), but also due to the neighbours","Very nice hotel. However very noisy due to train (also at night) and neighbourgs","2014-12","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g297895-d1637352-r252100637-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html",
"3","236858630","en","1637352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138 18 - 138/22 Galle Rd, Bentota 80500 Sri Lanka","Bentota","Sri Lanka","80500",,"138 18 - 138/22 Galle Rd",,"1637352","6.414413","Bentota, Galle District, Southern Province","79.99899","The Villa Bentota by KK Collection","737","4.6","17","11","23","130","556","https://www.tripadvisor.com/Hotel_Review-g297895-d1637352-Reviews-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html","https://www.kkcollection.com/","2014-10-28","OTHER","3","Rooms above the reception are a little dark so opt for the garden rooms","Location","4","Cleanliness","5","Service","2",,,,,,,"Villa Bentota is everything you would ask for in a boutique property. Its beautifully done, the rooms are lovely & always smell good, there is a quaint cafe, lots of sit outs, beautiful pools...Its a feast for the eyes. The red train passing by just adds to the charm. Beach is gorgeous, and so are the wild pineapple trees before the beach. There is a small store from where you can buy a souvenir for friends back home. We enjoyed sitting in the bar area & watching the rains...
The cons: food is limited & very expensive by local standards, there is no breakfast spread - you can choose between american or sri lankan breakfast that is served at your table. For eg - at breakfast orange juice was to be paid for, but not watermelon or pineapple juice. I did not understand the logic behind that. Secondly, and most appalling, when we asked for a couple of bananas for our son, they billed it as a banana milkshake & charged a fortune for that! Even though we paid for it & gave a feedback, no one bothered to explain or justify the same. A real shame!","Beautiful property","2014-10","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g297895-d1637352-r236858630-The_Villa_Bentota_by_KK_Collection-Bentota_Galle_District_Southern_Province.html",
