"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","photos/23/height","photos/23/id","photos/23/image","photos/23/width","photos/24/height","photos/24/id","photos/24/image","photos/24/width","photos/25/height","photos/25/id","photos/25/image","photos/25/width","photos/26/height","photos/26/id","photos/26/image","photos/26/width","photos/27/height","photos/27/id","photos/27/image","photos/27/width","photos/28/height","photos/28/id","photos/28/image","photos/28/width","photos/29/height","photos/29/id","photos/29/image","photos/29/width","photos/30/height","photos/30/id","photos/30/image","photos/30/width","photos/31/height","photos/31/id","photos/31/image","photos/31/width","photos/32/height","photos/32/id","photos/32/image","photos/32/width","photos/33/height","photos/33/id","photos/33/image","photos/33/width","photos/34/height","photos/34/id","photos/34/image","photos/34/width","photos/35/height","photos/35/id","photos/35/image","photos/35/width","photos/36/height","photos/36/id","photos/36/image","photos/36/width","photos/37/height","photos/37/id","photos/37/image","photos/37/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
"0","1016748338","en","3236090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27th Kilometre Post Pulmoddai Rd, Kuchchaveli 31000 Sri Lanka","Kuchchaveli","Sri Lanka","31000",,"27th Kilometre Post Pulmoddai Rd",,"3236090","8.771097","Kuchchaveli, Eastern Province","81.13611","Uga Jungle Beach","2396","4.8","16","28","61","314","1977","https://www.tripadvisor.com/Hotel_Review-g3576786-d3236090-Reviews-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html","http://www.ugaescapes.com/junglebeach","2025-07-05","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Had a amazing holiday. Perfect place for family getaway. Great food and drinks. We loved to stay by the beach all the time. Lovely, professional staff. Janithan at the reception was so helpful during the check in and check out. We will return back soon. Thank you everyone. ❤️","Relaxed unforgettable experience","2025-07","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g3576786-d3236090-r1016748338-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html",
"0","1016735394","en","3236090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27th Kilometre Post Pulmoddai Rd, Kuchchaveli 31000 Sri Lanka","Kuchchaveli","Sri Lanka","31000",,"27th Kilometre Post Pulmoddai Rd",,"3236090","8.771097","Kuchchaveli, Eastern Province","81.13611","Uga Jungle Beach","2396","4.8","16","28","61","314","1977","https://www.tripadvisor.com/Hotel_Review-g3576786-d3236090-Reviews-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html","http://www.ugaescapes.com/junglebeach","2025-07-05","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Reception to departure, food and accommodation and most of all the staff were exceptionally good.  The chef did a great job and catered to individual requirements","Would not hesitate to stay again","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g3576786-d3236090-r1016735394-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html",
"0","1016607487","en","3236090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27th Kilometre Post Pulmoddai Rd, Kuchchaveli 31000 Sri Lanka","Kuchchaveli","Sri Lanka","31000",,"27th Kilometre Post Pulmoddai Rd",,"3236090","8.771097","Kuchchaveli, Eastern Province","81.13611","Uga Jungle Beach","2396","4.8","16","28","61","314","1977","https://www.tripadvisor.com/Hotel_Review-g3576786-d3236090-Reviews-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html","http://www.ugaescapes.com/junglebeach","2025-07-05","OTHER","5",,"Value","4","Rooms","4","Location","5","Cleanliness","5","Service","5","Sleep Quality","4","The whole stay was just perfect!
I added a massage for relieving stress off the back to our stay and Tari did a wonderful job! The massage was a wonderful experience and my husband and I felt very welcome. Thank you very much! 
Everything else was perfect as well and we enjoyed every second.","Loved the whole experience!","2025-07","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g3576786-d3236090-r1016607487-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html",
"0","1016606427","en","3236090",,,,,,,,"4032","811628497","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/d1/caption.jpg","3024","4032","811628496","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/d0/caption.jpg","3024","5712","811628495","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/cf/caption.jpg","4284","5712","811628494","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/ce/caption.jpg","4284","5712","811628493","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/cd/caption.jpg","4284","5712","811628492","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/cc/caption.jpg","4284","5712","811628491","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/cb/caption.jpg","4284","5712","811628490","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/ca/caption.jpg","4284","4032","811628489","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/c9/caption.jpg","3024","5712","811628487","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/c7/caption.jpg","4284","5712","811628486","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/c6/caption.jpg","4284","4032","811628485","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/c5/caption.jpg","3024","4032","811628484","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/c4/caption.jpg","3024","4032","811628483","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/c3/caption.jpg","3024","5712","811628482","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/60/77/c2/caption.jpg","4284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27th Kilometre Post Pulmoddai Rd, Kuchchaveli 31000 Sri Lanka","Kuchchaveli","Sri Lanka","31000",,"27th Kilometre Post Pulmoddai Rd",,"3236090","8.771097","Kuchchaveli, Eastern Province","81.13611","Uga Jungle Beach","2396","4.8","16","28","61","314","1977","https://www.tripadvisor.com/Hotel_Review-g3576786-d3236090-Reviews-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html","http://www.ugaescapes.com/junglebeach","2025-07-05","OTHER","5",,"Value","4","Rooms","5","Location","5","Cleanliness","4","Service","5","Sleep Quality","4","We’ve stayed at Uga Jungle Beach for five days on our honeymoon. 
The hotel’s location is very beautiful and peaceful. The room was very comfortable. 
Service was excellent. The staff were very friendly, helpful and professional during our stay. 
The food was amazing! Five stars 🌟 with a mix of local and international options to choose from the menu (which is different every day). 
Overall is a great place to relax. We would definitely recommend it for a relaxed nature-focused getaway in Sri Lanka.","Relaxed nature-focused getaway in Sri Lanka","2025-07","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g3576786-d3236090-r1016606427-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html",
"0","1016437478","en","3236090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27th Kilometre Post Pulmoddai Rd, Kuchchaveli 31000 Sri Lanka","Kuchchaveli","Sri Lanka","31000",,"27th Kilometre Post Pulmoddai Rd",,"3236090","8.771097","Kuchchaveli, Eastern Province","81.13611","Uga Jungle Beach","2396","4.8","16","28","61","314","1977","https://www.tripadvisor.com/Hotel_Review-g3576786-d3236090-Reviews-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html","http://www.ugaescapes.com/junglebeach","2025-07-03","OTHER","5",,,,,,,,,,,,,,"We have had a wonderful stay. We were visiting on our honeymoon and had a very relaxing time, the perfect stay for the end of our trip to Sri Lanka. We were upgraded to a beautiful jungle beach villa with an outdoor shower and lovely bathroom. The food was excellent, and we particularly enjoyed eating at the beach bar, especially in the evenings when the staff set up lovely lanterns and tables for us. 
Most of all the staff were impeccable, everyone went above and beyond at every opportunity, I have never experienced dedication like it. Absolutely flawless service.","Honeymoon stay","2025-07","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g3576786-d3236090-r1016437478-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html",
"0","1016437165","en","3236090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27th Kilometre Post Pulmoddai Rd, Kuchchaveli 31000 Sri Lanka","Kuchchaveli","Sri Lanka","31000",,"27th Kilometre Post Pulmoddai Rd",,"3236090","8.771097","Kuchchaveli, Eastern Province","81.13611","Uga Jungle Beach","2396","4.8","16","28","61","314","1977","https://www.tripadvisor.com/Hotel_Review-g3576786-d3236090-Reviews-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html","http://www.ugaescapes.com/junglebeach","2025-07-03","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Amazing stay with the Uga Team. Jungle Beach was beautiful. The room was superb and then food was excellent. The waiting staff in the beach bar were especially kind and helpful. 

Being able to eat under the stars and at the beach was a very special experience. We will remember it forever!","What a honeymoon!","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g3576786-d3236090-r1016437165-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html",
"0","1016397276","de","3236090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27th Kilometre Post Pulmoddai Rd, Kuchchaveli 31000 Sri Lanka","Kuchchaveli","Sri Lanka","31000",,"27th Kilometre Post Pulmoddai Rd",,"3236090","8.771097","Kuchchaveli, Eastern Province","81.13611","Uga Jungle Beach","2396","4.8","16","28","61","314","1977","https://www.tripadvisor.com/Hotel_Review-g3576786-d3236090-Reviews-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html","http://www.ugaescapes.com/junglebeach","2025-07-03","OTHER","5",,"Value","5","Rooms","4","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Schön gelegen, wunderschöner, sauberer Strand und sehr zuvorkommender Service. Sowohl beim Essen haben wir uns sehr wohl gefühlt (besonders bei Praboda), als auch bei der Strandbar. Die Jungs Sanoos, Menuka und Johan haben uns jeden Tag ein Lächeln ins Gesicht gezaubert. Uns wurde das Essen sowie Trinken bis an die Liege gebracht. Auf jeden Fall zu empfehlen.","bezauberndes Resort mit tollem Strand","2025-05","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g3576786-d3236090-r1016397276-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html",
"0","1016144906","en","3236090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27th Kilometre Post Pulmoddai Rd, Kuchchaveli 31000 Sri Lanka","Kuchchaveli","Sri Lanka","31000",,"27th Kilometre Post Pulmoddai Rd",,"3236090","8.771097","Kuchchaveli, Eastern Province","81.13611","Uga Jungle Beach","2396","4.8","16","28","61","314","1977","https://www.tripadvisor.com/Hotel_Review-g3576786-d3236090-Reviews-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html","http://www.ugaescapes.com/junglebeach","2025-07-01","OTHER","5","These days it’s too hot, take more sunscreen. ","Value","4","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Our stay at Uga Jungle Beach was absolutely amazing. The serene natural setting and warm hospitality made it a perfect getaway.

Special thanks to the incredible team:
	•	Ashan (Naturalist) – Your nature walks were insightful and memorable.
	•	Chirantha & Danushan – Always helpful and attentive from front desk.
	•	Mithila & Nipun – Friendly and professional throughout.
	•	Perera (Bar) – Great drinks and great energy.
	•	Ishara (Guest Relations) – Thank you for the warm welcome and for always checking in to make sure we were happy.

The entire team made our experience unforgettable. We truly felt cared for. Looking forward to returning soon!","Wonderful Stay at Uga Jungle Beach!","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g3576786-d3236090-r1016144906-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html",
"0","1016123366","en","3236090",,,,,,,,"1536","811110173","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8f/1d/caption.jpg","2048","2048","811110174","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8f/1e/caption.jpg","1536","1536","811110175","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8f/1f/caption.jpg","2048","2048","811110176","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8f/20/caption.jpg","1536","2048","811110177","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8f/21/caption.jpg","1536","2048","811110178","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8f/22/caption.jpg","1536","2048","811110179","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8f/23/caption.jpg","1536","2048","811110180","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8f/24/caption.jpg","1536","1536","811110181","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8f/25/caption.jpg","2048","2048","811110182","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8f/26/caption.jpg","1536","2048","811110184","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8f/28/caption.jpg","1536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27th Kilometre Post Pulmoddai Rd, Kuchchaveli 31000 Sri Lanka","Kuchchaveli","Sri Lanka","31000",,"27th Kilometre Post Pulmoddai Rd",,"3236090","8.771097","Kuchchaveli, Eastern Province","81.13611","Uga Jungle Beach","2396","4.8","16","28","61","314","1977","https://www.tripadvisor.com/Hotel_Review-g3576786-d3236090-Reviews-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html","http://www.ugaescapes.com/junglebeach","2025-07-01","MOBILE","4","The hotel is far from Trincomalee town.",,,,,,,,,,,,,"Uga Jungle beach is a lovely hotel, with a unique setting. It's situated in a wooded area by the sea with a Peaceful  relaxing atmosphere. The food was great and the service was equally excellent. I really like the pool area which was much different to other hotels it's situated in the wooded area. This hotel is ideal if you like a peaceful quiet retreat. The beach was wonderful and very well kept.","Nice hotel by the beach","2025-06","BUSINESS","https://www.tripadvisor.com/ShowUserReviews-g3576786-d3236090-r1016123366-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html",
"0","1015982722","en","3236090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27th Kilometre Post Pulmoddai Rd, Kuchchaveli 31000 Sri Lanka","Kuchchaveli","Sri Lanka","31000",,"27th Kilometre Post Pulmoddai Rd",,"3236090","8.771097","Kuchchaveli, Eastern Province","81.13611","Uga Jungle Beach","2396","4.8","16","28","61","314","1977","https://www.tripadvisor.com/Hotel_Review-g3576786-d3236090-Reviews-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html","http://www.ugaescapes.com/junglebeach","2025-06-30","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","We had an amazing stay. The staff is very courteous and very friendly. Amazing food and stay. Must visit in this area. They have amazing food, beach","Best stay in Trincomalee","2025-07","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g3576786-d3236090-r1015982722-Uga_Jungle_Beach-Kuchchaveli_Eastern_Province.html",
