"helpfulVotes","id","lang","locationId","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","photos/0/height","photos/0/id","photos/0/image","photos/0/width","photos/1/height","photos/1/id","photos/1/image","photos/1/width","photos/2/height","photos/2/id","photos/2/image","photos/2/width","photos/3/height","photos/3/id","photos/3/image","photos/3/width","photos/4/height","photos/4/id","photos/4/image","photos/4/width","photos/5/height","photos/5/id","photos/5/image","photos/5/width","photos/6/height","photos/6/id","photos/6/image","photos/6/width","photos/7/height","photos/7/id","photos/7/image","photos/7/width","photos/8/height","photos/8/id","photos/8/image","photos/8/width","photos/9/height","photos/9/id","photos/9/image","photos/9/width","photos/10/height","photos/10/id","photos/10/image","photos/10/width","photos/11/height","photos/11/id","photos/11/image","photos/11/width","photos/12/height","photos/12/id","photos/12/image","photos/12/width","photos/13/height","photos/13/id","photos/13/image","photos/13/width","photos/14/height","photos/14/id","photos/14/image","photos/14/width","photos/15/height","photos/15/id","photos/15/image","photos/15/width","photos/16/height","photos/16/id","photos/16/image","photos/16/width","photos/17/height","photos/17/id","photos/17/image","photos/17/width","photos/18/height","photos/18/id","photos/18/image","photos/18/width","photos/19/height","photos/19/id","photos/19/image","photos/19/width","photos/20/height","photos/20/id","photos/20/image","photos/20/width","photos/21/height","photos/21/id","photos/21/image","photos/21/width","photos/22/height","photos/22/id","photos/22/image","photos/22/width","photos/23/height","photos/23/id","photos/23/image","photos/23/width","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website","publishedDate","publishedPlatform","rating","roomTip","subratings/0/name","subratings/0/value","subratings/1/name","subratings/1/value","subratings/2/name","subratings/2/value","subratings/3/name","subratings/3/value","subratings/4/name","subratings/4/value","subratings/5/name","subratings/5/value","text","title","travelDate","tripType","url","user"
"0","1016765838","en","306381",,"Revenue Management","1016972644","en","2025-07-07","Ahamed Meeran Nasheeth Abdul Cader","Hi Shameema, 

It's always great when both the food and the service exceed expectations. We're especially happy to hear that Kasun, Jonath, Thisara, Vihanga, and the team made such a positive impression with their welcoming and friendly service. 

Thanks for sharing your positive feedback! We look forward to welcoming you and your family back for another great experience.","4032","811793172","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/62/fb/14/caption.jpg","3024","4032","811793173","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/62/fb/15/caption.jpg","3024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-07-06","OTHER","5",,"Value","5","Location","5","Cleanliness","5","Service","5",,,,,"Was at the Alhambra restaurant with my family for a dosa feast and it was incredible.
Kasun,Jonath,Thisara,Vihanga and the team were incredibly welcoming and friendly and the food was great.
Had a great time and will be back for sure. 
❤️","Great Experience","2025-07","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r1016765838-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
"0","1016742025","en","306381",,"Revenue Management","1016973220","en","2025-07-07","Ahamed Meeran Nasheeth Abdul Cader","Thank you for sharing your feedback with us. Sachini & the front desk will be delighted to hear that their service exceed expectations of yours's. 
Happy to hear that you loved the extended in room dining experience and it's servings. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-07-05","MOBILE","5",,,,,,,,,,,,,,"Had a fantastic stay and all staff were exceptionally helpful. I specially have to mention Sachini at the front desk who was very accommodating. 

The food and room exceeded my expectations. Even the room service menu is extensive and flavours were on point.","Fantastic stay","2025-07","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r1016742025-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
"0","1016503706","en","306381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-07-04","OTHER","4",,,,,,,,,,,,,,"I had a prefect spa treatment during my stay at the hotel they are really friendly and polite staff which I have seen in the hotel. Keep it up work.","Prefect","2025-07","SOLO","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r1016503706-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
"0","1016469964","en","306381",,,,,,,,"4000","811481014","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5e/37/b6/caption.jpg","1848","4000","811481026","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5e/37/c2/caption.jpg","1848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-07-04","OTHER","5",,"Value","4","Rooms","3","Location","5","Cleanliness","4","Service","5","Sleep Quality","5","Very good food, nice service by Imesh,kasuni,madushani,kamani. Very attentive and helpful.  Worth a visit.. will come back again","Awesome service","2025-07","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r1016469964-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
"0","1016428483","en","306381",,"Revenue Management","1016436561","en","2025-07-03","Ahamed Meeran Nasheeth Abdul Cader","Hi Srija, 
Thank you for your wonderful feedback! We're so glad you found our food and services excellent, and that Ms. Madhusani's kindness shone through. It's truly rewarding to know your family felt our amazing hospitality. We appreciate you sharing your experience!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-07-03","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Excellent food and services.Ms Madhusani is so kind to server us.Very pleasant and Amezing hospitality extended to family","Great service","2025-07","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r1016428483-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
"0","1016277437","en","306381",,"Revenue Management","1016322054","en","2025-07-03","Ahamed Meeran Nasheeth Abdul Cader","Dear Sir / Madam, 
We are happy to hear that you loved the stay with us while enjoying the facilities available. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-07-02","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Very  nice day un Colombo. Good atención in the hotel. Madhavi was very gently with us.  The Beatles swimming pool is a perfect place to relax AT the end of the day.","Good election","2025-07","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r1016277437-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
"0","1016122957","en","306381",,,,,,,,"443","811109608","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/58/8c/e8/caption.jpg","1162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-07-01","OTHER","5",,"Location","5","Service","5",,,,,,,,,"I usually go there because of the great communication, warm hospitality, and most importantly, the food is worth the money. Special thanks to Madushani, Kamani, Kasun, and Sachith for their excellent service. Highly recommended place!","Worth the Money – Amazing Staff and Food","2025-07","FRIENDS","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r1016122957-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
"0","1016009867","en","306381",,"Revenue Management","1016156446","en","2025-07-02","Ahamed Meeran Nasheeth Abdul Cader","Dear Sir / Madam, 
We're happy to hear that you had a fantastic stay at Ramada by Wyndham Colombo and our cuisine delighted you. Chef Malar, Janath and Thisara will be so pleased to know they made your visit special. Looking forward to welcome you back!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-07-01","OTHER","5",,"Value","5","Rooms","5","Location","5","Cleanliness","5","Service","5","Sleep Quality","5","Fantastic stay at Ramada! Cannot recommend more!!! Fantastic food made by chef Malar and friendly staff, Janath and Thisara. Thank you so mich for making my stay so special. Loved it!","Best place to be!","2025-06","FAMILY","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r1016009867-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
"0","1015995771","en","306381",,"Revenue Management","1016157401","en","2025-07-02","Ahamed Meeran Nasheeth Abdul Cader","Dear Nishanthamo,
We are happy to hear that you loved the Sri Lankan cuisine served at Ramada by Wyndham Colombo. Kasuni & her colleagues will be delighted to hear that you loved their service. Thank you for your valuable review & recommendation. 
Looking forward to serve you again at Ramada by Wyndham Colombo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-07-01","MOBILE","5",,,,,,,,,,,,,,"I just had lunch. Service and food was great. Special remarks to Kasuni and other staff in the restaurant too..Thank you for the delicious mutton curry and rice. If you need to eat good authentic Sri Lankan food one of best restaurants with a good price point.","Lunch at Ramada, Colombo","2025-07","SOLO","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r1015995771-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
"0","1015812560","en","306381",,"Revenue Management","1016322462","en","2025-07-03","Ahamed Meeran Nasheeth Abdul Cader","Dear Farshad, 
Happy to hear that you enjoyed the stay with us and you love to return to Ramada by Wyndham Colombo during your next visit to Colombo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka","Colombo","Sri Lanka","00300",,"30 Sir Mohamed Macan Markar Mawatha",,"306381","6.921277","Colombo, Western Province","79.847725","Ramada by Wyndham Colombo","2070","4.4","77","77","174","414","1328","https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html","http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview","2025-06-29","OTHER","5","Order beverages very early when your at the restaurant ","Value","5","Rooms","5","Location","3","Cleanliness","3","Service","5","Sleep Quality","3","Well organized and excellent service by the Ramada Team 

They did a really good job organizing and the staff made us feel like home. One of the best hotels in Sri Lanka

We will be there again","Amazing excellent Service","2025-06","COUPLES","https://www.tripadvisor.com/ShowUserReviews-g293962-d306381-r1015812560-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html",
